revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
left_turning,0,50,50,81.419655872547,24.163076809764096
sniffing,51,70,19,42.27279173474012,24.75980182801816
rising,71,95,24,41.282161325373046,30.46294090052128
sniffing,96,105,9,47.61229912127221,29.799178138445058
walking,106,110,4,71.85922657947637,31.92554637013644
rising,111,170,59,36.21268344298975,31.47614844374355
sniffing,171,210,39,44.78772642155976,30.581081115170196
walking,211,226,15,68.84284090352145,28.92297249276962
rearing,227,241,14,41.77775075470783,33.8468435586213
sniffing,242,371,129,41.33333226410223,28.63653540227305
rising,372,421,49,30.565292250360574,31.836288334800205
sniffing,422,631,209,33.091477176954186,29.717401151678473
rising,632,651,19,41.97306645040728,32.99554114281474
right_turning,652,696,44,38.245708647844666,30.04486287547924
walking,697,769,72,152.07028938886438,26.295587569155032
sniffing,770,846,76,17.963319333813338,23.634061268549303
rising,847,881,34,28.79488743214775,30.593838693038624
hunching,882,931,49,43.75911684546459,32.07277707331679
sniffing,932,981,49,60.8184689837927,29.96339562083441
walking,982,998,16,102.4329623143099,28.63652418382389
rising,999,1013,14,37.72411741007634,33.15593364709887
climbing,1014,1063,49,37.87432642838027,44.84611562361581
hunching,1064,1078,14,31.979900832892895,35.654066373783586
sniffing,1079,1123,44,32.9054225238672,30.401568110969812
right_turning,1124,1133,9,146.0228453427107,26.32620305378715
walking,1134,1145,11,104.65533691728065,27.793263468569137
rising,1146,1175,29,44.56359912363106,27.668395519657885
sniffing,1176,1265,89,20.63668189778459,23.60897255182911
hunching,1266,1275,9,31.038206839444275,34.00276089192376
climbing,1276,1335,59,39.90695344092999,46.56115644411093
rising,1336,1360,24,48.92545348873487,31.877534686409874
right_turning,1361,1373,12,107.3267031780469,28.743200882600757
left_turning,1374,1396,22,93.01415839741594,29.560983741219314
rising,1397,1411,14,29.83059614630493,38.97640829675631
climbing,1412,1436,24,39.956437923471945,47.23185983785037
walking,1437,1441,4,112.10434752416447,28.553111295331924
sniffing,1442,1483,41,60.747136125461466,26.576970015018933
rising,1484,1498,14,51.96159100672059,34.65191134862024
walking,1499,1536,37,130.1766013860367,30.96622479739301
sniffing,1537,1556,19,41.97795941797649,27.806264454323724
walking,1557,1626,69,105.8186925618218,27.514695028409943
sniffing,1627,1641,14,40.071939484025215,28.893430269682465
left_turning,1642,1684,42,124.2619605378069,28.268434467351824
rising,1685,1734,49,42.10041595086272,33.21011830482188
hunching,1735,1744,9,64.87388313358855,36.4575004762461
right_turning,1745,1753,8,104.46053001379667,30.741930650660045
sniffing,1754,1760,6,90.23246229862755,29.789009808438404
rising,1761,1805,44,21.319362921295696,33.209010168656
walking,1806,1852,46,110.6213730142973,24.66126558633248
rising,1853,1887,34,67.90846769673882,31.347852483815313
