revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
sniffing,0,60,60,61.01036065985158,28.60459200169152
running,61,77,16,48.44891572579319,32.686035935073605
left_turning,78,115,37,117.96262461306776,25.71033640855391
sniffing,116,140,24,45.011906855894125,29.702478884883504
stepping,141,158,17,70.72100818015552,27.802275090103127
walking,159,177,18,107.7854558501028,27.017885291490458
sniffing,178,194,16,19.896198253352857,32.32014018299528
walking,195,321,126,142.03386800080025,27.705503974181365
left_turning,322,359,37,131.42003152817418,26.542906477195334
stepping,360,377,17,95.61045964052786,28.49255663292405
rising,378,407,29,59.21932303025738,32.98315769998553
stepping,408,435,27,102.6038941151579,31.12818044017976
trotting,436,468,32,212.78955885610867,29.11352571072102
walking,469,518,49,170.1549995202115,27.960868460167134
sniffing,519,557,38,66.18845043097623,31.17237858691714
left_turning,558,618,60,99.66182012928799,32.75033205150808
walking,619,661,42,150.91716848991928,32.774021503866784
left_turning,662,717,55,126.57094324772154,30.369821835758014
rising,718,729,11,55.69786870730484,38.35817358950148
climbing,730,748,18,58.57167036533458,46.59981804981012
sniffing,749,767,18,19.843668633541483,30.37960501780556
right_turning,768,783,15,35.301756885435985,28.932302333070066
sniffing,784,835,51,18.137083065127612,24.074794653405455
rising,836,855,19,46.89716880504636,36.15003623200185
climbing,856,880,24,51.951856668974216,46.101661420368536
sniffing,881,933,52,22.598926964413288,30.648885331795228
right_turning,934,963,29,73.1415436113641,31.459434137814675
left_turning,964,991,27,110.38074807276418,31.416057308757168
walking,992,1027,35,171.9790310125576,28.204546504743416
sniffing,1028,1108,80,44.79475195750098,30.26391904779065
left_turning,1109,1130,21,104.79478506401074,32.18993000289623
sniffing,1131,1157,26,61.48205767196656,32.17235029602595
left_turning,1158,1180,22,114.54691751638045,33.274086247600664
walking,1181,1236,55,183.14632635189128,30.294938471848408
sniffing,1237,1299,62,26.69434812309816,27.94143043411945
right_turning,1300,1320,20,86.86310654916986,29.28109633388108
sniffing,1321,1333,12,51.912588130355616,32.32107936141386
walking,1334,1372,38,142.97233290901312,30.894390454571084
sniffing,1373,1395,22,28.463285991126007,33.13526326294036
walking,1396,1440,44,171.2930558403422,29.51621538412026
left_turning,1441,1470,29,75.90819154095904,28.6484728499852
sniffing,1471,1482,11,34.636017572331475,28.863313943607555
left_turning,1483,1494,11,89.28784508945292,30.53078056610775
sniffing,1495,1568,73,49.164764017636614,32.558174344698436
