revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
sniffing,0,12,12,36.540650034535595,22.677993824477042
right_turning,13,48,35,59.65814619735295,21.19663064116302
trotting,49,82,33,206.20979924029405,18.321445866332862
left_turning,83,97,14,60.17444145610097,20.33079117243358
walking,98,119,21,139.53235569204242,17.34885052768021
sniffing,120,126,6,42.524173050255015,26.72456308443407
rearing,127,142,15,48.17440346231035,41.1637338323681
sniffing,143,165,22,23.983437046098654,17.372268008959153
walking,166,187,21,107.5666686486864,22.92456074168593
sniffing,188,198,10,31.382182147950413,25.46397782882808
hunching,199,231,32,36.708558043929955,37.13885008986033
right_turning,232,240,8,98.16250685013217,25.61524827941022
walking,241,291,50,164.21561283423208,20.50069609723466
stepping,292,328,36,85.7086280056757,18.467751152199213
sniffing,329,336,7,59.69665551500026,24.162309511498286
hunching,337,354,17,38.565191212243825,40.70284270392992
sniffing,355,437,82,12.44065238974593,14.558924810185069
stepping,438,440,2,17.718646485713947,21.345590382481078
grooming,441,449,8,20.547092730292032,24.228247094187722
rearing,450,472,22,34.259176492502,41.60477579552232
sniffing,473,516,43,22.688460897156975,23.896222918044135
walking,517,545,28,100.29804571133629,20.378738005661347
running,546,576,30,257.9943520876838,18.61008450284636
walking,577,596,19,184.19009600054392,15.001540776862232
sniffing,597,637,40,30.420904990652023,21.725985783458068
rearing,638,660,22,26.89122345984266,42.192949214874915
hunching,661,705,44,31.70837907634841,32.3222228594109
sniffing,706,712,6,51.97422409714771,21.25386577893874
walking,713,747,34,140.59912203683635,21.703980487175276
running,748,778,30,237.87625349028949,20.384303904769332
stepping,779,806,27,51.17458691629167,16.79129675082091
sniffing,807,826,19,27.55725558775693,22.263378895434204
stepping,827,932,105,69.78140702830984,21.88859491331763
sniffing,933,953,20,33.97759148267733,24.83016844110221
walking,954,989,35,160.67254151310496,24.377532224709764
sniffing,990,1039,49,52.989144880256475,28.205335629627225
walking,1040,1058,18,155.02030168605435,24.75988575681747
trotting,1059,1098,39,182.10955299111725,19.794024733960875
sniffing,1099,1171,72,44.84940454654851,18.83768400213469
walking,1172,1191,19,89.68982975750005,23.435087192756516
rising,1192,1205,13,32.81602772641927,27.088805054536994
rearing,1206,1231,25,32.103690736479386,40.47727674768949
sniffing,1232,1265,33,22.100620222162437,24.51416268840481
left_turning,1266,1278,12,118.52258962549212,23.283998511488228
running,1279,1309,30,253.26557517843236,20.58396862880144
trotting,1310,1328,18,226.04100641338238,17.346048182957766
walking,1329,1342,13,151.8799515880541,17.88855521939705
stepping,1343,1378,35,89.89061158796427,17.359819959359875
sniffing,1379,1431,52,37.182113795759115,17.90622476379848
hunching,1432,1434,2,30.024900686327083,33.19890719760067
rearing,1435,1460,25,37.84373797178347,46.63438077859788
sniffing,1461,1694,233,28.16166373208049,23.503455301188893
rearing,1695,1746,51,47.881314052326324,41.86186357275592
sniffing,1747,1800,53,26.347770833272495,22.447264641297394
pausing,1801,1951,150,9.894290839609262,23.002423224773036
sniffing,1952,1994,42,21.876609828493372,23.826200758123832
walking,1995,2073,78,136.73745083656647,20.395912735850978
stepping,2074,2106,32,75.30555976457813,18.653310803407955
sniffing,2107,2117,10,36.86748392375796,31.808224874624162
rearing,2118,2138,20,45.15224730529773,51.48984344730428
