revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
sniffing,0,100,100,29.38626598442258,28.594432380585765
left_turning,101,110,9,126.70537592886153,29.05047984889803
walking,111,145,34,180.63689926093758,26.343987787151697
stepping,146,205,59,94.7726397953106,27.495862711215427
sniffing,206,305,99,31.006136478773545,29.992558495129757
walking,306,365,59,162.20425966154627,27.432660410498546
sniffing,366,440,74,36.61474205003625,30.924500343109727
rising,441,485,44,82.32360671207991,29.638406117552368
climbing,486,505,19,45.85986786970733,49.16312068876427
rising,506,510,4,48.51665826776826,32.440714292974064
sniffing,511,595,84,23.727029482269863,30.782820562950807
left_turning,596,635,39,95.00579301649137,29.256208277472602
rising,636,685,49,39.25694771068168,30.686700117072093
sniffing,686,720,34,26.534051640360886,31.219844064537693
rising,721,770,49,58.03614178014401,30.13797019077822
left_turning,771,795,24,135.24769839604247,24.808481115111423
rising,796,855,59,75.5483646838622,28.66658055685979
climbing,856,885,29,43.73364917047624,41.73993782863467
sniffing,886,995,109,38.113219728736865,30.96086055938083
walking,996,1095,99,181.52928562954446,28.6140508584721
sniffing,1096,1120,24,45.114454099535635,26.48095684812596
rising,1121,1180,59,29.466823443635388,28.325375557591645
climbing,1181,1235,54,32.49414748682593,47.36326848617435
sniffing,1236,1255,19,22.514605701307055,29.597718823806595
rising,1256,1290,34,22.673561723962305,29.007181778175504
rearing,1291,1315,24,35.53173454122138,31.424993957999213
climbing,1316,1340,24,37.52857871767537,41.11161596859335
sniffing,1341,1640,299,35.73093126577522,31.038189207045647
walking,1641,1685,44,111.85535670378857,30.889801478591487
stepping,1686,1735,49,83.10337310231196,24.28169089480607
rising,1736,1745,9,42.72404438795175,30.72021274462017
climbing,1746,1775,29,53.60875909050994,39.07827941049862
rising,1776,1795,19,67.62659812357853,30.501098782355747
sniffing,1796,1815,19,24.765818035412313,23.640617051936367
rearing,1816,1825,9,26.728764620363698,32.540208087188326
climbing,1826,1845,19,46.485869972599815,35.99840650803954
sniffing,1846,1920,74,86.26488913371689,28.45070460409235
stepping,1921,1940,19,100.33739257388997,29.387374998658878
walking,1941,1970,29,103.51258921227264,26.30134770844072
hunching,1971,2015,44,27.603962412691303,32.992039692208834
climbing,2016,2045,29,57.2006404076333,48.61854407564779
hunching,2046,2085,39,34.75927465215527,33.33915232963714
sniffing,2086,2120,34,48.183463691155076,31.171140886165535
walking,2121,2170,49,169.85875888378487,30.295812311240248
stepping,2171,2215,44,116.12861795822502,27.495845677277572
sniffing,2216,2240,24,84.07001136730366,33.68550026078043
walking,2241,2270,29,142.21624679371592,27.09959899510645
sniffing,2271,2330,59,51.88193035838614,26.740617565686517
rearing,2331,2345,14,42.43114864543837,34.82532923017136
climbing,2346,2370,24,64.0529983595967,43.97124377019723
hunching,2371,2380,9,63.018558499774066,35.55881983842071
sniffing,2381,2440,59,52.28927847167293,34.17690533678619
trotting,2441,2475,34,240.20893862113033,32.92908073100144
walking,2476,2515,39,204.69334405482124,29.403227024907714
sniffing,2516,2530,14,45.93147128789303,28.26317726189374
walking,2531,2570,39,136.3541413675952,28.118362329432443
sniffing,2571,2595,24,61.64185696256399,33.73470894516766
left_turning,2596,2610,14,72.37787247010102,30.262777451709066
sniffing,2611,2620,9,39.776163105422384,31.15313051970886
rearing,2621,2650,29,26.629034612277017,33.06424595412908
climbing,2651,2730,79,35.28969756208003,40.854572761568946
rising,2731,2785,54,32.315757045679376,32.7973704779059
sniffing,2786,2880,94,39.72331764323397,32.21098053499831
walking,2881,3000,119,131.8191415079729,30.269538589730644
rising,3001,3060,59,35.02217179408663,26.38308619491146
climbing,3061,3105,44,39.585948909776306,52.69805106586842
hunching,3106,3125,19,35.475084308553754,34.98152107927909
grooming,3126,3185,59,29.571908285466545,32.56946507569518
rearing,3186,3325,139,17.96911848154015,35.6620239471393
rising,3326,3365,39,23.38424164585257,33.29153105256746
hunching,3366,3420,54,25.719788139267113,34.92258968452504
sniffing,3421,3490,69,53.76853249720907,30.640550008465542
rising,3491,3520,29,62.931138328389885,32.50144195740912
climbing,3521,3570,49,37.790635664221234,47.38529830563013
sniffing,3571,3720,149,34.553892111807194,28.26324895090974
left_turning,3721,3775,54,113.95490532372091,31.2831353421917
rising,3776,3800,24,62.82539558071183,31.33128289203146
climbing,3801,3845,44,47.24577583305442,48.52859158721695
