movement_label,movement_fraction,movement_frequency,movement_duration,movement_intervels,gender,group,group_id
running,0.4305635289542399,26.0,17.85271923076923,3176.49374,male,Morning_Light-on,1
trotting,2.1342987833108022,84.0,27.420179761904762,1198.5364554216867,male,Morning_Light-on,1
left_turning,7.108464971573547,218.0,35.223918348623855,445.53435990783413,male,Morning_Light-on,1
right_turning,2.3852293560991873,114.0,22.593814035087718,883.0668486725664,male,Morning_Light-on,1
walking,10.279819996666605,311.0,35.71246334405145,300.5392696774193,male,Morning_Light-on,1
stepping,3.0815385470101297,99.0,33.62652121212122,1026.743443877551,male,Morning_Light-on,1
sniffing,36.302524120817054,672.0,58.27931636904762,101.80397794336811,male,Morning_Light-on,1
rising,8.952943573029131,333.0,29.03497177177177,292.73336927710847,male,Morning_Light-on,1
hunching,2.3880071853182465,73.0,35.34915753424658,1343.5872277777776,male,Morning_Light-on,1
rearing,6.026037519213319,138.0,47.16334275362318,724.647397080292,male,Morning_Light-on,1
climbing,14.422489305357505,278.0,56.029946043165474,319.18906064981957,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,5.092686901609289,64.0,85.903690625,1432.8057206349208,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,1.3953962110409452,9.0,167.44444444444446,9336.625,male,Morning_Light-on,1
running,0.16852163928961647,8.0,22.75,14908.285714285714,female,Night_Light-on,3
trotting,1.4815089168317932,52.0,30.76248269230769,2049.792725490196,female,Night_Light-on,3
left_turning,5.8464045630474635,185.0,34.111310810810814,550.5334657608695,female,Night_Light-on,3
right_turning,2.393562843756366,101.0,25.617654455445543,1052.0850899999998,female,Night_Light-on,3
walking,11.693735069167948,302.0,41.56521821192053,316.3854295681063,female,Night_Light-on,3
stepping,4.010259449249061,112.0,38.66719910714286,904.9167414414413,female,Night_Light-on,3
sniffing,30.586677531065394,585.0,56.45979538461538,128.1107751712329,female,Night_Light-on,3
rising,11.225207874219894,344.0,35.20302093023256,276.82607959183673,female,Night_Light-on,3
hunching,3.1815403988962756,88.0,39.015122727272725,1187.929471264368,female,Night_Light-on,3
