,group,group_id,gender,sniffing_fra,grooming_fra,sniffing_fre,grooming_fre,SG_fra_index,SG_fre_index,color
0,Morning_Light-on,1,male,36.302524120817054,5.092686901609289,672.0,64.0,7.128363636363637,10.5,#F5B25E
1,Night_Light-on,3,female,30.586677531065394,11.212244671197615,585.0,68.0,2.7279709307126936,8.602941176470589,#398FCB
2,Night_Light-on,3,male,17.351247245319357,26.28196818459601,384.0,100.0,0.660195885005637,3.84,#398FCB
3,Night_Light-on,3,female,24.58564047482361,23.159688142373007,397.0,81.0,1.0615704461858309,4.901234567901234,#398FCB
4,Morning_Light-on,1,male,39.0118335524732,6.396414748421267,583.0,77.0,6.099015634047482,7.571428571428571,#F5B25E
5,Morning_Light-on,1,male,35.9552954684346,10.399266653086169,564.0,88.0,3.4574837503338967,6.409090909090909,#F5B25E
6,Morning_Light-on,1,male,34.236745124909724,7.647363840071113,521.0,72.0,4.476934253541591,7.236111111111111,#F5B25E
7,Night_Light-on,3,female,28.534787681253356,11.702068556825127,562.0,89.0,2.438439626523184,6.314606741573034,#398FCB
8,Night_Light-on,3,male,25.55232504305635,11.31502435230282,482.0,93.0,2.2582651391162027,5.182795698924731,#398FCB
9,Night_Light-on,3,female,25.84862682642271,12.413192836904386,445.0,113.0,2.082351186036103,3.938053097345133,#398FCB
10,Morning_Light-on,1,female,26.182892275782887,4.931572806903831,528.0,52.0,5.309237701840031,10.153846153846153,#F5B25E
11,Morning_Light-on,1,male,32.65338247004574,6.060297412915054,573.0,60.0,5.388082505729564,9.55,#F5B25E
12,Morning_Light-on,1,female,22.05133428396822,9.401100020370748,451.0,75.0,2.3456121343445284,6.013333333333334,#F5B25E
13,Night_Light-on,3,male,26.580121854108405,11.152984314524343,477.0,84.0,2.3832295558322953,5.678571428571429,#398FCB
14,Night_Light-on,3,male,30.853349136095115,19.085538621085576,452.0,72.0,1.6165825732582964,6.277777777777778,#398FCB
15,Night_Light-on,3,female,28.09033500620382,18.442934128409785,523.0,81.0,1.5230946882217091,6.45679012345679,#398FCB
16,Morning_Light-on,1,female,19.77999592585048,3.1083908961277062,427.0,53.0,6.363419719988084,8.056603773584905,#F5B25E
17,Morning_Light-on,1,female,29.351469471656884,7.431619104057482,559.0,71.0,3.9495389982556697,7.873239436619718,#F5B25E
18,Morning_Light-on,1,female,27.80884831200578,3.94173966184559,543.0,42.0,7.054968287526427,12.928571428571429,#F5B25E
19,Night_Light-on,3,male,28.01625956036223,19.009611289097947,481.0,81.0,1.4737944471505113,5.938271604938271,#398FCB
20,Night_Light-on,3,female,26.29307950147225,18.546639752588014,497.0,113.0,1.4176734897653518,4.398230088495575,#398FCB
21,Night_Light-on,3,male,31.87188651641697,12.843756365858628,528.0,86.0,2.4815081825391103,6.1395348837209305,#398FCB
22,Morning_Light-on,1,female,30.347784218226266,6.940869275356951,562.0,51.0,4.372331910352188,11.019607843137255,#F5B25E
23,Morning_Light-on,1,male,23.389322024481935,13.906739013685437,446.0,100.0,1.6818696317997206,4.46,#F5B25E
24,Morning_Light-on,1,female,29.77555139909998,4.3426730124631945,508.0,46.0,6.8565031982942415,11.043478260869565,#F5B25E
25,Night_Light-on,3,male,23.86525676401415,19.4873979147762,345.0,65.0,1.2246507649909721,5.3076923076923075,#398FCB
26,Morning_Light-on,1,male,29.410729828330158,10.145558251078723,572.0,90.0,2.8988774299534548,6.355555555555555,#F5B25E
27,Morning_Light-on,1,female,28.088483120057777,10.988166447526806,515.0,86.0,2.5562484199882025,5.988372093023256,#F5B25E
28,Morning_Light-on,1,female,28.987573843960075,5.2982462638197,581.0,55.0,5.47116392869626,10.563636363636364,#F5B25E
29,Night_Light-on,3,male,24.84953425063427,15.025278245893443,305.0,72.0,1.6538485240648302,4.236111111111111,#398FCB
30,Night_Light-on,3,male,25.66714198411082,17.11142798940721,327.0,56.0,1.5000000000000002,5.839285714285714,#398FCB
31,Night_Light-on,3,male,24.296746236041407,7.365877145873072,472.0,76.0,3.29855436832181,6.2105263157894735,#398FCB
32,Morning_Light-on,1,male,32.26726420859646,3.608400155558436,608.0,23.0,8.94226327944573,26.434782608695652,#F5B25E
33,Morning_Light-on,1,male,28.7838663678957,9.078871830959832,459.0,74.0,3.1704232534421215,6.202702702702703,#F5B25E
34,Morning_Light-on,1,female,36.853460249263875,14.716013259504807,544.0,83.0,2.5043100736173156,6.554216867469879,#F5B25E
35,Night_Light-on,3,female,25.068982758939978,24.28563491916517,464.0,116.0,1.03225560469727,4.0,#398FCB
36,Night_Light-on,3,female,23.21339284060816,12.385414544713791,439.0,82.0,1.8742523923444978,5.353658536585366,#398FCB
37,Night_Light-on,3,male,22.25318987388655,16.778088483120058,355.0,63.0,1.326324503311258,5.634920634920635,#398FCB
38,Morning_Light-on,1,male,28.696827719031837,4.714902127817182,529.0,46.0,6.086410054988217,11.5,#F5B25E
39,Morning_Light-on,1,male,14.746569380914462,1.8731828367191985,390.0,32.0,7.872466633712309,12.1875,#F5B25E
40,Morning_Light-on,1,female,24.545824922683753,18.516083631178354,438.0,72.0,1.325648847327099,6.083333333333333,#F5B25E
41,Night_Light-on,3,female,26.27733846923091,12.525231948739792,445.0,81.0,2.097952243660826,5.493827160493828,#398FCB
42,Night_Light-on,3,female,23.27172725420841,15.916035482138557,509.0,47.0,1.4621560300191985,10.829787234042554,#398FCB
43,Night_Light-on,3,female,27.084760828904237,12.940980388525713,456.0,76.0,2.092945048654837,6.0,#398FCB
44,Morning_Light-on,1,female,44.40915572510602,6.586233078390341,610.0,47.0,6.742724588781104,12.97872340425532,#F5B25E
45,Morning_Light-on,1,male,24.756939943332284,8.834422859682586,494.0,81.0,2.802326800125773,6.098765432098766,#F5B25E
46,Night_Light-on,3,female,28.31348728680161,19.62351154651012,398.0,93.0,1.4428348983154817,4.279569892473118,#398FCB
47,Night_Light-on,3,male,24.288412748384232,10.889090538713681,428.0,130.0,2.230527210884354,3.292307692307692,#398FCB
48,Morning_Light-on,1,male,35.34046926794941,8.611270579084799,447.0,77.0,4.1039784946236555,5.805194805194805,#F5B25E
49,Morning_Light-on,1,female,25.441211874293966,12.09744624900461,473.0,72.0,2.1030233448143894,6.569444444444445,#F5B25E
50,Night_Light-on,3,female,31.992259115909555,15.54195448063853,518.0,74.0,2.0584450402144774,7.0,#398FCB
51,Night_Light-on,3,male,22.232819126280116,8.634419155910294,454.0,86.0,2.5749061662198396,5.27906976744186,#398FCB
52,Morning_Light-on,1,female,27.751439841478547,8.985351580584826,530.0,68.0,3.0885201978565537,7.794117647058823,#F5B25E
53,Morning_Light-on,1,male,37.209022389303506,10.127039389618327,544.0,61.0,3.6742251074334824,8.918032786885245,#F5B25E
54,Night_Light-on,3,female,26.598640715568806,18.56330672790237,334.0,83.0,1.4328611332801275,4.024096385542169,#398FCB
55,Night_Light-on,3,male,20.874460638159967,16.660493712846534,309.0,71.0,1.2529316956594232,4.352112676056338,#398FCB
56,Morning_Light-on,1,female,35.09879812589122,3.43617474397674,639.0,47.0,10.214497440043116,13.595744680851064,#F5B25E
57,Morning_Light-on,1,male,45.42676716235486,7.271430952425045,563.0,52.0,6.247294027760091,10.826923076923077,#F5B25E
58,Night_Light-on,3,female,32.483008944610084,18.079038500712976,499.0,119.0,1.7967221510883482,4.19327731092437,#398FCB
59,Night_Light-on,3,male,22.86523824515269,35.72566158632567,377.0,97.0,0.6400228079724232,3.88659793814433,#398FCB
60,Afternoon_Light-on,0,male,32.773148148148145,6.089814814814814,651.0,67.0,5.381632963357154,9.716417910447761,#936736
61,Afternoon_Light-on,0,female,26.36851851851852,10.647222222222222,617.0,78.0,2.476563179406905,7.910256410256411,#936736
62,Afternoon_Light-on,0,female,24.9,8.21111111111111,514.0,88.0,3.0324763193504736,5.840909090909091,#936736
63,Night_Light-off,2,male,28.23611111111111,9.439814814814815,691.0,168.0,2.9911721432074545,4.113095238095238,#003960
64,Night_Light-off,2,male,36.74907407407407,18.058333333333334,587.0,146.0,2.035020253294365,4.02054794520548,#003960
65,Night_Light-off,2,female,25.339814814814815,8.747222222222224,649.0,120.0,2.8968984862919442,5.408333333333333,#003960
66,Afternoon_Light-on,0,female,27.323148148148146,3.724074074074074,719.0,50.0,7.336897066136251,14.38,#936736
67,Afternoon_Light-on,0,male,32.004629629629626,8.219444444444445,503.0,88.0,3.893770417933986,5.715909090909091,#936736
68,Afternoon_Light-on,0,male,33.967592592592595,14.975925925925926,508.0,61.0,2.2681464078150118,8.327868852459016,#936736
69,Night_Light-off,2,female,24.812962962962963,17.110185185185184,621.0,165.0,1.4501866984144165,3.7636363636363637,#003960
70,Night_Light-off,2,female,27.939814814814817,5.2481481481481485,660.0,98.0,5.323747353563867,6.73469387755102,#003960
71,Night_Light-off,2,male,26.060185185185187,2.962037037037037,614.0,77.0,8.798061894341982,7.974025974025974,#003960
72,Afternoon_Light-on,0,male,26.810185185185187,10.986111111111112,574.0,97.0,2.440370838600927,5.917525773195877,#936736
73,Afternoon_Light-on,0,male,31.18240740740741,8.920370370370371,587.0,99.0,3.4956404401079513,5.929292929292929,#936736
74,Afternoon_Light-on,0,female,27.234259259259257,7.436111111111112,542.0,105.0,3.662433071846594,5.161904761904762,#936736
75,Night_Light-off,2,female,24.539814814814815,8.07314814814815,600.0,98.0,3.039683449936919,6.122448979591836,#003960
76,Night_Light-off,2,female,25.87962962962963,7.0472222222222225,808.0,109.0,3.6723163841807906,7.412844036697248,#003960
77,Night_Light-off,2,male,23.474999999999998,14.262962962962963,588.0,164.0,1.6458712022851207,3.5853658536585367,#003960
78,Afternoon_Light-on,0,female,29.105555555555558,6.086111111111111,626.0,100.0,4.782291191236879,6.26,#936736
79,Afternoon_Light-on,0,male,17.99351851851852,5.104629629629629,457.0,62.0,3.524941048430982,7.370967741935484,#936736
80,Afternoon_Light-on,0,male,26.65925925925926,9.9,543.0,121.0,2.6928544706322484,4.487603305785124,#936736
81,Night_Light-off,2,female,27.43333333333333,11.90462962962963,680.0,207.0,2.304425604728941,3.285024154589372,#003960
82,Night_Light-off,2,male,33.501851851851846,12.608333333333333,649.0,141.0,2.657119776749651,4.602836879432624,#003960
83,Night_Light-off,2,female,27.637962962962963,8.46574074074074,630.0,160.0,3.2646833643224324,3.9375,#003960
84,Afternoon_Light-on,0,female,23.24074074074074,10.09074074074074,542.0,82.0,2.303174894476051,6.609756097560975,#936736
85,Afternoon_Light-on,0,female,34.71574074074074,14.539814814814815,564.0,120.0,2.3876329363815834,4.7,#936736
86,Afternoon_Light-on,0,female,26.237962962962964,12.558333333333332,483.0,105.0,2.0892870308928706,4.6,#936736
87,Night_Light-off,2,male,28.12777777777778,16.680555555555557,637.0,227.0,1.6862614487926728,2.806167400881057,#003960
88,Night_Light-off,2,male,31.407407407407405,6.2212962962962965,753.0,117.0,5.048370293198392,6.435897435897436,#003960
89,Night_Light-off,2,male,20.174074074074074,8.931481481481482,558.0,117.0,2.2587601078167117,4.769230769230769,#003960
90,Afternoon_Light-on,0,male,45.19814814814815,11.485185185185186,561.0,77.0,3.935343437600774,7.285714285714286,#936736
91,Afternoon_Light-on,0,female,25.62037037037037,8.313888888888888,552.0,107.0,3.081634925938301,5.158878504672897,#936736
92,Afternoon_Light-on,0,male,22.050925925925927,5.082407407407407,454.0,66.0,4.338677354709419,6.878787878787879,#936736
93,Night_Light-off,2,female,24.485185185185184,20.149074074074075,509.0,203.0,1.2152015072836724,2.5073891625615765,#003960
94,Night_Light-off,2,male,28.50462962962963,7.351851851851852,771.0,176.0,3.8772040302267,4.380681818181818,#003960
95,Night_Light-off,2,female,28.04814814814815,13.83611111111111,617.0,187.0,2.0271699123335343,3.299465240641711,#003960
96,Night_Light-off,2,male,31.08611111111111,16.199074074074073,610.0,201.0,1.9190054301228923,3.0348258706467663,#003960
97,Night_Light-off,2,male,27.164814814814815,17.382407407407406,626.0,147.0,1.5627763277046824,4.258503401360544,#003960
98,Night_Light-off,2,female,33.93981481481482,4.238888888888889,761.0,78.0,8.006771515945829,9.756410256410257,#003960
99,Afternoon_Light-on,0,female,29.79537037037037,11.059259259259258,590.0,73.0,2.6941560616208977,8.082191780821917,#936736
100,Afternoon_Light-on,0,male,38.05925925925926,13.933333333333334,527.0,97.0,2.731525784157363,5.43298969072165,#936736
101,Afternoon_Light-on,0,female,30.387962962962963,23.680555555555554,504.0,123.0,1.283245356793744,4.097560975609756,#936736
102,Night_Light-off,2,male,28.478703703703705,15.943518518518518,584.0,195.0,1.7862245194262154,2.994871794871795,#003960
103,Night_Light-off,2,female,24.810185185185183,14.601851851851851,611.0,195.0,1.6991122384273938,3.1333333333333333,#003960
104,Night_Light-off,2,male,29.4787037037037,16.461111111111112,624.0,169.0,1.7908088648891887,3.6923076923076925,#003960
105,Afternoon_Light-on,0,female,32.806481481481484,10.784259259259258,630.0,116.0,3.0420709195500995,5.431034482758621,#936736
106,Afternoon_Light-on,0,female,34.69722222222222,12.478703703703705,587.0,101.0,2.780514951398679,5.811881188118812,#936736
107,Night_Light-off,2,male,29.187962962962967,5.909259259259259,767.0,105.0,4.939360701974303,7.304761904761905,#003960
108,Night_Light-off,2,female,30.289814814814815,8.821296296296296,703.0,198.0,3.433714705573633,3.5505050505050506,#003960
109,Night_Light-off,2,male,28.72777777777778,9.446296296296296,707.0,158.0,3.0411683983532645,4.474683544303797,#003960
110,Afternoon_Light-on,0,male,27.706481481481482,18.432407407407407,534.0,83.0,1.5031395991359824,6.433734939759036,#936736
111,Afternoon_Light-on,0,male,31.774074074074075,10.863888888888889,565.0,90.0,2.9247421801755733,6.277777777777778,#936736
112,Afternoon_Light-on,0,male,31.59722222222222,12.916666666666668,503.0,111.0,2.4462365591397845,4.531531531531532,#936736
113,Night_Light-off,2,female,32.8537037037037,14.291666666666666,620.0,135.0,2.2988014253320377,4.592592592592593,#003960
114,Night_Light-off,2,female,37.40648148148148,10.525925925925925,713.0,125.0,3.5537473610133707,5.704,#003960
115,Night_Light-off,2,female,24.96851851851852,18.537037037037038,518.0,117.0,1.3469530469530469,4.427350427350428,#003960
116,Afternoon_Light-on,0,female,32.91759259259259,9.487962962962964,522.0,92.0,3.4694056797111346,5.673913043478261,#936736
117,Afternoon_Light-on,0,male,24.292592592592595,6.226851851851852,477.0,92.0,3.901263940520446,5.184782608695652,#936736
118,Afternoon_Light-on,0,female,31.599074074074075,31.798148148148147,462.0,177.0,0.9937394444120902,2.610169491525424,#936736
119,Afternoon_Light-on,0,male,19.50462962962963,12.480555555555556,458.0,153.0,1.5628013947622226,2.9934640522875817,#936736
120,Stress_Light-on,4,female,17.25925925925926,36.10925925925926,461.0,244.0,0.47797322939637926,1.889344262295082,#f55e6f
121,Stress_Light-on,4,female,18.874074074074073,30.87314814814815,460.0,197.0,0.6113427106139219,2.33502538071066,#f55e6f
122,Stress_Light-on,4,female,18.372222222222224,38.14722222222222,360.0,285.0,0.48161363139882046,1.263157894736842,#f55e6f
123,Stress_Light-on,4,female,15.137962962962964,36.739814814814814,415.0,253.0,0.41203155321454676,1.640316205533597,#f55e6f
124,Stress_Light-on,4,male,18.97037037037037,44.84074074074074,348.0,211.0,0.4230610390683076,1.6492890995260663,#f55e6f
125,Stress_Light-on,4,male,17.137037037037036,42.42592592592593,379.0,287.0,0.40392841553906583,1.3205574912891986,#f55e6f
126,Stress_Light-on,4,male,12.472222222222221,41.42685185185185,328.0,216.0,0.30106613620616435,1.5185185185185186,#f55e6f
127,Stress_Light-on,4,male,16.916666666666664,32.617592592592594,411.0,315.0,0.5186362733130836,1.3047619047619048,#f55e6f
128,Stress_Light-on,4,female,19.62222222222222,37.910185185185185,496.0,255.0,0.5175976357374886,1.9450980392156862,#f55e6f
129,Stress_Light-on,4,female,18.800925925925927,36.92314814814815,406.0,239.0,0.509190761591895,1.698744769874477,#f55e6f
130,Stress_Light-on,4,female,13.696296296296296,34.41759259259259,382.0,247.0,0.39794463425788923,1.5465587044534412,#f55e6f
131,Stress_Light-on,4,female,20.121296296296297,27.978703703703705,583.0,196.0,0.7191647086077374,2.9744897959183674,#f55e6f
132,Stress_Light-on,4,male,15.180555555555555,54.035185185185185,324.0,253.0,0.28093834607080437,1.2806324110671936,#f55e6f
133,Stress_Light-on,4,male,15.149074074074074,35.08518518518519,351.0,335.0,0.4317797952074316,1.0477611940298508,#f55e6f
134,Stress_Light-on,4,male,13.562037037037037,34.4,395.0,347.0,0.39424526270456506,1.138328530259366,#f55e6f
