,group,group_id,gender,sniffing_fra,grooming_fra,sniffing_fre,grooming_fre,SG_fra_index,SG_fre_index,color
0,Morning_Light-on,1,male,40.32150843053122,3.1304768235934004,517.0,61.0,12.880308880308883,8.475409836065573,#F5B25E
1,Night_Light-on,3,female,26.643070303282673,1.8738288569643973,436.0,67.0,14.21851851851852,6.507462686567164,#398FCB
2,Night_Light-on,3,male,25.850340136054424,11.691709650893324,290.0,98.0,2.210997442455243,2.9591836734693877,#398FCB
3,Night_Light-on,3,female,29.908182554685393,3.294625978935998,280.0,78.0,9.077868852459018,3.58974358974359,#398FCB
4,Morning_Light-on,1,male,25.19671064308111,12.02745074838786,465.0,68.0,2.0949335956714217,6.838235294117647,#F5B25E
5,Morning_Light-on,1,male,33.7139265699471,4.823757397999267,446.0,82.0,6.989142236699239,5.439024390243903,#F5B25E
6,Morning_Light-on,1,male,30.980192991366174,3.729231662192556,433.0,68.0,8.30739299610895,6.367647058823529,#F5B25E
7,Night_Light-on,3,female,25.619702542779464,4.421877498800575,469.0,85.0,5.793851717902351,5.517647058823529,#398FCB
8,Night_Light-on,3,male,23.160927241055877,11.684309259011123,366.0,87.0,1.9822247706422018,4.206896551724138,#398FCB
9,Night_Light-on,3,female,29.780564263322884,2.6699816236082583,347.0,111.0,11.153846153846155,3.126126126126126,#398FCB
10,Morning_Light-on,1,female,13.618251928020566,13.804627249357326,435.0,50.0,0.9864990689013036,8.7,#F5B25E
11,Morning_Light-on,1,male,26.387259010896898,0.5364626990779547,467.0,60.0,49.1875,7.783333333333333,#F5B25E
12,Morning_Light-on,1,female,17.872995742367966,0.842467614820183,369.0,74.0,21.21505376344086,4.986486486486487,#F5B25E
13,Night_Light-on,3,male,20.750452079566003,1.5822784810126582,382.0,83.0,13.114285714285714,4.602409638554217,#398FCB
14,Night_Light-on,3,male,43.965335024307755,1.8741633199464525,343.0,67.0,23.45864661654135,5.119402985074627,#398FCB
