,group,group_id,gender,sniffing_fra,grooming_fra,sniffing_fre,grooming_fre,SG_fra_index,SG_fre_index,color
0,Morning_Light-on,1,male,31.911002743066135,1.4020115818348065,154.0,3.0,22.760869565217387,51.333333333333336,#F5B25E
1,Night_Light-on,3,female,23.128311448974888,2.073255010366275,148.0,1.0,11.155555555555555,148.0,#398FCB
2,Night_Light-on,3,male,18.740074113287452,0.001,93.0,2.0,18740.07411328745,46.5,#398FCB
3,Night_Light-on,3,female,14.077669902912621,6.102635228848821,116.0,3.0,2.3068181818181817,38.666666666666664,#398FCB
4,Morning_Light-on,1,male,29.53549517966696,2.497808939526731,118.0,8.0,11.824561403508772,14.75,#F5B25E
5,Morning_Light-on,1,male,24.552505966587113,1.6706443914081146,117.0,6.0,14.696428571428571,19.5,#F5B25E
6,Morning_Light-on,1,male,22.18967411204687,0.001,88.0,4.0,22189.67411204687,22.0,#F5B25E
7,Night_Light-on,3,female,13.763384695743014,1.2797074954296161,92.0,4.0,10.755102040816325,23.0,#398FCB
8,Night_Light-on,3,male,23.705530116238112,0.3874603733709053,116.0,6.0,61.18181818181818,19.333333333333332,#398FCB
9,Night_Light-on,3,female,17.042172154823803,0.001,98.0,2.0,17042.172154823802,49.0,#398FCB
10,Morning_Light-on,1,female,22.1119773210489,2.445074415308292,93.0,2.0,9.043478260869565,46.5,#F5B25E
11,Morning_Light-on,1,male,20.51792828685259,0.001,106.0,0.0,20517.92828685259,inf,#F5B25E
12,Morning_Light-on,1,female,9.813542688910697,0.001,81.0,1.0,9813.542688910697,81.0,#F5B25E
13,Night_Light-on,3,male,18.064302287040107,0.001,94.0,1.0,18064.302287040107,94.0,#398FCB
14,Night_Light-on,3,male,24.685020998600095,2.5664955669622023,109.0,5.0,9.618181818181819,21.8,#398FCB
15,Night_Light-on,3,female,20.041580041580044,0.001,112.0,1.0,20041.580041580044,112.0,#398FCB
16,Morning_Light-on,1,female,17.434210526315788,0.001,110.0,1.0,17434.210526315786,110.0,#F5B25E
17,Morning_Light-on,1,female,17.18434852763211,2.319483662767245,84.0,4.0,7.408695652173913,21.0,#F5B25E
18,Morning_Light-on,1,female,9.807767752059632,0.001,94.0,2.0,9807.767752059632,47.0,#F5B25E
19,Night_Light-on,3,male,29.380122950819672,0.001,111.0,2.0,29380.12295081967,55.5,#398FCB
20,Night_Light-on,3,female,34.00969109630527,0.001,117.0,1.0,34009.691096305265,117.0,#398FCB
21,Night_Light-on,3,male,35.19140362659503,0.6380120886501007,97.0,10.0,55.15789473684211,9.7,#398FCB
22,Morning_Light-on,1,female,6.0980998674326115,0.001,115.0,3.0,6098.099867432611,38.333333333333336,#F5B25E
23,Morning_Light-on,1,male,3.2548677709968032,19.412961348445222,82.0,11.0,0.16766467065868262,7.454545454545454,#F5B25E
24,Morning_Light-on,1,female,15.034168564920272,0.001,84.0,2.0,15034.168564920272,42.0,#F5B25E
25,Night_Light-on,3,male,30.357718337093136,1.9013857557202707,125.0,6.0,15.966101694915254,20.833333333333332,#398FCB
26,Morning_Light-on,1,male,11.828793774319065,0.001,116.0,7.0,11828.793774319065,16.571428571428573,#F5B25E
27,Morning_Light-on,1,female,19.06927921623513,0.001,89.0,8.0,19069.27921623513,11.125,#F5B25E
28,Morning_Light-on,1,female,13.468869123252858,0.001,131.0,4.0,13468.869123252858,32.75,#F5B25E
29,Night_Light-on,3,male,22.597402597402596,0.001,91.0,11.0,22597.402597402594,8.272727272727273,#398FCB
30,Night_Light-on,3,male,33.09993634627626,0.001,110.0,4.0,33099.936346276256,27.5,#398FCB
31,Night_Light-on,3,male,13.160422670509126,5.667627281460135,88.0,4.0,2.3220338983050848,22.0,#398FCB
32,Morning_Light-on,1,male,19.17232460394439,1.6488845780795343,114.0,3.0,11.627450980392158,38.0,#F5B25E
33,Morning_Light-on,1,male,8.428927680798006,0.001,109.0,3.0,8428.927680798006,36.333333333333336,#F5B25E
34,Morning_Light-on,1,female,30.882956878850106,0.001,99.0,15.0,30882.956878850106,6.6,#F5B25E
35,Night_Light-on,3,female,12.433706540954626,0.001,104.0,10.0,12433.706540954625,10.4,#398FCB
36,Night_Light-on,3,female,18.913110224132637,0.001,74.0,10.0,18913.110224132637,7.4,#398FCB
37,Night_Light-on,3,male,23.484848484848484,0.001,104.0,5.0,23484.848484848484,20.8,#398FCB
38,Morning_Light-on,1,male,24.684014869888475,0.001,103.0,2.0,24684.014869888473,51.5,#F5B25E
39,Morning_Light-on,1,male,8.747591522157997,1.8497109826589597,104.0,4.0,4.729166666666666,26.0,#F5B25E
40,Morning_Light-on,1,female,18.186968838526912,0.001,82.0,4.0,18186.96883852691,20.5,#F5B25E
41,Night_Light-on,3,female,5.386081982840801,3.145853193517636,81.0,8.0,1.712121212121212,10.125,#398FCB
42,Night_Light-on,3,female,8.060013956734124,7.0132588974180035,86.0,8.0,1.1492537313432838,10.75,#398FCB
43,Night_Light-on,3,female,9.463512162612462,0.4998333888703766,71.0,6.0,18.93333333333333,11.833333333333334,#398FCB
44,Morning_Light-on,1,female,47.85276073619632,0.001,130.0,4.0,47852.760736196324,32.5,#F5B25E
45,Morning_Light-on,1,male,20.392628205128204,4.0464743589743595,82.0,4.0,5.039603960396039,20.5,#F5B25E
46,Night_Light-on,3,female,7.493309545049064,21.320249776984834,69.0,27.0,0.35146443514644354,2.5555555555555554,#398FCB
47,Night_Light-on,3,male,11.948331539289558,0.001,80.0,14.0,11948.331539289558,5.714285714285714,#398FCB
48,Morning_Light-on,1,male,17.864476386036962,3.0800821355236137,85.0,11.0,5.800000000000001,7.7272727272727275,#F5B25E
49,Morning_Light-on,1,female,12.574257425742575,0.001,76.0,8.0,12574.257425742575,9.5,#F5B25E
50,Night_Light-on,3,female,17.918367346938776,0.001,96.0,14.0,17918.367346938776,6.857142857142857,#398FCB
51,Night_Light-on,3,male,16.51838671411625,0.001,110.0,8.0,16518.38671411625,13.75,#398FCB
52,Morning_Light-on,1,female,16.986886245806648,0.030497102775236352,100.0,6.0,557.0,16.666666666666668,#F5B25E
53,Morning_Light-on,1,male,28.692220969560317,0.001,89.0,2.0,28692.220969560316,44.5,#F5B25E
54,Night_Light-on,3,female,33.43465045592705,0.001,86.0,18.0,33434.65045592705,4.777777777777778,#398FCB
55,Night_Light-on,3,male,5.421103581800581,2.904162633107454,65.0,2.0,1.8666666666666667,32.5,#398FCB
56,Morning_Light-on,1,female,22.565320665083135,2.375296912114014,123.0,6.0,9.5,20.5,#F5B25E
57,Morning_Light-on,1,male,26.07022607022607,0.001,110.0,1.0,26070.22607022607,110.0,#F5B25E
58,Night_Light-on,3,female,24.94722026741731,0.001,82.0,21.0,24947.22026741731,3.9047619047619047,#398FCB
59,Night_Light-on,3,male,32.96323710831483,0.001,127.0,5.0,32963.237108314825,25.4,#398FCB
60,Afternoon_Light-on,0,male,20.53501180173092,0.001,142.0,1.0,20535.01180173092,142.0,#936736
61,Afternoon_Light-on,0,female,10.537297861241523,0.001,136.0,2.0,10537.297861241523,68.0,#936736
62,Afternoon_Light-on,0,female,17.267648552564754,0.001,104.0,2.0,17267.648552564755,52.0,#936736
63,Night_Light-off,2,male,11.9452313503305,1.13314447592068,146.0,24.0,10.541666666666666,6.083333333333333,#003960
64,Night_Light-off,2,male,24.816255944660615,5.577172503242543,136.0,10.0,4.449612403100775,13.6,#003960
65,Night_Light-off,2,female,11.020232458028412,0.001,148.0,11.0,11020.232458028411,13.454545454545455,#003960
66,Afternoon_Light-on,0,female,2.9264810849393292,0.001,139.0,0.0,2926.4810849393293,inf,#936736
67,Afternoon_Light-on,0,male,10.520047637951569,0.9527590313616514,51.0,4.0,11.041666666666668,12.75,#936736
68,Afternoon_Light-on,0,male,22.46313963573287,0.001,136.0,3.0,22463.139635732867,45.333333333333336,#936736
69,Night_Light-off,2,female,12.48206599713056,2.1042563366810136,125.0,18.0,5.9318181818181825,6.944444444444445,#003960
70,Night_Light-off,2,female,7.629427792915531,1.5137753557372087,138.0,11.0,5.04,12.545454545454545,#003960
71,Night_Light-off,2,male,18.466841759684833,0.7715036112934998,108.0,8.0,23.936170212765955,13.5,#003960
72,Afternoon_Light-on,0,male,24.99000399840064,0.001,129.0,6.0,24990.003998400636,21.5,#936736
73,Afternoon_Light-on,0,male,17.91167973586463,0.001,134.0,5.0,17911.67973586463,26.8,#936736
74,Afternoon_Light-on,0,female,17.836879432624116,0.001,114.0,8.0,17836.879432624115,14.25,#936736
75,Night_Light-off,2,female,8.914100486223662,7.7390599675850895,127.0,11.0,1.1518324607329842,11.545454545454545,#003960
76,Night_Light-off,2,female,16.778096147723655,0.8277618592804838,170.0,7.0,20.26923076923077,24.285714285714285,#003960
77,Night_Light-off,2,male,15.019455252918288,1.0505836575875487,149.0,7.0,14.296296296296296,21.285714285714285,#003960
78,Afternoon_Light-on,0,female,5.405405405405405,0.001,120.0,8.0,5405.405405405405,15.0,#936736
79,Afternoon_Light-on,0,male,7.011605415860735,0.8220502901353964,86.0,3.0,8.529411764705882,28.666666666666668,#936736
80,Afternoon_Light-on,0,male,12.66173752310536,0.001,114.0,14.0,12661.73752310536,8.142857142857142,#936736
81,Night_Light-off,2,female,4.071246819338422,0.001,125.0,22.0,4071.2468193384225,5.681818181818182,#003960
82,Night_Light-off,2,male,29.203084832904885,0.7197943444730077,134.0,14.0,40.57142857142857,9.571428571428571,#003960
83,Night_Light-off,2,female,15.141113653699467,3.6231884057971016,125.0,12.0,4.178947368421053,10.416666666666666,#003960
84,Afternoon_Light-on,0,female,21.138996138996138,0.001,136.0,5.0,21138.99613899614,27.2,#936736
85,Afternoon_Light-on,0,female,27.041057102406796,2.3124115148655027,128.0,16.0,11.693877551020408,8.0,#936736
86,Afternoon_Light-on,0,female,14.984126984126982,5.904761904761905,116.0,6.0,2.53763440860215,19.333333333333332,#936736
87,Night_Light-off,2,male,20.07738607050731,0.001,145.0,13.0,20077.38607050731,11.153846153846153,#003960
88,Night_Light-off,2,male,7.205882352941176,0.001,153.0,4.0,7205.882352941176,38.25,#003960
89,Night_Light-off,2,male,19.0450643776824,0.001,140.0,6.0,19045.0643776824,23.333333333333332,#003960
90,Afternoon_Light-on,0,male,23.011077542799597,0.001,115.0,19.0,23011.077542799598,6.052631578947368,#936736
91,Afternoon_Light-on,0,female,10.252100840336134,0.001,150.0,5.0,10252.100840336134,30.0,#936736
92,Afternoon_Light-on,0,male,19.767441860465116,0.001,102.0,13.0,19767.441860465115,7.846153846153846,#936736
93,Night_Light-off,2,female,24.653098982423682,8.418131359851989,117.0,18.0,2.9285714285714284,6.5,#003960
94,Night_Light-off,2,male,13.459879206212252,1.3373597929249352,148.0,16.0,10.064516129032258,9.25,#003960
95,Night_Light-off,2,female,38.47010768659487,3.137764574823617,131.0,19.0,12.260355029585797,6.894736842105263,#003960
96,Night_Light-off,2,male,20.02170374389582,2.5501899077590884,118.0,20.0,7.8510638297872335,5.9,#003960
97,Night_Light-off,2,male,21.741198858230256,2.3073263558515698,129.0,14.0,9.422680412371134,9.214285714285714,#003960
98,Night_Light-off,2,female,20.954692556634306,2.3867313915857604,122.0,8.0,8.779661016949154,15.25,#003960
99,Afternoon_Light-on,0,female,22.129985827090504,0.10123506782749545,127.0,5.0,218.6,25.4,#936736
100,Afternoon_Light-on,0,male,41.051549922932004,3.202603185476965,121.0,18.0,12.818181818181817,6.722222222222222,#936736
101,Afternoon_Light-on,0,female,15.355569540591569,3.587161736941473,117.0,5.0,4.280701754385965,23.4,#936736
102,Night_Light-off,2,male,11.019417475728154,0.001,106.0,15.0,11019.417475728154,7.066666666666666,#003960
103,Night_Light-off,2,female,26.60857908847185,4.334226988382484,138.0,25.0,6.139175257731958,5.52,#003960
104,Night_Light-off,2,male,22.0,1.6756756756756757,137.0,20.0,13.129032258064516,6.85,#003960
105,Afternoon_Light-on,0,female,8.514664143803216,0.001,126.0,20.0,8514.664143803217,6.3,#936736
106,Afternoon_Light-on,0,female,25.968992248062015,0.001,111.0,7.0,25968.992248062015,15.857142857142858,#936736
107,Night_Light-off,2,male,16.33178773827924,4.327666151468315,145.0,12.0,3.773809523809524,12.083333333333334,#003960
108,Night_Light-off,2,female,15.48611111111111,2.430555555555556,118.0,23.0,6.371428571428571,5.130434782608695,#003960
109,Night_Light-off,2,male,0.6554307116104869,0.001,140.0,16.0,655.4307116104869,8.75,#003960
110,Afternoon_Light-on,0,male,17.684545937334043,0.001,136.0,6.0,17684.54593733404,22.666666666666668,#936736
111,Afternoon_Light-on,0,male,17.945109078114005,4.011259676284307,140.0,5.0,4.473684210526316,28.0,#936736
112,Afternoon_Light-on,0,male,14.854932301740812,0.6189555125725338,109.0,5.0,24.0,21.8,#936736
113,Night_Light-off,2,female,7.402361489554949,6.902815622161672,123.0,11.0,1.0723684210526314,11.181818181818182,#003960
114,Night_Light-off,2,female,21.871768355739402,4.601861427094105,132.0,12.0,4.752808988764046,11.0,#003960
115,Night_Light-off,2,female,7.602339181286549,1.9005847953216373,124.0,16.0,4.0,7.75,#003960
116,Afternoon_Light-on,0,female,11.393410083366415,0.001,113.0,7.0,11393.410083366414,16.142857142857142,#936736
117,Afternoon_Light-on,0,male,13.343923749007146,1.9459888800635423,107.0,5.0,6.857142857142857,21.4,#936736
118,Afternoon_Light-on,0,female,33.46774193548387,0.001,107.0,26.0,33467.74193548387,4.115384615384615,#936736
119,Afternoon_Light-on,0,male,7.336343115124154,0.001,118.0,8.0,7336.343115124154,14.75,#936736
120,Stress_Light-on,4,female,9.79020979020979,0.001,66.0,33.0,9790.20979020979,2.0,#f55e6f
121,Stress_Light-on,4,female,37.32283464566929,9.448818897637794,61.0,42.0,3.95,1.4523809523809523,#f55e6f
122,Stress_Light-on,4,female,10.355987055016183,18.689320388349515,79.0,41.0,0.5541125541125542,1.9268292682926829,#f55e6f
123,Stress_Light-on,4,female,7.545507927187317,47.15208455666471,87.0,60.0,0.16002490660024907,1.45,#f55e6f
124,Stress_Light-on,4,male,22.70861833105335,1.094391244870041,83.0,31.0,20.75,2.6774193548387095,#f55e6f
125,Stress_Light-on,4,male,4.791029561671763,48.98063200815494,83.0,39.0,0.09781477627471384,2.128205128205128,#f55e6f
126,Stress_Light-on,4,male,4.99457111834962,0.001,72.0,34.0,4994.5711183496205,2.1176470588235294,#f55e6f
127,Stress_Light-on,4,male,2.9778393351800556,30.12465373961219,91.0,25.0,0.09885057471264369,3.64,#f55e6f
128,Stress_Light-on,4,female,22.29580573951435,25.09197939661516,69.0,36.0,0.8885630498533724,1.9166666666666667,#f55e6f
129,Stress_Light-on,4,female,7.209372183838991,67.46770802042656,51.0,47.0,0.1068566340160285,1.0851063829787233,#f55e6f
130,Stress_Light-on,4,female,15.432873274780427,2.9485570890840656,76.0,45.0,5.234042553191489,1.6888888888888889,#f55e6f
131,Stress_Light-on,4,female,9.316239316239317,8.974358974358974,63.0,37.0,1.0380952380952382,1.7027027027027026,#f55e6f
132,Stress_Light-on,4,male,0.0,0.001,31.0,44.0,0.0,0.7045454545454546,#f55e6f
133,Stress_Light-on,4,male,22.181146025878004,34.011090573012936,87.0,54.0,0.6521739130434783,1.6111111111111112,#f55e6f
134,Stress_Light-on,4,male,2.307692307692308,32.76923076923077,68.0,48.0,0.07042253521126762,1.4166666666666667,#f55e6f
135,Stress_Light-on,4,male,12.299640170101407,25.809617271835133,74.0,36.0,0.47655259822560203,2.0555555555555554,#f55e6f
136,Stress_Light-on,4,female,10.135970333745364,4.07911001236094,64.0,55.0,2.4848484848484844,1.1636363636363636,#f55e6f
137,Stress_Light-on,4,female,8.440366972477065,0.001,44.0,63.0,8440.366972477064,0.6984126984126984,#f55e6f
138,Stress_Light-on,4,female,4.830917874396135,24.154589371980677,44.0,48.0,0.2,0.9166666666666666,#f55e6f
139,Stress_Light-on,4,female,7.839224629418472,20.410490307867732,105.0,58.0,0.38407821229050276,1.8103448275862069,#f55e6f
140,Stress_Light-on,4,male,20.26143790849673,0.3734827264239029,70.0,48.0,54.25,1.4583333333333333,#f55e6f
141,Stress_Light-on,4,male,4.827586206896552,3.67816091954023,38.0,51.0,1.3125,0.7450980392156863,#f55e6f
142,Stress_Light-on,4,male,32.7027027027027,7.837837837837839,57.0,34.0,4.1724137931034475,1.6764705882352942,#f55e6f
143,Stress_Light-on,4,male,0.0,10.869565217391305,48.0,41.0,0.0,1.170731707317073,#f55e6f
144,Stress_Light-on,4,female,6.944444444444445,0.001,52.0,32.0,6944.444444444444,1.625,#f55e6f
145,Stress_Light-on,4,female,11.865284974093264,16.16580310880829,66.0,39.0,0.7339743589743589,1.6923076923076923,#f55e6f
146,Stress_Light-on,4,female,17.52477640802514,9.886391104665217,109.0,39.0,1.7726161369193154,2.7948717948717947,#f55e6f
