movement_cluster_label,count,percentage,color,plot_order,gender,ExperimentTime,LightingCondition
exploration,1013788,0.6258066507404458,#009688,,male,Morning,lightOn
locomotion,444248,0.274232238868621,#DC2543,,male,Morning,lightOn
maintenance,122867,0.07584523170182164,#A13E97,,male,Morning,lightOn
nap,39067,0.024115878689111525,#B0BEC5,,male,Morning,lightOn
maintenance,742381,0.4296186342592593,#A13E97,,male,Stress,info
exploration,667624,0.3863564814814815,#009688,,male,Stress,info
locomotion,316937,0.18341261574074075,#DC2543,,male,Stress,info
nap,1058,0.0006122685185185185,#B0BEC5,,male,Stress,info
exploration,1008228,0.6223744884164522,#009688,,female,Morning,lightOn
locomotion,447227,0.2760711618116385,#DC2543,,female,Morning,lightOn
maintenance,130377,0.08048112002074112,#A13E97,,female,Morning,lightOn
nap,34138,0.02107322975116823,#B0BEC5,,female,Morning,lightOn
exploration,692949,0.4010121527777778,#009688,,female,Stress,info
maintenance,640516,0.3706689814814815,#A13E97,,female,Stress,info
locomotion,388661,0.2249195601851852,#DC2543,,female,Stress,info
nap,5874,0.0033993055555555556,#B0BEC5,,female,Stress,info
