movement_label,movement_fraction,movement_frequency,movement_duration,movement_intervels,gender,group,group_id
running,0.6466428959932314,13.0,20.375830769230774,5461.635416666666,male,Morning_Light-on,1
trotting,3.0458693418746603,58.0,30.271751724137932,1426.3161842105262,male,Morning_Light-on,1
left_turning,10.739106786728712,157.0,37.662870700636944,508.325441025641,male,Morning_Light-on,1
right_turning,4.0369855562941925,87.0,22.6520908045977,961.613930232558,male,Morning_Light-on,1
walking,17.852178642654255,226.0,37.6578278761062,345.3082911111111,male,Morning_Light-on,1
stepping,5.680788058258295,79.0,35.44627974683544,1073.9550243589742,male,Morning_Light-on,1
sniffing,40.32150843053122,517.0,62.10448181818181,111.6795593023256,male,Morning_Light-on,1
rising,5.130839427086481,274.0,29.783661678832118,298.11512307692306,male,Morning_Light-on,1
hunching,3.710642412521907,56.0,38.71018214285714,1521.3942854545453,male,Morning_Light-on,1
rearing,3.885900767510727,123.0,49.07263658536585,681.754887704918,male,Morning_Light-on,1
climbing,0.0,224.0,59.93886919642857,331.0495843049327,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,3.1304768235934004,61.0,87.8793131147541,1407.752815,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,1.8190608569529219,9.0,167.44444444444446,9336.625,male,Morning_Light-on,1
running,0.5135679089457977,4.0,25.0,28694.0,female,Night_Light-on,3
trotting,2.9634256367548057,30.0,28.89431333333333,3011.1666413793105,female,Night_Light-on,3
left_turning,13.137622319383718,133.0,34.78031278195489,644.3154378787879,female,Night_Light-on,3
right_turning,2.0820320632937745,76.0,25.475965789473687,1172.4292506666668,female,Night_Light-on,3
walking,31.070858491220765,219.0,44.07011050228311,366.76711467889913,female,Night_Light-on,3
stepping,7.099729335831771,80.0,39.35281875,1030.2135556962025,female,Night_Light-on,3
sniffing,26.643070303282673,436.0,61.462526605504586,144.9704885057471,female,Night_Light-on,3
rising,6.940106877645916,280.0,37.43749642857143,283.883752688172,female,Night_Light-on,3
hunching,2.3041154833784443,81.0,39.56151481481481,1050.7418175,female,Night_Light-on,3
rearing,5.33694218890971,121.0,51.142841322314055,690.2074791666666,female,Night_Light-on,3
climbing,0.006940106877645916,159.0,58.305542138364785,509.40520443037974,female,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,female,Night_Light-on,3
grooming,1.8738288569643973,67.0,179.55305671641793,1153.6554196969698,female,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,female,Night_Light-on,3
pausing,0.027760427510583663,7.0,236.71428571428572,12849.0,female,Night_Light-on,3
running,2.010914255812215,32.0,28.44965625,2696.3916999999997,male,Night_Light-on,3
trotting,7.707258727666891,77.0,34.250610389610394,1059.6168210526314,male,Night_Light-on,3
left_turning,8.424908424908425,97.0,33.2793350515464,848.4584208333334,male,Night_Light-on,3
right_turning,3.0724377663153173,43.0,27.124893023255815,1606.689611904762,male,Night_Light-on,3
walking,24.65425730731853,218.0,37.19145642201835,353.73626129032255,male,Night_Light-on,3
stepping,7.4231890558421165,50.0,33.735678,1370.2083734693877,male,Night_Light-on,3
sniffing,25.850340136054424,290.0,50.98852310344828,254.39724775086506,male,Night_Light-on,3
rising,4.223667488973612,213.0,29.903492018779342,387.99596556603774,male,Night_Light-on,3
hunching,0.8297824624355237,56.0,37.937725,1461.1671672727273,male,Night_Light-on,3
rearing,4.089108170740824,111.0,49.54572792792792,751.3284499999999,male,Night_Light-on,3
climbing,0.02242655303879794,187.0,70.72039518716578,398.7732387096774,male,Night_Light-on,3
jumping,0.0,3.0,77.33333333333333,4203.5,male,Night_Light-on,3
grooming,11.691709650893324,98.0,287.1100785714285,602.138862886598,male,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,male,Night_Light-on,3
pausing,0.0,4.0,474.75,23216.333333333332,male,Night_Light-on,3
running,0.7966513637591143,2.0,31.5,55712.0,female,Night_Light-on,3
trotting,4.158790170132325,11.0,38.032390909090914,7460.805609999999,female,Night_Light-on,3
left_turning,10.80205238995409,84.0,26.787467857142857,1025.7520975903615,female,Night_Light-on,3
right_turning,2.7950310559006213,25.0,30.738688,3523.8354,female,Night_Light-on,3
walking,30.461787739670537,108.0,43.29093055555555,782.4139635514019,female,Night_Light-on,3
stepping,6.467728868485012,30.0,34.26850666666667,2979.0209344827585,female,Night_Light-on,3
sniffing,29.908182554685393,280.0,71.3029325,246.3987562724014,female,Night_Light-on,3
rising,6.589251957871996,121.0,32.54218595041323,707.9793866666668,female,Night_Light-on,3
hunching,0.12152308938698353,33.0,45.86494242424242,2673.09383125,female,Night_Light-on,3
rearing,4.604374831217931,73.0,39.31404109589041,1173.1634472222222,female,Night_Light-on,3
climbing,0.0,77.0,65.27677142857142,1073.1781802631579,female,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,female,Night_Light-on,3
grooming,3.294625978935998,78.0,318.17266025641027,830.8365727272727,female,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,female,Night_Light-on,3
pausing,0.0,14.0,1623.187064285714,2573.8559230769233,female,Night_Light-on,3
running,0.3135538070165059,6.0,19.166666666666668,9754.6,male,Morning_Light-on,1
trotting,2.662249304857126,44.0,27.362509090909093,1828.1050093023255,male,Morning_Light-on,1
left_turning,9.649174702715495,187.0,35.39429625668449,434.6994193548387,male,Morning_Light-on,1
right_turning,3.5023368632787077,76.0,29.418794736842106,1120.1471800000002,male,Morning_Light-on,1
walking,20.86020233094717,289.0,38.23425743944637,263.1292517361111,male,Morning_Light-on,1
stepping,7.8625096136780455,82.0,37.98186463414634,1034.586611111111,male,Morning_Light-on,1
sniffing,25.19671064308111,465.0,73.55764860215055,117.23967349137932,male,Morning_Light-on,1
rising,6.353901674259007,219.0,36.94564383561644,368.15040321100923,male,Morning_Light-on,1
hunching,2.248121635212684,32.0,48.416146875,2744.9043774193547,male,Morning_Light-on,1
rearing,8.980654321718038,109.0,49.991189908256885,779.7074259259259,male,Morning_Light-on,1
climbing,0.3431343548482518,143.0,66.06413146853147,536.9798457746479,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,12.02745074838786,68.0,93.199075,1242.0316552238808,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,0.0,3.0,151.0,37724.0,male,Morning_Light-on,1
running,0.17807573456240505,5.0,19.6,11555.5,male,Morning_Light-on,1
trotting,4.593306447389096,54.0,26.87962592592592,1589.1024905660379,male,Morning_Light-on,1
left_turning,15.723039857539412,187.0,36.02374278074866,437.237079032258,male,Morning_Light-on,1
right_turning,2.451160111035458,53.0,25.797990566037736,1570.2733326923076,male,Morning_Light-on,1
walking,27.02561148064736,283.0,37.92083568904593,277.4476209219858,male,Morning_Light-on,1
stepping,6.6307023516472015,72.0,38.42658888888889,1197.994033802817,male,Morning_Light-on,1
sniffing,33.7139265699471,446.0,71.18525134529148,130.49518741573036,male,Morning_Light-on,1
rising,2.9644372283035665,201.0,35.09135870646766,413.7219205,male,Morning_Light-on,1
hunching,0.5080395956633321,53.0,45.55140754716981,1612.156475,male,Morning_Light-on,1
rearing,1.2203425339129523,88.0,43.47173068181818,974.996375862069,male,Morning_Light-on,1
climbing,0.026187608023883095,150.0,53.19404599999999,543.528444295302,male,Morning_Light-on,1
jumping,0.0,1.0,120.0,0.0,male,Morning_Light-on,1
grooming,4.823757397999267,82.0,133.39908170731707,868.5379913580248,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,0.14141308332896874,14.0,197.8072857142857,5378.896646153846,male,Morning_Light-on,1
running,0.5731698469128637,12.0,23.746233333333333,6195.355490909091,male,Morning_Light-on,1
trotting,3.85257200899659,48.0,30.08380833333333,1713.1188106382976,male,Morning_Light-on,1
left_turning,8.546760502067764,124.0,33.250816129032266,679.7995528455283,male,Morning_Light-on,1
right_turning,1.8428498875426251,76.0,26.836240789473685,1144.529084,male,Morning_Light-on,1
walking,23.84821882028586,219.0,42.505030136986306,361.3034201834862,male,Morning_Light-on,1
stepping,7.088442283973011,68.0,33.89701176470589,1172.6381253731345,male,Morning_Light-on,1
sniffing,30.980192991366174,433.0,72.16032124711317,134.84603078703702,male,Morning_Light-on,1
rising,9.591525792643111,215.0,35.47185441860464,377.0387359813084,male,Morning_Light-on,1
hunching,0.9577015163607342,40.0,47.6518275,2191.9399435897435,male,Morning_Light-on,1
rearing,8.191250090691431,110.0,63.40876272727273,729.1895614678899,male,Morning_Light-on,1
climbing,0.0580425161430748,146.0,68.27176095890412,531.1172137931034,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,3.729231662192556,68.0,119.06296470588237,1191.6824119402986,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
