,sniffing_Morning_Light-on,sniffing_Stress_Light-on,rising_Morning_Light-on,rising_Stress_Light-on,hunching_Morning_Light-on,hunching_Stress_Light-on,rearing_Morning_Light-on,rearing_Stress_Light-on,climbing_Morning_Light-on,climbing_Stress_Light-on
0,165.69011792312972,178.93418476753828,149.8642488403049,171.77800565874972,160.34194412029544,167.7671892346716,144.8601041618113,175.3422905369815,148.94927206069858,168.31832480608773
1,173.89271336964973,160.6234811300693,178.21215653280592,171.19066997143608,164.05783522916855,168.5760568823838,146.32027167191205,173.5571291285238,161.647757171619,165.8586500828402
2,156.34446879601836,171.76521512652153,167.8123201496717,170.7802255804153,171.17893547358065,179.93545754915718,140.17959712119398,167.709254199836,166.31871000811444,145.50936730447694
3,165.67245814093337,168.97129496848837,170.79667988030394,170.42072063079888,149.58389755791006,153.78514901476532,174.27125059753442,172.50972484609633,177.76027104805883,168.49696821208735
4,149.67631763002754,173.1655014664616,151.498758815223,165.66460456258315,168.09987034529172,169.1145420176148,179.09438889707076,170.23570352108987,164.5543755530703,170.08601991369068
5,159.3515700946042,179.5449431198356,151.89731345216367,177.25799702152347,155.60033558579295,177.17567115166617,145.20616156768085,176.62522369684356,142.4836857799951,173.39157702900224
6,172.78485484217143,168.69530466787683,168.67346879222097,170.56879558917436,142.86288949848787,171.21508356669204,174.60016677762434,174.96432562532408,153.46947685810622,177.01983355433555
7,172.00598046502253,175.91099650352677,173.86437341791972,174.57584356780498,163.17204500317652,157.8851485602875,177.41971100656585,174.32146675446361,163.13927331036084,174.20694578845115
8,170.88566343450572,167.45714016081868,177.3968309739308,179.84745533861394,170.5792765757862,144.19012049136958,156.29436912678727,165.75923447043772,165.05563504424484,147.24479189497814
9,165.79030275938413,162.6738065119209,173.63226674261566,176.44410074200567,168.8930805465504,121.49896152509626,160.92984856205956,175.33041331357163,160.48148712277543,167.6418217590109
