,revised_movement_label,step_type,bouts,valley_time_gap,vally_value,peak_time_gap,peak_value,group
0,running,distance1,1,8.0,44.28135267901347,8.0,54.02288974833201,Morning_lightOn
1,running,distance1,2,6.0,45.16448463733705,6.0,55.29685166021622,Morning_lightOn
2,running,distance1,3,5.25,45.830875417352956,5.4,53.356009900878625,Morning_lightOn
3,running,distance1,4,4.0,50.055549204401835,5.0,55.83536133751069,Morning_lightOn
4,running,distance1,5,6.0,44.90789507769584,6.5,53.93668871982529,Morning_lightOn
5,running,distance1,6,6.0,52.38875604002551,6.0,61.07219267822942,Morning_lightOn
6,running,distance1,7,4.666666666666667,47.321259183894995,5.0,53.61495046236357,Morning_lightOn
7,running,distance1,8,5.0,45.13364584214012,5.0,53.15003558288612,Morning_lightOn
8,trotting,distance1,1,8.0,45.153585371003714,9.0,56.11626561812325,Morning_lightOn
9,trotting,distance1,2,7.5,47.03334933777603,9.0,53.26364392398101,Morning_lightOn
10,trotting,distance1,3,9.0,43.95255056730727,8.75,52.74829130834534,Morning_lightOn
11,trotting,distance1,4,6.666666666666667,43.71034879979949,7.5,53.86034261560619,Morning_lightOn
12,trotting,distance1,5,6.5,43.222984078560906,7.333333333333333,55.40903636786668,Morning_lightOn
13,trotting,distance1,6,8.0,43.317778921204216,8.0,54.93226051289661,Morning_lightOn
14,trotting,distance1,7,9.333333333333334,41.32410658233522,9.0,54.66674758179221,Morning_lightOn
15,trotting,distance1,8,6.0,44.19990786854614,6.0,50.21899007124841,Morning_lightOn
16,trotting,distance1,9,7.5,43.9372889050673,8.0,60.80623037632561,Morning_lightOn
17,trotting,distance1,10,6.0,44.824805945957856,6.0,54.44135616659197,Morning_lightOn
18,trotting,distance1,11,7.0,46.69010560996011,7.5,61.20018721991235,Morning_lightOn
19,trotting,distance1,12,7.5,47.29788348360946,8.333333333333334,57.78559694006273,Morning_lightOn
20,trotting,distance1,13,7.0,46.74397164971343,6.75,53.01562742547067,Morning_lightOn
21,trotting,distance1,14,10.0,44.79231794528147,9.5,55.473949207029214,Morning_lightOn
22,trotting,distance1,15,6.0,47.71382528652456,6.0,59.253823768663096,Morning_lightOn
23,trotting,distance1,16,7.333333333333333,42.41719577666927,7.5,53.98697326045458,Morning_lightOn
24,trotting,distance1,17,8.5,47.56559477609806,7.0,62.867452937879555,Morning_lightOn
