,revised_movement_label,count,percentage,loc_type,location,statistic_type,video_index,ExperimentCondition,gender
0,running,115.0,0.10983763132760267,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
1,trotting,257.0,0.2454632282712512,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
2,left_turning,495.0,0.47277936962750716,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
3,right_turning,131.0,0.1251193887297039,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
4,walking,932.0,0.8901623686723973,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
5,stepping,190.0,0.18147086914995225,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
6,sniffing,1047.0,1.0,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
7,rising,68.0,0.06494746895893028,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
8,hunching,0.0,0.0,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
9,rearing,0.0,0.0,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
10,climbing,0.0,0.0,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
11,jumping,0.0,0.0,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
12,grooming,46.0,0.04393505253104107,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
13,scratching,0.0,0.0,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
14,pausing,0.0,0.0,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
15,running,82.0,0.024061032863849766,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
16,trotting,293.0,0.08597417840375587,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
17,left_turning,903.0,0.2649647887323944,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
18,right_turning,373.0,0.10944835680751173,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
19,walking,1466.0,0.4301643192488263,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
20,stepping,322.0,0.09448356807511737,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
21,sniffing,3408.0,1.0,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
22,rising,713.0,0.2092136150234742,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
23,hunching,300.0,0.0880281690140845,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
24,rearing,291.0,0.08538732394366197,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
25,climbing,950.0,0.27875586854460094,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
26,jumping,0.0,0.0,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
27,grooming,87.0,0.025528169014084508,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
28,scratching,0.0,0.0,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
29,pausing,0.0,0.0,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
30,running,3.0,0.0011290929619872036,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
31,trotting,0.0,0.0,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
32,left_turning,367.0,0.13812570568310123,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
33,right_turning,100.0,0.03763643206624012,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
34,walking,192.0,0.07226194956718103,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
35,stepping,18.0,0.006774557771923222,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
36,sniffing,2657.0,1.0,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
37,rising,724.0,0.2724877681595785,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
38,hunching,112.0,0.042152803914188935,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
39,rearing,194.0,0.07301467820850584,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
40,climbing,1164.0,0.438088069251035,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
41,jumping,0.0,0.0,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
42,grooming,0.0,0.0,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
43,scratching,0.0,0.0,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
44,pausing,0.0,0.0,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
45,running,0.0,0.0,data_driven_location,center,data_driven_location,7,Morning_Light-on,male
46,trotting,89.0,0.13204747774480713,data_driven_location,center,data_driven_location,7,Morning_Light-on,male
47,left_turning,320.0,0.47477744807121663,data_driven_location,center,data_driven_location,7,Morning_Light-on,male
48,right_turning,99.0,0.14688427299703263,data_driven_location,center,data_driven_location,7,Morning_Light-on,male
49,walking,471.0,0.6988130563798219,data_driven_location,center,data_driven_location,7,Morning_Light-on,male
50,stepping,85.0,0.1261127596439169,data_driven_location,center,data_driven_location,7,Morning_Light-on,male
51,sniffing,674.0,1.0,data_driven_location,center,data_driven_location,7,Morning_Light-on,male
52,rising,194.0,0.2878338278931751,data_driven_location,center,data_driven_location,7,Morning_Light-on,male
53,hunching,0.0,0.0,data_driven_location,center,data_driven_location,7,Morning_Light-on,male
54,rearing,293.0,0.43471810089020774,data_driven_location,center,data_driven_location,7,Morning_Light-on,male
55,climbing,0.0,0.0,data_driven_location,center,data_driven_location,7,Morning_Light-on,male
56,jumping,0.0,0.0,data_driven_location,center,data_driven_location,7,Morning_Light-on,male
57,grooming,57.0,0.08456973293768547,data_driven_location,center,data_driven_location,7,Morning_Light-on,male
58,scratching,0.0,0.0,data_driven_location,center,data_driven_location,7,Morning_Light-on,male
59,pausing,0.0,0.0,data_driven_location,center,data_driven_location,7,Morning_Light-on,male
60,running,10.0,0.0027731558513588465,data_driven_location,perimeter,data_driven_location,7,Morning_Light-on,male
61,trotting,110.0,0.03050471436494731,data_driven_location,perimeter,data_driven_location,7,Morning_Light-on,male
62,left_turning,1127.0,0.312534664448142,data_driven_location,perimeter,data_driven_location,7,Morning_Light-on,male
63,right_turning,204.0,0.056572379367720464,data_driven_location,perimeter,data_driven_location,7,Morning_Light-on,male
64,walking,1671.0,0.4633943427620632,data_driven_location,perimeter,data_driven_location,7,Morning_Light-on,male
65,stepping,286.0,0.079312257348863,data_driven_location,perimeter,data_driven_location,7,Morning_Light-on,male
66,sniffing,3606.0,1.0,data_driven_location,perimeter,data_driven_location,7,Morning_Light-on,male
67,rising,926.0,0.25679423183582917,data_driven_location,perimeter,data_driven_location,7,Morning_Light-on,male
68,hunching,36.0,0.009983361064891847,data_driven_location,perimeter,data_driven_location,7,Morning_Light-on,male
69,rearing,326.0,0.0904048807542984,data_driven_location,perimeter,data_driven_location,7,Morning_Light-on,male
70,climbing,198.0,0.05490848585690516,data_driven_location,perimeter,data_driven_location,7,Morning_Light-on,male
71,jumping,0.0,0.0,data_driven_location,perimeter,data_driven_location,7,Morning_Light-on,male
72,grooming,183.0,0.050748752079866885,data_driven_location,perimeter,data_driven_location,7,Morning_Light-on,male
73,scratching,0.0,0.0,data_driven_location,perimeter,data_driven_location,7,Morning_Light-on,male
74,pausing,237.0,0.06572379367720466,data_driven_location,perimeter,data_driven_location,7,Morning_Light-on,male
75,running,0.0,0.0,data_driven_location,corner,data_driven_location,7,Morning_Light-on,male
76,trotting,11.0,0.0030186608122941823,data_driven_location,corner,data_driven_location,7,Morning_Light-on,male
77,left_turning,314.0,0.08616904500548847,data_driven_location,corner,data_driven_location,7,Morning_Light-on,male
78,right_turning,107.0,0.029363336992316136,data_driven_location,corner,data_driven_location,7,Morning_Light-on,male
79,walking,256.0,0.07025246981339188,data_driven_location,corner,data_driven_location,7,Morning_Light-on,male
80,stepping,189.0,0.05186608122941822,data_driven_location,corner,data_driven_location,7,Morning_Light-on,male
81,sniffing,3644.0,1.0,data_driven_location,corner,data_driven_location,7,Morning_Light-on,male
82,rising,833.0,0.22859495060373217,data_driven_location,corner,data_driven_location,7,Morning_Light-on,male
83,hunching,78.0,0.021405049396267837,data_driven_location,corner,data_driven_location,7,Morning_Light-on,male
84,rearing,187.0,0.0513172338090011,data_driven_location,corner,data_driven_location,7,Morning_Light-on,male
85,climbing,590.0,0.1619099890230516,data_driven_location,corner,data_driven_location,7,Morning_Light-on,male
86,jumping,0.0,0.0,data_driven_location,corner,data_driven_location,7,Morning_Light-on,male
87,grooming,220.0,0.06037321624588365,data_driven_location,corner,data_driven_location,7,Morning_Light-on,male
88,scratching,0.0,0.0,data_driven_location,corner,data_driven_location,7,Morning_Light-on,male
89,pausing,369.0,0.10126234906695938,data_driven_location,corner,data_driven_location,7,Morning_Light-on,male
90,running,14.0,0.011608623548922056,data_driven_location,center,data_driven_location,8,Morning_Light-on,male
91,trotting,267.0,0.22139303482587064,data_driven_location,center,data_driven_location,8,Morning_Light-on,male
92,left_turning,547.0,0.45356550580431176,data_driven_location,center,data_driven_location,8,Morning_Light-on,male
93,right_turning,107.0,0.08872305140961857,data_driven_location,center,data_driven_location,8,Morning_Light-on,male
94,walking,1206.0,1.0,data_driven_location,center,data_driven_location,8,Morning_Light-on,male
95,stepping,229.0,0.18988391376451078,data_driven_location,center,data_driven_location,8,Morning_Light-on,male
96,sniffing,823.0,0.6824212271973465,data_driven_location,center,data_driven_location,8,Morning_Light-on,male
97,rising,90.0,0.07462686567164178,data_driven_location,center,data_driven_location,8,Morning_Light-on,male
98,hunching,0.0,0.0,data_driven_location,center,data_driven_location,8,Morning_Light-on,male
99,rearing,13.0,0.01077943615257048,data_driven_location,center,data_driven_location,8,Morning_Light-on,male
100,climbing,0.0,0.0,data_driven_location,center,data_driven_location,8,Morning_Light-on,male
101,jumping,0.0,0.0,data_driven_location,center,data_driven_location,8,Morning_Light-on,male
102,grooming,56.0,0.04643449419568822,data_driven_location,center,data_driven_location,8,Morning_Light-on,male
103,scratching,0.0,0.0,data_driven_location,center,data_driven_location,8,Morning_Light-on,male
104,pausing,0.0,0.0,data_driven_location,center,data_driven_location,8,Morning_Light-on,male
105,running,0.0,0.0,data_driven_location,perimeter,data_driven_location,8,Morning_Light-on,male
106,trotting,124.0,0.0372037203720372,data_driven_location,perimeter,data_driven_location,8,Morning_Light-on,male
107,left_turning,598.0,0.17941794179417941,data_driven_location,perimeter,data_driven_location,8,Morning_Light-on,male
108,right_turning,288.0,0.08640864086408641,data_driven_location,perimeter,data_driven_location,8,Morning_Light-on,male
109,walking,1056.0,0.31683168316831684,data_driven_location,perimeter,data_driven_location,8,Morning_Light-on,male
110,stepping,485.0,0.14551455145514552,data_driven_location,perimeter,data_driven_location,8,Morning_Light-on,male
111,sniffing,3333.0,1.0,data_driven_location,perimeter,data_driven_location,8,Morning_Light-on,male
112,rising,1124.0,0.33723372337233726,data_driven_location,perimeter,data_driven_location,8,Morning_Light-on,male
113,hunching,239.0,0.07170717071707171,data_driven_location,perimeter,data_driven_location,8,Morning_Light-on,male
114,rearing,117.0,0.0351035103510351,data_driven_location,perimeter,data_driven_location,8,Morning_Light-on,male
115,climbing,819.0,0.24572457245724572,data_driven_location,perimeter,data_driven_location,8,Morning_Light-on,male
116,jumping,0.0,0.0,data_driven_location,perimeter,data_driven_location,8,Morning_Light-on,male
117,grooming,127.0,0.038103810381038106,data_driven_location,perimeter,data_driven_location,8,Morning_Light-on,male
118,scratching,0.0,0.0,data_driven_location,perimeter,data_driven_location,8,Morning_Light-on,male
119,pausing,0.0,0.0,data_driven_location,perimeter,data_driven_location,8,Morning_Light-on,male
120,running,0.0,0.0,data_driven_location,corner,data_driven_location,8,Morning_Light-on,male
121,trotting,0.0,0.0,data_driven_location,corner,data_driven_location,8,Morning_Light-on,male
122,left_turning,150.0,0.05177770107007249,data_driven_location,corner,data_driven_location,8,Morning_Light-on,male
123,right_turning,73.0,0.025198481187435277,data_driven_location,corner,data_driven_location,8,Morning_Light-on,male
124,walking,91.0,0.03141180531584398,data_driven_location,corner,data_driven_location,8,Morning_Light-on,male
125,stepping,89.0,0.03072143596824301,data_driven_location,corner,data_driven_location,8,Morning_Light-on,male
126,sniffing,2897.0,1.0,data_driven_location,corner,data_driven_location,8,Morning_Light-on,male
127,rising,1068.0,0.3686572316189161,data_driven_location,corner,data_driven_location,8,Morning_Light-on,male
128,hunching,94.0,0.03244735933724543,data_driven_location,corner,data_driven_location,8,Morning_Light-on,male
129,rearing,117.0,0.040386606834656544,data_driven_location,corner,data_driven_location,8,Morning_Light-on,male
130,climbing,1173.0,0.40490162236796684,data_driven_location,corner,data_driven_location,8,Morning_Light-on,male
131,jumping,0.0,0.0,data_driven_location,corner,data_driven_location,8,Morning_Light-on,male
132,grooming,135.0,0.04659993096306524,data_driven_location,corner,data_driven_location,8,Morning_Light-on,male
133,scratching,0.0,0.0,data_driven_location,corner,data_driven_location,8,Morning_Light-on,male
134,pausing,451.0,0.15567828788401794,data_driven_location,corner,data_driven_location,8,Morning_Light-on,male
135,running,0.0,0.0,data_driven_location,center,data_driven_location,9,Morning_Light-on,male
136,trotting,200.0,0.20833333333333334,data_driven_location,center,data_driven_location,9,Morning_Light-on,male
137,left_turning,173.0,0.18020833333333333,data_driven_location,center,data_driven_location,9,Morning_Light-on,male
138,right_turning,152.0,0.15833333333333333,data_driven_location,center,data_driven_location,9,Morning_Light-on,male
139,walking,960.0,1.0,data_driven_location,center,data_driven_location,9,Morning_Light-on,male
140,stepping,178.0,0.18541666666666667,data_driven_location,center,data_driven_location,9,Morning_Light-on,male
141,sniffing,606.0,0.63125,data_driven_location,center,data_driven_location,9,Morning_Light-on,male
142,rising,350.0,0.3645833333333333,data_driven_location,center,data_driven_location,9,Morning_Light-on,male
143,hunching,3.0,0.003125,data_driven_location,center,data_driven_location,9,Morning_Light-on,male
144,rearing,92.0,0.09583333333333334,data_driven_location,center,data_driven_location,9,Morning_Light-on,male
145,climbing,17.0,0.017708333333333333,data_driven_location,center,data_driven_location,9,Morning_Light-on,male
146,jumping,0.0,0.0,data_driven_location,center,data_driven_location,9,Morning_Light-on,male
147,grooming,0.0,0.0,data_driven_location,center,data_driven_location,9,Morning_Light-on,male
148,scratching,0.0,0.0,data_driven_location,center,data_driven_location,9,Morning_Light-on,male
149,pausing,0.0,0.0,data_driven_location,center,data_driven_location,9,Morning_Light-on,male
150,running,0.0,0.0,data_driven_location,perimeter,data_driven_location,9,Morning_Light-on,male
151,trotting,143.0,0.04602510460251046,data_driven_location,perimeter,data_driven_location,9,Morning_Light-on,male
152,left_turning,459.0,0.1477309301577084,data_driven_location,perimeter,data_driven_location,9,Morning_Light-on,male
153,right_turning,408.0,0.13131638236240747,data_driven_location,perimeter,data_driven_location,9,Morning_Light-on,male
154,walking,1529.0,0.49211457998068875,data_driven_location,perimeter,data_driven_location,9,Morning_Light-on,male
155,stepping,368.0,0.11844222722883811,data_driven_location,perimeter,data_driven_location,9,Morning_Light-on,male
156,sniffing,3107.0,1.0,data_driven_location,perimeter,data_driven_location,9,Morning_Light-on,male
157,rising,1037.0,0.3337624718377856,data_driven_location,perimeter,data_driven_location,9,Morning_Light-on,male
158,hunching,335.0,0.10782104924364339,data_driven_location,perimeter,data_driven_location,9,Morning_Light-on,male
159,rearing,474.0,0.1525587383327969,data_driven_location,perimeter,data_driven_location,9,Morning_Light-on,male
160,climbing,1100.0,0.3540392661731574,data_driven_location,perimeter,data_driven_location,9,Morning_Light-on,male
161,jumping,0.0,0.0,data_driven_location,perimeter,data_driven_location,9,Morning_Light-on,male
162,grooming,26.0,0.008368200836820083,data_driven_location,perimeter,data_driven_location,9,Morning_Light-on,male
163,scratching,0.0,0.0,data_driven_location,perimeter,data_driven_location,9,Morning_Light-on,male
164,pausing,0.0,0.0,data_driven_location,perimeter,data_driven_location,9,Morning_Light-on,male
165,running,0.0,0.0,data_driven_location,corner,data_driven_location,9,Morning_Light-on,male
166,trotting,11.0,0.005166744950681071,data_driven_location,corner,data_driven_location,9,Morning_Light-on,male
167,left_turning,224.0,0.10521371535932363,data_driven_location,corner,data_driven_location,9,Morning_Light-on,male
168,right_turning,183.0,0.085955847815876,data_driven_location,corner,data_driven_location,9,Morning_Light-on,male
169,walking,200.0,0.09394081728511038,data_driven_location,corner,data_driven_location,9,Morning_Light-on,male
170,stepping,139.0,0.06528886801315172,data_driven_location,corner,data_driven_location,9,Morning_Light-on,male
171,sniffing,2026.0,0.9516204790981682,data_driven_location,corner,data_driven_location,9,Morning_Light-on,male
172,rising,934.0,0.43870361672146546,data_driven_location,corner,data_driven_location,9,Morning_Light-on,male
173,hunching,64.0,0.030061061531235323,data_driven_location,corner,data_driven_location,9,Morning_Light-on,male
174,rearing,244.0,0.11460779708783467,data_driven_location,corner,data_driven_location,9,Morning_Light-on,male
175,climbing,2129.0,1.0,data_driven_location,corner,data_driven_location,9,Morning_Light-on,male
176,jumping,0.0,0.0,data_driven_location,corner,data_driven_location,9,Morning_Light-on,male
177,grooming,129.0,0.060591827148896195,data_driven_location,corner,data_driven_location,9,Morning_Light-on,male
178,scratching,0.0,0.0,data_driven_location,corner,data_driven_location,9,Morning_Light-on,male
179,pausing,0.0,0.0,data_driven_location,corner,data_driven_location,9,Morning_Light-on,male
180,running,30.0,0.03841229193341869,data_driven_location,center,data_driven_location,13,Morning_Light-on,female
181,trotting,235.0,0.30089628681177977,data_driven_location,center,data_driven_location,13,Morning_Light-on,female
182,left_turning,269.0,0.3444302176696543,data_driven_location,center,data_driven_location,13,Morning_Light-on,female
183,right_turning,161.0,0.20614596670934698,data_driven_location,center,data_driven_location,13,Morning_Light-on,female
184,walking,781.0,1.0,data_driven_location,center,data_driven_location,13,Morning_Light-on,female
185,stepping,237.0,0.3034571062740077,data_driven_location,center,data_driven_location,13,Morning_Light-on,female
186,sniffing,624.0,0.7989756722151088,data_driven_location,center,data_driven_location,13,Morning_Light-on,female
187,rising,207.0,0.26504481434058896,data_driven_location,center,data_driven_location,13,Morning_Light-on,female
188,hunching,10.0,0.012804097311139564,data_driven_location,center,data_driven_location,13,Morning_Light-on,female
189,rearing,198.0,0.2535211267605634,data_driven_location,center,data_driven_location,13,Morning_Light-on,female
190,climbing,1.0,0.0012804097311139564,data_driven_location,center,data_driven_location,13,Morning_Light-on,female
191,jumping,0.0,0.0,data_driven_location,center,data_driven_location,13,Morning_Light-on,female
192,grooming,69.0,0.088348271446863,data_driven_location,center,data_driven_location,13,Morning_Light-on,female
193,scratching,0.0,0.0,data_driven_location,center,data_driven_location,13,Morning_Light-on,female
194,pausing,0.0,0.0,data_driven_location,center,data_driven_location,13,Morning_Light-on,female
195,running,63.0,0.024475524475524476,data_driven_location,perimeter,data_driven_location,13,Morning_Light-on,female
196,trotting,326.0,0.12665112665112666,data_driven_location,perimeter,data_driven_location,13,Morning_Light-on,female
197,left_turning,540.0,0.2097902097902098,data_driven_location,perimeter,data_driven_location,13,Morning_Light-on,female
198,right_turning,249.0,0.09673659673659674,data_driven_location,perimeter,data_driven_location,13,Morning_Light-on,female
199,walking,2574.0,1.0,data_driven_location,perimeter,data_driven_location,13,Morning_Light-on,female
200,stepping,642.0,0.2494172494172494,data_driven_location,perimeter,data_driven_location,13,Morning_Light-on,female
201,sniffing,2440.0,0.947940947940948,data_driven_location,perimeter,data_driven_location,13,Morning_Light-on,female
202,rising,798.0,0.31002331002331,data_driven_location,perimeter,data_driven_location,13,Morning_Light-on,female
203,hunching,174.0,0.0675990675990676,data_driven_location,perimeter,data_driven_location,13,Morning_Light-on,female
204,rearing,331.0,0.1285936285936286,data_driven_location,perimeter,data_driven_location,13,Morning_Light-on,female
205,climbing,940.0,0.3651903651903652,data_driven_location,perimeter,data_driven_location,13,Morning_Light-on,female
206,jumping,0.0,0.0,data_driven_location,perimeter,data_driven_location,13,Morning_Light-on,female
207,grooming,49.0,0.019036519036519036,data_driven_location,perimeter,data_driven_location,13,Morning_Light-on,female
208,scratching,0.0,0.0,data_driven_location,perimeter,data_driven_location,13,Morning_Light-on,female
209,pausing,0.0,0.0,data_driven_location,perimeter,data_driven_location,13,Morning_Light-on,female
210,running,1.0,0.0005688282138794084,data_driven_location,corner,data_driven_location,13,Morning_Light-on,female
211,trotting,22.0,0.012514220705346985,data_driven_location,corner,data_driven_location,13,Morning_Light-on,female
212,left_turning,349.0,0.19852104664391354,data_driven_location,corner,data_driven_location,13,Morning_Light-on,female
213,right_turning,183.0,0.10409556313993173,data_driven_location,corner,data_driven_location,13,Morning_Light-on,female
214,walking,512.0,0.2912400455062571,data_driven_location,corner,data_driven_location,13,Morning_Light-on,female
215,stepping,289.0,0.16439135381114903,data_driven_location,corner,data_driven_location,13,Morning_Light-on,female
216,sniffing,1758.0,1.0,data_driven_location,corner,data_driven_location,13,Morning_Light-on,female
217,rising,908.0,0.5164960182025028,data_driven_location,corner,data_driven_location,13,Morning_Light-on,female
