,revised_movement_label,count,percentage,loc_type,location,statistic_type,video_index,ExperimentCondition,gender
0,running,49.0,0.11893203883495146,traditional_location,center,traditional_location,2,Morning_Light-on,male
1,trotting,160.0,0.3883495145631068,traditional_location,center,traditional_location,2,Morning_Light-on,male
2,left_turning,262.0,0.6359223300970874,traditional_location,center,traditional_location,2,Morning_Light-on,male
3,right_turning,10.0,0.024271844660194174,traditional_location,center,traditional_location,2,Morning_Light-on,male
4,walking,412.0,1.0,traditional_location,center,traditional_location,2,Morning_Light-on,male
5,stepping,134.0,0.32524271844660196,traditional_location,center,traditional_location,2,Morning_Light-on,male
6,sniffing,368.0,0.8932038834951457,traditional_location,center,traditional_location,2,Morning_Light-on,male
7,rising,20.0,0.04854368932038835,traditional_location,center,traditional_location,2,Morning_Light-on,male
8,hunching,0.0,0.0,traditional_location,center,traditional_location,2,Morning_Light-on,male
9,rearing,0.0,0.0,traditional_location,center,traditional_location,2,Morning_Light-on,male
10,climbing,0.0,0.0,traditional_location,center,traditional_location,2,Morning_Light-on,male
11,jumping,0.0,0.0,traditional_location,center,traditional_location,2,Morning_Light-on,male
12,grooming,0.0,0.0,traditional_location,center,traditional_location,2,Morning_Light-on,male
13,scratching,0.0,0.0,traditional_location,center,traditional_location,2,Morning_Light-on,male
14,pausing,0.0,0.0,traditional_location,center,traditional_location,2,Morning_Light-on,male
15,running,151.0,0.022390272835112694,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
16,trotting,390.0,0.05782918149466192,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
17,left_turning,1503.0,0.222864768683274,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
18,right_turning,594.0,0.08807829181494661,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
19,walking,2178.0,0.32295373665480426,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
20,stepping,396.0,0.05871886120996441,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
21,sniffing,6744.0,1.0,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
22,rising,1485.0,0.22019572953736655,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
23,hunching,412.0,0.06109134045077105,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
24,rearing,485.0,0.07191577698695137,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
25,climbing,2114.0,0.3134638196915777,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
26,jumping,0.0,0.0,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
27,grooming,133.0,0.01972123368920522,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
28,scratching,0.0,0.0,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
29,pausing,0.0,0.0,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
30,running,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
31,trotting,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
32,left_turning,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
33,right_turning,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
34,walking,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
35,stepping,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
36,sniffing,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
37,rising,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
38,hunching,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
39,rearing,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
40,climbing,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
41,jumping,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
42,grooming,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
43,scratching,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
