,location,points,density,statistic_type,video_index,ExperimentCondition,gender
0,center,18.227777777777778,1.4879818594104308,data_driven_location,2,Morning_Light-on,male
1,perimeter,51.04444444444445,4.8613756613756625,data_driven_location,2,Morning_Light-on,male
2,corner,30.727777777777774,13.656790123456789,data_driven_location,2,Morning_Light-on,male
3,center,12.677777777777777,1.0349206349206348,data_driven_location,7,Morning_Light-on,male
4,perimeter,49.55555555555556,4.71957671957672,data_driven_location,7,Morning_Light-on,male
5,corner,37.766666666666666,16.785185185185185,data_driven_location,7,Morning_Light-on,male
6,center,18.622222222222224,1.5201814058956917,data_driven_location,8,Morning_Light-on,male
7,perimeter,46.166666666666664,4.396825396825396,data_driven_location,8,Morning_Light-on,male
8,corner,35.21111111111111,15.64938271604938,data_driven_location,8,Morning_Light-on,male
9,center,15.172222222222222,1.2385487528344672,data_driven_location,9,Morning_Light-on,male
10,perimeter,49.922222222222224,4.754497354497355,data_driven_location,9,Morning_Light-on,male
11,corner,34.90555555555556,15.513580246913582,data_driven_location,9,Morning_Light-on,male
12,center,15.677777777777777,1.2798185941043083,data_driven_location,13,Morning_Light-on,female
13,perimeter,50.7,4.828571428571429,data_driven_location,13,Morning_Light-on,female
14,corner,33.62222222222222,14.943209876543209,data_driven_location,13,Morning_Light-on,female
15,center,11.155555555555557,0.9106575963718821,data_driven_location,14,Morning_Light-on,male
16,perimeter,50.3,4.79047619047619,data_driven_location,14,Morning_Light-on,male
17,corner,38.544444444444444,17.130864197530865,data_driven_location,14,Morning_Light-on,male
18,center,11.322222222222223,0.9242630385487529,data_driven_location,15,Morning_Light-on,female
19,perimeter,49.91111111111111,4.753439153439153,data_driven_location,15,Morning_Light-on,female
20,corner,38.766666666666666,17.229629629629628,data_driven_location,15,Morning_Light-on,female
21,center,15.2,1.240816326530612,data_driven_location,19,Morning_Light-on,female
22,perimeter,51.26666666666667,4.882539682539683,data_driven_location,19,Morning_Light-on,female
23,corner,33.53333333333333,14.903703703703702,data_driven_location,19,Morning_Light-on,female
24,center,27.544444444444444,2.2485260770975057,data_driven_location,20,Morning_Light-on,female
