,location,points,density,statistic_type,video_index,ExperimentCondition,gender
0,center,7.861111111111112,1.2577777777777779,traditional_location,2,Morning_Light-on,male
1,perimeter,92.13888888888889,7.371111111111111,traditional_location,2,Morning_Light-on,male
2,corner,0.0,0.0,traditional_location,2,Morning_Light-on,male
3,center,2.35,0.376,traditional_location,7,Morning_Light-on,male
4,perimeter,97.65,7.812,traditional_location,7,Morning_Light-on,male
5,corner,0.0,0.0,traditional_location,7,Morning_Light-on,male
6,center,7.6,1.216,traditional_location,8,Morning_Light-on,male
7,perimeter,92.4,7.392,traditional_location,8,Morning_Light-on,male
8,corner,0.0,0.0,traditional_location,8,Morning_Light-on,male
9,center,4.511111111111111,0.7217777777777779,traditional_location,9,Morning_Light-on,male
10,perimeter,95.4888888888889,7.639111111111111,traditional_location,9,Morning_Light-on,male
11,corner,0.0,0.0,traditional_location,9,Morning_Light-on,male
12,center,4.733333333333333,0.7573333333333333,traditional_location,13,Morning_Light-on,female
13,perimeter,95.26666666666667,7.621333333333332,traditional_location,13,Morning_Light-on,female
14,corner,0.0,0.0,traditional_location,13,Morning_Light-on,female
15,center,3.772222222222222,0.6035555555555555,traditional_location,14,Morning_Light-on,male
16,perimeter,96.22777777777777,7.698222222222221,traditional_location,14,Morning_Light-on,male
17,corner,0.0,0.0,traditional_location,14,Morning_Light-on,male
18,center,4.35,0.696,traditional_location,15,Morning_Light-on,female
19,perimeter,95.65,7.652000000000001,traditional_location,15,Morning_Light-on,female
20,corner,0.0,0.0,traditional_location,15,Morning_Light-on,female
21,center,5.638888888888889,0.9022222222222223,traditional_location,19,Morning_Light-on,female
22,perimeter,94.3611111111111,7.5488888888888885,traditional_location,19,Morning_Light-on,female
23,corner,0.0,0.0,traditional_location,19,Morning_Light-on,female
24,center,14.23888888888889,2.278222222222223,traditional_location,20,Morning_Light-on,female
25,perimeter,85.7611111111111,6.860888888888889,traditional_location,20,Morning_Light-on,female
26,corner,0.0,0.0,traditional_location,20,Morning_Light-on,female
27,center,6.577777777777778,1.0524444444444445,traditional_location,21,Morning_Light-on,female
