movement_label,movement_fraction,movement_frequency,movement_duration,movement_intervels,gender,group,group_id
running,0.054239739649249684,0.0,0.0,0.0,male,Morning_Light-on,1
trotting,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
left_turning,6.635328150424878,12.0,26.969808333333333,1238.5153181818182,male,Morning_Light-on,1
right_turning,1.807991321641656,7.0,13.428571428571429,2236.5,male,Morning_Light-on,1
walking,3.4713433375519798,6.0,8.833333333333334,2252.8,male,Morning_Light-on,1
stepping,0.3254384378954981,1.0,20.0,0.0,male,Morning_Light-on,1
sniffing,48.038329416018804,55.0,50.505874545454546,276.8512407407407,male,Morning_Light-on,1
rising,13.08985716868559,29.0,24.509172413793102,564.2783392857143,male,Morning_Light-on,1
hunching,2.024950280238655,4.0,27.75,3108.6666666666665,male,Morning_Light-on,1
rearing,3.5075031639848127,6.0,26.666666666666668,2801.0,male,Morning_Light-on,1
climbing,21.04501898390888,27.0,45.10941851851852,567.9801461538462,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
running,0.21717670286278382,0.0,0.0,0.0,female,Night_Light-on,3
trotting,0.5528134254689042,0.0,0.0,0.0,female,Night_Light-on,3
left_turning,6.298124383020731,5.0,23.0,3518.0,female,Night_Light-on,3
right_turning,1.5794669299111548,5.0,16.0,1639.25,female,Night_Light-on,3
walking,4.797630799605133,2.0,12.5,8030.0,female,Night_Light-on,3
stepping,4.264560710760119,6.0,32.833333333333336,2971.0,female,Night_Light-on,3
sniffing,41.46100691016782,50.0,43.300768,300.05814285714285,female,Night_Light-on,3
rising,12.31984205330701,28.0,22.722828571428572,579.4196444444444,female,Night_Light-on,3
hunching,2.073050345508391,2.0,52.5,11414.0,female,Night_Light-on,3
rearing,0.0,0.0,0.0,0.0,female,Night_Light-on,3
climbing,26.436327739387956,24.0,54.94479166666666,624.3333043478261,female,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,female,Night_Light-on,3
grooming,0.0,0.0,0.0,0.0,female,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,female,Night_Light-on,3
pausing,0.0,0.0,0.0,0.0,female,Night_Light-on,3
running,0.13962147067949116,0.0,0.0,0.0,male,Night_Light-on,3
trotting,0.6360533664287931,0.0,0.0,0.0,male,Night_Light-on,3
left_turning,4.111076636673906,8.0,28.125,2430.1428571428573,male,Night_Light-on,3
right_turning,3.568104250698107,10.0,25.52038,1744.3962333333332,male,Night_Light-on,3
walking,3.878374185541421,4.0,9.0,3379.6666666666665,male,Night_Light-on,3
stepping,1.132485262178095,3.0,19.333333333333332,6604.0,male,Night_Light-on,3
sniffing,22.727272727272727,36.0,41.68287222222222,463.67551428571426,male,Night_Light-on,3
rising,16.444306546695625,49.0,21.596277551020407,341.45626875,male,Night_Light-on,3
hunching,1.7840521253490536,4.0,32.0,2723.0,male,Night_Light-on,3
rearing,10.456096804219671,20.0,34.907025,701.4831421052631,male,Night_Light-on,3
climbing,31.321749922432517,42.0,49.92320714285714,323.88995365853657,male,Night_Light-on,3
jumping,2.94756438101148,2.0,95.0,35.0,male,Night_Light-on,3
grooming,0.8532423208191127,1.0,55.0,0.0,male,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,male,Night_Light-on,3
pausing,0.0,0.0,0.0,0.0,male,Night_Light-on,3
running,0.0,0.0,0.0,0.0,female,Night_Light-on,3
trotting,0.042450827791141926,0.0,0.0,0.0,female,Night_Light-on,3
left_turning,3.2970142917786895,5.0,25.8,2453.5,female,Night_Light-on,3
right_turning,0.636762416867129,4.0,12.75,4518.666666666667,female,Night_Light-on,3
walking,1.8395358709494836,3.0,11.0,3049.5,female,Night_Light-on,3
stepping,0.6226121409367483,3.0,17.666666666666668,4569.5,female,Night_Light-on,3
sniffing,47.629828781661246,53.0,64.58064150943395,276.69805576923073,female,Night_Light-on,3
rising,13.21635771897552,33.0,28.64782727272727,505.08550625,female,Night_Light-on,3
hunching,2.249893872930522,5.0,32.6,3477.0,female,Night_Light-on,3
rearing,2.9715579453799346,7.0,30.571428571428573,1739.0,female,Night_Light-on,3
climbing,24.522428187349654,28.0,59.51680714285715,546.5794592592592,female,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,female,Night_Light-on,3
grooming,0.8348662798924579,1.0,59.0,0.0,female,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,female,Night_Light-on,3
pausing,2.136691665487477,1.0,151.0,0.0,female,Night_Light-on,3
running,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
trotting,0.16181229773462785,0.0,0.0,0.0,male,Morning_Light-on,1
left_turning,4.619005589879376,9.0,15.444444444444445,1934.875,male,Morning_Light-on,1
right_turning,1.5739923506913798,4.0,31.25,3779.3333333333335,male,Morning_Light-on,1
walking,3.7658134745513383,4.0,24.0,1942.0,male,Morning_Light-on,1
stepping,2.7802294792586055,6.0,29.166666666666668,3071.2,male,Morning_Light-on,1
sniffing,53.60400117681671,52.0,70.18658461538462,272.71789019607843,male,Morning_Light-on,1
rising,12.253604001176816,32.0,26.898696875,521.4494935483871,male,Morning_Light-on,1
hunching,1.1473962930273611,2.0,44.5,2289.0,male,Morning_Light-on,1
