movement_label,movement_fraction,movement_frequency,movement_duration,movement_intervels,gender,group,group_id
running,0.6466428959932314,4.0,29.5,2809.0,male,Morning_Light-on,1
trotting,3.0458693418746603,17.0,40.411129411764705,4562.5208875,male,Morning_Light-on,1
left_turning,10.739106786728712,44.0,44.30538409090908,1930.4143372093026,male,Morning_Light-on,1
right_turning,4.0369855562941925,22.0,28.691063636363634,3993.4391,male,Morning_Light-on,1
walking,17.852178642654255,79.0,44.63318734177215,1060.134441025641,male,Morning_Light-on,1
stepping,5.680788058258295,26.0,37.465576923076924,3421.191228,male,Morning_Light-on,1
sniffing,40.32150843053122,95.0,70.09496421052631,844.8179744680851,male,Morning_Light-on,1
rising,5.130839427086481,23.0,34.480378260869564,2790.469586363636,male,Morning_Light-on,1
hunching,3.710642412521907,10.0,62.62234,6241.443788888888,male,Morning_Light-on,1
rearing,3.885900767510727,13.0,47.10863846153846,6323.7934,male,Morning_Light-on,1
climbing,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,3.1304768235934004,8.0,64.75,11325.57142857143,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,1.8190608569529219,1.0,301.0,0.0,male,Morning_Light-on,1
running,0.5135679089457977,3.0,28.333333333333332,43048.5,female,Night_Light-on,3
trotting,2.9634256367548057,15.0,33.456379999999996,4708.958907142857,female,Night_Light-on,3
left_turning,13.137622319383718,50.0,39.196265999999994,1746.3202,female,Night_Light-on,3
right_turning,2.0820320632937745,9.0,37.888888888888886,8809.875,female,Night_Light-on,3
walking,31.070858491220765,105.0,51.85091904761905,770.0185961538461,female,Night_Light-on,3
stepping,7.099729335831771,27.0,43.04659629629629,2696.1768,female,Night_Light-on,3
sniffing,26.643070303282673,65.0,56.38008461538461,1306.0361,female,Night_Light-on,3
rising,6.940106877645916,29.0,37.412568965517245,2417.135710714286,female,Night_Light-on,3
hunching,2.3041154833784443,10.0,33.68532,4557.92721111111,female,Night_Light-on,3
rearing,5.33694218890971,15.0,51.912393333333334,2956.308628571429,female,Night_Light-on,3
climbing,0.006940106877645916,0.0,0.0,0.0,female,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,female,Night_Light-on,3
grooming,1.8738288569643973,5.0,54.0,7207.5,female,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,female,Night_Light-on,3
pausing,0.027760427510583663,0.0,0.0,0.0,female,Night_Light-on,3
running,2.010914255812215,10.0,29.868109999999998,7762.072622222222,male,Night_Light-on,3
trotting,7.707258727666891,32.0,37.03561875,2500.0101258064515,male,Night_Light-on,3
left_turning,8.424908424908425,30.0,41.41820666666666,2852.053772413793,male,Night_Light-on,3
right_turning,3.0724377663153173,11.0,32.148281818181815,6016.513210000001,male,Night_Light-on,3
walking,24.65425730731853,90.0,45.694006666666674,640.2853157303371,male,Night_Light-on,3
stepping,7.4231890558421165,27.0,39.494188888888885,2539.720238461539,male,Night_Light-on,3
sniffing,25.850340136054424,69.0,53.374379710144936,956.9477544117648,male,Night_Light-on,3
rising,4.223667488973612,15.0,27.600859999999997,4319.143057142856,male,Night_Light-on,3
hunching,0.8297824624355237,3.0,27.666666666666668,20422.5,male,Night_Light-on,3
rearing,4.089108170740824,12.0,50.009058333333336,3736.1016727272727,male,Night_Light-on,3
climbing,0.02242655303879794,0.0,0.0,0.0,male,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,male,Night_Light-on,3
grooming,11.691709650893324,7.0,172.57142857142858,5805.666666666667,male,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,male,Night_Light-on,3
pausing,0.0,0.0,0.0,0.0,male,Night_Light-on,3
running,0.7966513637591143,2.0,31.5,55712.0,female,Night_Light-on,3
trotting,4.158790170132325,9.0,38.333333333333336,9333.5,female,Night_Light-on,3
left_turning,10.80205238995409,29.0,36.285689655172405,2820.673171428571,female,Night_Light-on,3
right_turning,2.7950310559006213,6.0,34.666666666666664,3348.6,female,Night_Light-on,3
