,group,group_id,gender,sniffing_fra,grooming_fra,sniffing_fre,grooming_fre,SG_fra_index,SG_fre_index,GS_fra_index,GS_fre_index,color
0,Morning_Light-on,1,male,34.108179419525065,5.2902374670184695,194.0,19.0,6.447381546134664,10.210526315789474,0.15510172507155565,0.0979381443298969,#F5B25E
1,Night_Light-on,3,female,30.459371224390118,14.467494408884091,196.0,25.0,2.105366027007818,7.84,0.47497679129040427,0.12755102040816327,#398FCB
2,Night_Light-on,3,male,11.496221662468514,34.51889168765743,78.0,35.0,0.33304144775248107,2.2285714285714286,3.0026292725679227,0.44871794871794873,#398FCB
3,Night_Light-on,3,female,41.75243393602226,6.620305980528513,98.0,17.0,6.30672268907563,5.764705882352941,0.15856095936042638,0.17346938775510204,#398FCB
4,Morning_Light-on,1,male,34.827693747076246,6.302302614481002,201.0,22.0,5.526185567010309,9.136363636363637,0.1809566450264906,0.10945273631840796,#F5B25E
5,Morning_Light-on,1,male,37.96752169300655,9.68364932132851,202.0,38.0,3.920786516853932,5.315789473684211,0.2550508668863734,0.18811881188118812,#F5B25E
6,Morning_Light-on,1,male,31.246312200878517,7.214974103455058,150.0,25.0,4.330758746024535,6.0,0.23090642047838855,0.16666666666666666,#F5B25E
7,Night_Light-on,3,female,29.000721737418804,6.922117971261728,180.0,24.0,4.18957345971564,7.5,0.23868778280542988,0.13333333333333333,#398FCB
8,Night_Light-on,3,male,20.693364223068013,13.111589166528766,144.0,34.0,1.5782498948254102,4.235294117647059,0.6336132213781154,0.2361111111111111,#398FCB
9,Night_Light-on,3,female,25.80749734763645,11.838382647648238,145.0,38.0,2.179985063480209,3.8157894736842106,0.4587187392942789,0.2620689655172414,#398FCB
10,Morning_Light-on,1,female,25.79350789649673,4.887082668861567,189.0,23.0,5.2778947368421045,8.217391304347826,0.1894694854407659,0.12169312169312169,#F5B25E
11,Morning_Light-on,1,male,29.114650203512987,4.160406479635043,175.0,21.0,6.998030203545633,8.333333333333334,0.14289735410020643,0.12,#F5B25E
12,Morning_Light-on,1,female,20.392072279339516,10.705298727442663,164.0,38.0,1.9048578464293708,4.315789473684211,0.5249735574098015,0.23170731707317074,#F5B25E
13,Night_Light-on,3,male,24.572461896150866,15.9571170240248,161.0,35.0,1.539906103286385,4.6,0.649390243902439,0.21739130434782608,#398FCB
14,Night_Light-on,3,male,24.544072948328267,26.059080547112462,142.0,36.0,0.9418625842901404,3.9444444444444446,1.0617260061919505,0.2535211267605634,#398FCB
15,Night_Light-on,3,female,32.33424448541097,14.7193439705041,187.0,39.0,2.196717771539624,4.794871794871795,0.4552246141747764,0.20855614973262032,#398FCB
16,Morning_Light-on,1,female,18.024489301085044,5.019094380796509,124.0,21.0,3.5911835748792265,5.904761904761905,0.2784597275937448,0.1693548387096774,#F5B25E
17,Morning_Light-on,1,female,33.96044521048173,7.2741082644386665,198.0,26.0,4.668674698795181,7.615384615384615,0.21419354838709675,0.13131313131313133,#F5B25E
18,Morning_Light-on,1,female,22.784222737819025,5.5974477958236655,160.0,15.0,4.070466321243524,10.666666666666666,0.2456720977596741,0.09375,#F5B25E
19,Night_Light-on,3,male,27.640694856830827,11.873314903928193,142.0,24.0,2.3279678068410465,5.916666666666667,0.4295592048401037,0.16901408450704225,#398FCB
20,Night_Light-on,3,female,31.227178917288455,10.804889665026195,169.0,38.0,2.890096973258889,4.447368421052632,0.34600915099135743,0.22485207100591717,#398FCB
21,Night_Light-on,3,male,31.041604607288253,17.255486049051733,244.0,56.0,1.7989411900103578,4.357142857142857,0.555882541104216,0.22950819672131148,#398FCB
22,Morning_Light-on,1,female,27.744849619918476,11.113804120304065,206.0,31.0,2.4964314036478985,6.645161290322581,0.40057179161372297,0.15048543689320387,#F5B25E
23,Morning_Light-on,1,male,27.239093571758904,16.220132572837983,150.0,28.0,1.6793385287968068,5.357142857142857,0.5954725523486134,0.18666666666666668,#F5B25E
24,Morning_Light-on,1,female,33.24112494236975,1.024931730325921,145.0,6.0,32.43252595155709,24.166666666666668,0.030833244425477437,0.041379310344827586,#F5B25E
25,Night_Light-on,3,male,27.658080652946598,26.907718636184125,80.0,18.0,1.0278864970645794,4.444444444444445,0.9728700618752975,0.225,#398FCB
26,Morning_Light-on,1,male,29.17704370672432,11.086783984236021,193.0,36.0,2.631695877561096,5.361111111111111,0.37998311603039114,0.18652849740932642,#F5B25E
27,Morning_Light-on,1,female,27.307124749328388,8.959854705058836,138.0,15.0,3.0477195945945947,9.2,0.3281141748649023,0.10869565217391304,#F5B25E
28,Morning_Light-on,1,female,26.0359352526198,5.872012054519303,197.0,26.0,4.4339035769828925,7.576923076923077,0.2255349000350754,0.1319796954314721,#F5B25E
29,Night_Light-on,3,male,35.52537013080351,8.746586172200661,58.0,14.0,4.0616269515201315,4.142857142857143,0.24620675703014364,0.2413793103448276,#398FCB
30,Night_Light-on,3,male,38.57933711985046,9.871306348407506,65.0,7.0,3.908230152949745,9.285714285714286,0.2558702944465151,0.1076923076923077,#398FCB
31,Night_Light-on,3,male,23.96845267901853,10.410615923885828,166.0,31.0,2.3023088023088025,5.354838709677419,0.4343465998119711,0.18674698795180722,#398FCB
32,Morning_Light-on,1,male,32.13678495036472,4.735918389732902,199.0,10.0,6.785755645628257,19.9,0.1473675228261797,0.05025125628140704,#F5B25E
33,Morning_Light-on,1,male,22.502041927579636,7.698066975224611,108.0,17.0,2.923076923076924,6.352941176470588,0.3421052631578947,0.1574074074074074,#F5B25E
34,Morning_Light-on,1,female,45.10457153433278,6.918995619717442,176.0,19.0,6.518947837717342,9.263157894736842,0.15339898782656272,0.10795454545454546,#F5B25E
35,Night_Light-on,3,female,32.599284773197816,11.184829663090532,106.0,19.0,2.914598233066891,5.578947368421052,0.3431004618937644,0.1792452830188679,#398FCB
36,Night_Light-on,3,female,19.139668621533907,17.841484939930535,112.0,32.0,1.0727620871230255,3.5,0.932173136992414,0.2857142857142857,#398FCB
37,Night_Light-on,3,male,22.906614961446543,17.143887811696803,77.0,13.0,1.3361388742766964,5.923076923076923,0.7484251968503938,0.16883116883116883,#398FCB
38,Morning_Light-on,1,male,27.134597283851015,1.7695307247546053,176.0,9.0,15.33434650455927,19.555555555555557,0.06521308225966303,0.05113636363636364,#F5B25E
39,Morning_Light-on,1,male,11.639299192722001,3.084151858238984,119.0,14.0,3.773905996758509,8.5,0.2649774532961134,0.11764705882352941,#F5B25E
40,Morning_Light-on,1,female,28.426785583741506,5.329336939834784,132.0,14.0,5.334019204389575,9.428571428571429,0.18747589044618748,0.10606060606060606,#F5B25E
