,revised_movement_label,count,percentage,loc_type,location,statistic_type,video_index,ExperimentCondition,gender
0,running,107.0,0.01603717026378897,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
1,trotting,504.0,0.07553956834532374,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
2,left_turning,1777.0,0.2663369304556355,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
3,right_turning,668.0,0.10011990407673861,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
4,walking,2954.0,0.44274580335731417,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
5,stepping,940.0,0.14088729016786572,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
6,sniffing,6672.0,1.0,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
7,rising,849.0,0.12724820143884893,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
8,hunching,614.0,0.09202637889688249,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
9,rearing,643.0,0.09637290167865707,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
10,climbing,0.0,0.0,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
11,jumping,0.0,0.0,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
12,grooming,518.0,0.0776378896882494,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
13,scratching,0.0,0.0,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
14,pausing,301.0,0.045113908872901676,data_driven_location,center,data_driven_location,2,Morning_Light-on,male
15,running,146.0,0.011294190454088342,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
16,trotting,1114.0,0.08617622031407132,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
17,left_turning,2910.0,0.22511023439313066,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
18,right_turning,781.0,0.06041618318248627,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
19,walking,4769.0,0.368917769010598,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
20,stepping,1604.0,0.12408138005724453,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
21,sniffing,12927.0,1.0,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
22,rising,3017.0,0.23338748356153788,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
23,hunching,623.0,0.0481937031020345,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
24,rearing,2915.0,0.22549702173744876,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
25,climbing,4335.0,0.3353446275237874,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
26,jumping,0.0,0.0,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
27,grooming,2005.0,0.15510172507155565,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
28,scratching,0.0,0.0,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
29,pausing,754.0,0.05832753152316856,data_driven_location,perimeter,data_driven_location,2,Morning_Light-on,male
30,running,12.0,0.0009603841536614646,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
31,trotting,137.0,0.01096438575430172,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
32,left_turning,1225.0,0.09803921568627451,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
33,right_turning,523.0,0.041856742697078834,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
34,walking,789.0,0.0631452581032413,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
35,stepping,254.0,0.020328131252501002,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
36,sniffing,12495.0,1.0,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
37,rising,4298.0,0.34397759103641457,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
38,hunching,930.0,0.0744297719087635,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
39,rearing,2465.0,0.19727891156462585,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
40,climbing,9127.0,0.730452180872349,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
41,jumping,0.0,0.0,data_driven_location,corner,data_driven_location,2,Morning_Light-on,male
