,revised_movement_label,count,percentage,loc_type,location,statistic_type,video_index,ExperimentCondition,gender
0,running,61.0,0.020435510887772193,traditional_location,center,traditional_location,2,Morning_Light-on,male
1,trotting,234.0,0.07839195979899498,traditional_location,center,traditional_location,2,Morning_Light-on,male
2,left_turning,681.0,0.22814070351758794,traditional_location,center,traditional_location,2,Morning_Light-on,male
3,right_turning,322.0,0.10787269681742044,traditional_location,center,traditional_location,2,Morning_Light-on,male
4,walking,1576.0,0.5279731993299832,traditional_location,center,traditional_location,2,Morning_Light-on,male
5,stepping,438.0,0.14673366834170853,traditional_location,center,traditional_location,2,Morning_Light-on,male
6,sniffing,2985.0,1.0,traditional_location,center,traditional_location,2,Morning_Light-on,male
7,rising,224.0,0.07504187604690117,traditional_location,center,traditional_location,2,Morning_Light-on,male
8,hunching,35.0,0.011725293132328308,traditional_location,center,traditional_location,2,Morning_Light-on,male
9,rearing,19.0,0.006365159128978224,traditional_location,center,traditional_location,2,Morning_Light-on,male
10,climbing,0.0,0.0,traditional_location,center,traditional_location,2,Morning_Light-on,male
11,jumping,0.0,0.0,traditional_location,center,traditional_location,2,Morning_Light-on,male
12,grooming,0.0,0.0,traditional_location,center,traditional_location,2,Morning_Light-on,male
13,scratching,0.0,0.0,traditional_location,center,traditional_location,2,Morning_Light-on,male
14,pausing,0.0,0.0,traditional_location,center,traditional_location,2,Morning_Light-on,male
15,running,204.0,0.00700814181181078,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
16,trotting,1521.0,0.052251880861589196,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
17,left_turning,5231.0,0.17970387165481466,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
18,right_turning,1650.0,0.056683499948469544,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
19,walking,6936.0,0.23827682160156652,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
20,stepping,2360.0,0.08107458174447765,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
21,sniffing,29109.0,1.0,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
22,rising,7940.0,0.27276787247930195,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
23,hunching,2132.0,0.07324195266068913,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
24,rearing,6004.0,0.20625923253976433,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
25,climbing,13462.0,0.4624686523068467,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
26,jumping,0.0,0.0,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
27,grooming,5367.0,0.18437596619602184,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
28,scratching,0.0,0.0,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
29,pausing,1507.0,0.051770929952935515,traditional_location,perimeter,traditional_location,2,Morning_Light-on,male
30,running,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
31,trotting,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
32,left_turning,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
33,right_turning,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
34,walking,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
35,stepping,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
36,sniffing,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
37,rising,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
38,hunching,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
39,rearing,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
40,climbing,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
41,jumping,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
42,grooming,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
43,scratching,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
44,pausing,0.0,0.0,traditional_location,corner,traditional_location,2,Morning_Light-on,male
45,running,11.0,0.007565337001375516,traditional_location,center,traditional_location,7,Morning_Light-on,male
46,trotting,270.0,0.1856946354883081,traditional_location,center,traditional_location,7,Morning_Light-on,male
47,left_turning,514.0,0.3535075653370014,traditional_location,center,traditional_location,7,Morning_Light-on,male
48,right_turning,236.0,0.1623108665749656,traditional_location,center,traditional_location,7,Morning_Light-on,male
49,walking,1454.0,1.0,traditional_location,center,traditional_location,7,Morning_Light-on,male
