,location,points,density,statistic_type,video_index,ExperimentCondition,gender
0,center,18.385964132536277,1.500895031227451,data_driven_location,2,Morning_Light-on,male
1,perimeter,42.112046934376316,4.010671136607268,data_driven_location,2,Morning_Light-on,male
2,corner,39.501988933087404,17.55643952581662,data_driven_location,2,Morning_Light-on,male
3,center,18.781528478410632,1.5331859982376026,data_driven_location,7,Morning_Light-on,male
4,perimeter,42.75428342852064,4.071836517001966,data_driven_location,7,Morning_Light-on,male
5,corner,38.464188093068735,17.095194708030547,data_driven_location,7,Morning_Light-on,male
6,center,21.21491588701971,1.7318298683281397,data_driven_location,8,Morning_Light-on,male
7,perimeter,40.84868552634503,3.8903510025090506,data_driven_location,8,Morning_Light-on,male
8,corner,37.936398586635256,16.860621594060117,data_driven_location,8,Morning_Light-on,male
9,center,15.314784772994955,1.2501865120812208,data_driven_location,9,Morning_Light-on,male
10,perimeter,33.89630880686237,3.228219886367845,data_driven_location,9,Morning_Light-on,male
11,corner,50.788906420142666,22.572847297841186,data_driven_location,9,Morning_Light-on,male
12,center,17.289273094957665,1.411369232241442,data_driven_location,13,Morning_Light-on,female
13,perimeter,43.19873774972777,4.1141654999740735,data_driven_location,13,Morning_Light-on,female
14,corner,39.511989155314566,17.560884069028695,data_driven_location,13,Morning_Light-on,female
15,center,6.6279250650014445,0.5410551073470568,data_driven_location,14,Morning_Light-on,male
16,perimeter,40.67534834107425,3.873842699149928,data_driven_location,14,Morning_Light-on,male
17,corner,52.69672659392432,23.420767375077475,data_driven_location,14,Morning_Light-on,male
18,center,12.26582812951399,1.0012920922052237,data_driven_location,15,Morning_Light-on,female
19,perimeter,46.36436365252561,4.415653681192915,data_driven_location,15,Morning_Light-on,female
20,corner,41.3698082179604,18.38658143020462,data_driven_location,15,Morning_Light-on,female
21,center,11.949154425653903,0.9754411776044003,data_driven_location,19,Morning_Light-on,female
22,perimeter,36.66081468477077,3.491506160454359,data_driven_location,19,Morning_Light-on,female
23,corner,51.39003088957532,22.840013728700143,data_driven_location,19,Morning_Light-on,female
24,center,16.73592746505478,1.366198160412635,data_driven_location,20,Morning_Light-on,female
25,perimeter,38.03528967310385,3.6224085402956043,data_driven_location,20,Morning_Light-on,female
26,corner,45.228782861841374,20.101681271929497,data_driven_location,20,Morning_Light-on,female
27,center,13.381408475743905,1.092359875570931,data_driven_location,21,Morning_Light-on,female
28,perimeter,38.31196248805529,3.6487583321957424,data_driven_location,21,Morning_Light-on,female
29,corner,48.3066290362008,21.469612904978135,data_driven_location,21,Morning_Light-on,female
30,center,14.145869908220183,1.1547648904669536,data_driven_location,25,Morning_Light-on,female
31,perimeter,50.42889841996489,4.802752230472846,data_driven_location,25,Morning_Light-on,female
32,corner,35.42523167181493,15.744547409695523,data_driven_location,25,Morning_Light-on,female
33,center,17.31482921842708,1.4134554464022104,data_driven_location,26,Morning_Light-on,male
34,perimeter,36.0396897708838,3.4323514067508376,data_driven_location,26,Morning_Light-on,male
35,corner,46.645481010689124,20.73132489363961,data_driven_location,26,Morning_Light-on,male
36,center,11.251361141358696,0.9184784605190772,data_driven_location,27,Morning_Light-on,female
37,perimeter,31.330696237694173,2.98387583216135,data_driven_location,27,Morning_Light-on,female
38,corner,57.41794262094713,25.519085609309833,data_driven_location,27,Morning_Light-on,female
39,center,24.22609391319807,1.9776403194447405,data_driven_location,31,Morning_Light-on,male
40,perimeter,40.599791106469034,3.8666467720446698,data_driven_location,31,Morning_Light-on,male
41,corner,35.1741149803329,15.632939991259066,data_driven_location,31,Morning_Light-on,male
42,center,10.602457832396276,0.8655067618282674,data_driven_location,32,Morning_Light-on,female
43,perimeter,29.366208137958623,2.796781727424631,data_driven_location,32,Morning_Light-on,female
44,corner,60.0313340296451,26.68059290206449,data_driven_location,32,Morning_Light-on,female
45,center,13.878086179692882,1.1329049942606435,data_driven_location,33,Morning_Light-on,female
46,perimeter,48.668859307984626,4.635129457903298,data_driven_location,33,Morning_Light-on,female
47,corner,37.453054512322495,16.645802005476664,data_driven_location,33,Morning_Light-on,female
48,center,20.459343540967577,1.6701504931402102,data_driven_location,37,Morning_Light-on,male
49,perimeter,40.518678192848725,3.8589217326522594,data_driven_location,37,Morning_Light-on,male
50,corner,39.021978266183694,17.3431014516372,data_driven_location,37,Morning_Light-on,male
51,center,6.342363163625858,0.5177439317245599,data_driven_location,38,Morning_Light-on,male
52,perimeter,32.64961443587635,3.109487089131081,data_driven_location,38,Morning_Light-on,male
53,corner,61.00802240049779,27.11467662244346,data_driven_location,38,Morning_Light-on,male
54,center,12.146936598591079,0.9915866611094758,data_driven_location,39,Morning_Light-on,female
55,perimeter,36.02080046223249,3.430552424974523,data_driven_location,39,Morning_Light-on,female
56,corner,51.832262939176424,23.036561306300634,data_driven_location,39,Morning_Light-on,female
57,center,13.499188870863795,1.101974601703167,data_driven_location,43,Morning_Light-on,male
58,perimeter,41.31758483521856,3.9350080795446245,data_driven_location,43,Morning_Light-on,male
59,corner,45.18322629391764,20.081433908407842,data_driven_location,43,Morning_Light-on,male
60,center,27.858396853263407,2.2741548451643596,data_driven_location,44,Morning_Light-on,male
61,perimeter,44.45765461454699,4.23406234424257,data_driven_location,44,Morning_Light-on,male
62,corner,27.683948532189607,12.303977125417603,data_driven_location,44,Morning_Light-on,male
63,center,12.876952821173804,1.051179822136637,data_driven_location,45,Morning_Light-on,female
64,perimeter,30.398453298962195,2.895090790377352,data_driven_location,45,Morning_Light-on,female
65,corner,56.724593879863995,25.210930613272886,data_driven_location,45,Morning_Light-on,female
66,center,12.436943043178736,1.0152606565860194,data_driven_location,49,Morning_Light-on,female
67,perimeter,43.50096668814862,4.142949208395107,data_driven_location,49,Morning_Light-on,female
68,corner,44.06209026867264,19.583151230521175,data_driven_location,49,Morning_Light-on,female
69,center,19.547101046689928,1.5956817180971368,data_driven_location,50,Morning_Light-on,male
70,perimeter,35.367452610058,3.3683288200055244,data_driven_location,50,Morning_Light-on,male
71,corner,45.08544634325207,20.037976152556475,data_driven_location,50,Morning_Light-on,male
72,center,8.896864374763885,0.7262746428378681,data_driven_location,53,Morning_Light-on,male
73,perimeter,51.89670881575146,4.942543696738234,data_driven_location,53,Morning_Light-on,male
74,corner,39.206426809484654,17.42507858199318,data_driven_location,53,Morning_Light-on,male
75,center,5.8156847929954,0.4747497790200326,data_driven_location,62,Morning_Light-on,female
76,perimeter,35.03300073334963,3.3364762603190123,data_driven_location,62,Morning_Light-on,female
77,corner,59.15131447365497,26.289473099402212,data_driven_location,62,Morning_Light-on,female
78,center,12.746949932220716,1.0405673414057728,data_driven_location,57,Morning_Light-on,female
