,location,points,density,statistic_type,video_index,ExperimentCondition,gender
0,center,7.3057179048423295,1.1689148647747727,traditional_location,2,Morning_Light-on,male
1,perimeter,92.69428209515766,7.415542567612613,traditional_location,2,Morning_Light-on,male
2,corner,0.0,0.0,traditional_location,2,Morning_Light-on,male
3,center,7.20238227516167,1.1523811640258672,traditional_location,7,Morning_Light-on,male
4,perimeter,92.79761772483833,7.423809417987067,traditional_location,7,Morning_Light-on,male
5,corner,0.0,0.0,traditional_location,7,Morning_Light-on,male
6,center,9.513544745438788,1.522167159270206,traditional_location,8,Morning_Light-on,male
7,perimeter,90.48645525456122,7.238916420364898,traditional_location,8,Morning_Light-on,male
8,corner,0.0,0.0,traditional_location,8,Morning_Light-on,male
9,center,5.644569879330652,0.9031311806929043,traditional_location,9,Morning_Light-on,male
10,perimeter,94.35543012066935,7.548434409653548,traditional_location,9,Morning_Light-on,male
11,corner,0.0,0.0,traditional_location,9,Morning_Light-on,male
12,center,8.054623436076357,1.288739749772217,traditional_location,13,Morning_Light-on,female
13,perimeter,91.94537656392365,7.355630125113891,traditional_location,13,Morning_Light-on,female
14,corner,0.0,0.0,traditional_location,13,Morning_Light-on,female
15,center,2.850063334740772,0.45601013355852354,traditional_location,14,Morning_Light-on,male
16,perimeter,97.14993666525923,7.771994933220738,traditional_location,14,Morning_Light-on,male
17,corner,0.0,0.0,traditional_location,14,Morning_Light-on,male
18,center,4.462321384919664,0.7139714215871463,traditional_location,15,Morning_Light-on,female
19,perimeter,95.53767861508034,7.643014289206427,traditional_location,15,Morning_Light-on,female
20,corner,0.0,0.0,traditional_location,15,Morning_Light-on,female
21,center,4.301206693482077,0.6881930709571323,traditional_location,19,Morning_Light-on,female
22,perimeter,95.69879330651793,7.655903464521435,traditional_location,19,Morning_Light-on,female
23,corner,0.0,0.0,traditional_location,19,Morning_Light-on,female
24,center,7.616835929687326,1.2186937487499723,traditional_location,20,Morning_Light-on,female
25,perimeter,92.38316407031267,7.390653125625014,traditional_location,20,Morning_Light-on,female
26,corner,0.0,0.0,traditional_location,20,Morning_Light-on,female
27,center,6.500144447654392,1.0400231116247027,traditional_location,21,Morning_Light-on,female
