movement_label,movement_fraction,movement_frequency,movement_duration,movement_intervels,gender,group,group_id
running,3.505028954587016,6.0,19.5,1567.6,male,Morning_Light-on,1
trotting,7.832977750685767,12.0,22.636416666666666,1291.7293272727272,male,Morning_Light-on,1
left_turning,15.08686376104846,16.0,36.4820125,901.8134733333334,male,Morning_Light-on,1
right_turning,3.99268515696434,3.0,50.0,1498.0,male,Morning_Light-on,1
walking,28.405973788479123,29.0,38.51887931034482,513.3965464285715,male,Morning_Light-on,1
stepping,5.790917403230722,6.0,29.833333333333332,2330.8,male,Morning_Light-on,1
sniffing,31.911002743066135,22.0,52.54445454545454,676.0236714285714,male,Morning_Light-on,1
rising,2.072538860103627,1.0,31.0,0.0,male,Morning_Light-on,1
hunching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
rearing,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
climbing,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,1.4020115818348065,1.0,46.0,0.0,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
running,1.0826998387468325,2.0,27.5,551.0,female,Night_Light-on,3
trotting,9.076249712047915,12.0,36.80763333333333,1386.2396818181821,female,Night_Light-on,3
left_turning,11.172540889196037,16.0,32.34385,963.4684466666666,female,Night_Light-on,3
right_turning,2.4648698456576823,4.0,25.75,3807.3333333333335,female,Night_Light-on,3
walking,27.551255471089608,32.0,46.421478125,523.2246225806451,female,Night_Light-on,3
stepping,10.896106887813868,13.0,39.39974615384615,1074.9957,female,Night_Light-on,3
sniffing,23.128311448974888,23.0,36.196904347826084,743.7511681818181,female,Night_Light-on,3
rising,9.790370882285188,13.0,33.10698461538462,1256.9405416666668,female,Night_Light-on,3
hunching,1.796821008984105,2.0,47.0,11416.0,female,Night_Light-on,3
rearing,0.9675190048375951,2.0,21.0,8318.0,female,Night_Light-on,3
climbing,0.0,0.0,0.0,0.0,female,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,female,Night_Light-on,3
grooming,2.073255010366275,1.0,90.0,0.0,female,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,female,Night_Light-on,3
pausing,0.0,0.0,0.0,0.0,female,Night_Light-on,3
running,2.9115934356802544,4.0,32.75,1322.0,male,Night_Light-on,3
trotting,11.725780836421388,14.0,35.7009,1178.1112384615385,male,Night_Light-on,3
left_turning,12.149285336156696,12.0,35.796575,1465.1633363636363,male,Night_Light-on,3
right_turning,4.737956590788777,5.0,33.2,3440.25,male,Night_Light-on,3
walking,29.88353626257279,25.0,52.289004000000006,675.8584916666667,male,Night_Light-on,3
stepping,9.396506087877183,8.0,41.75,2039.0,male,Night_Light-on,3
sniffing,18.740074113287452,11.0,62.995418181818174,1572.55841,male,Night_Light-on,3
rising,5.796717840127051,8.0,23.125,2047.142857142857,male,Night_Light-on,3
hunching,2.0645844362096346,2.0,38.0,12432.0,male,Night_Light-on,3
rearing,2.35574377977766,2.0,53.0,12759.0,male,Night_Light-on,3
climbing,0.2382212811011117,0.0,0.0,0.0,male,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,male,Night_Light-on,3
grooming,0.0,0.0,0.0,0.0,male,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,male,Night_Light-on,3
pausing,0.0,0.0,0.0,0.0,male,Night_Light-on,3
running,0.0,0.0,0.0,0.0,female,Night_Light-on,3
trotting,7.940360610263523,10.0,24.21139,1281.8892555555556,female,Night_Light-on,3
left_turning,12.170596393897364,12.0,36.77858333333334,1411.4844181818182,female,Night_Light-on,3
right_turning,1.59500693481276,2.0,27.0,1277.0,female,Night_Light-on,3
walking,43.30790568654646,31.0,45.62244516129032,529.8610999999999,female,Night_Light-on,3
stepping,7.246879334257975,6.0,37.666666666666664,1943.0,female,Night_Light-on,3
sniffing,14.077669902912621,12.0,31.971183333333336,1363.6238272727273,female,Night_Light-on,3
rising,2.2538141470180304,3.0,14.666666666666666,4510.0,female,Night_Light-on,3
hunching,3.19001386962552,3.0,30.0,4546.5,female,Night_Light-on,3
rearing,2.115117891816921,2.0,43.5,14445.0,female,Night_Light-on,3
climbing,0.0,0.0,0.0,0.0,female,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,female,Night_Light-on,3
grooming,6.102635228848821,2.0,89.5,5447.0,female,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,female,Night_Light-on,3
pausing,0.0,0.0,0.0,0.0,female,Night_Light-on,3
running,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
trotting,3.9000876424189306,4.0,26.25,2214.3333333333335,male,Morning_Light-on,1
left_turning,14.022787028921998,10.0,37.9744,935.3563333333334,male,Morning_Light-on,1
right_turning,4.338299737072743,3.0,33.333333333333336,4014.0,male,Morning_Light-on,1
walking,20.639789658194566,11.0,48.775790909090915,1254.8767100000002,male,Morning_Light-on,1
stepping,3.724802804557406,3.0,33.333333333333336,3726.0,male,Morning_Light-on,1
sniffing,29.53549517966696,10.0,69.20479,1037.9513333333332,male,Morning_Light-on,1
rising,8.501314636283961,6.0,32.166666666666664,2075.4,male,Morning_Light-on,1
hunching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
rearing,12.839614373356707,2.0,143.5,2878.0,male,Morning_Light-on,1
climbing,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,2.497808939526731,1.0,50.0,0.0,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
running,0.41766109785202865,1.0,14.0,0.0,male,Morning_Light-on,1
trotting,7.965393794749404,10.0,27.298009999999998,1132.2609,male,Morning_Light-on,1
left_turning,16.318615751789974,15.0,47.85865333333333,1087.92375,male,Morning_Light-on,1
right_turning,3.1921241050119327,3.0,34.0,3716.5,male,Morning_Light-on,1
walking,35.97852028639618,31.0,53.39912258064516,489.89204666666666,male,Morning_Light-on,1
stepping,6.8317422434367545,7.0,36.42857142857143,1758.1666666666667,male,Morning_Light-on,1
sniffing,24.552505966587113,16.0,56.79426875,910.1646533333334,male,Morning_Light-on,1
rising,2.6849642004773266,2.0,42.5,1947.0,male,Morning_Light-on,1
hunching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
rearing,0.38782816229116945,0.0,0.0,0.0,male,Morning_Light-on,1
climbing,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,1.6706443914081146,1.0,60.0,0.0,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
running,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
trotting,7.3233247894544125,6.0,38.333333333333336,1799.0,male,Morning_Light-on,1
left_turning,6.334675942878067,6.0,32.5,3128.0,male,Morning_Light-on,1
right_turning,5.565726839985354,3.0,56.333333333333336,4140.5,male,Morning_Light-on,1
walking,35.15195898938118,23.0,57.989695652173914,744.9694545454545,male,Morning_Light-on,1
stepping,6.517759062614427,4.0,41.25,3783.3333333333335,male,Morning_Light-on,1
sniffing,22.18967411204687,9.0,97.22222222222223,2111.25,male,Morning_Light-on,1
rising,12.815818381545222,6.0,61.333333333333336,2800.2,male,Morning_Light-on,1
hunching,0.10984987184181619,0.0,0.0,0.0,male,Morning_Light-on,1
rearing,3.36872940314903,2.0,46.0,944.0,male,Morning_Light-on,1
climbing,0.6224826071036251,0.0,0.0,0.0,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
