,group,group_id,gender,sniffing_fra,grooming_fra,sniffing_fre,grooming_fre,SG_fra_index,SG_fre_index,color
0,Morning_Light-on,1,male,31.911002743066135,1.4020115818348065,22.0,1.0,22.760869565217387,22.0,#F5B25E
1,Night_Light-on,3,female,23.128311448974888,2.073255010366275,23.0,1.0,11.155555555555555,23.0,#398FCB
2,Night_Light-on,3,male,18.740074113287452,0.001,11.0,0.1,18740.07411328745,110.0,#398FCB
3,Night_Light-on,3,female,14.077669902912621,6.102635228848821,12.0,2.0,2.3068181818181817,6.0,#398FCB
4,Morning_Light-on,1,male,29.53549517966696,2.497808939526731,10.0,1.0,11.824561403508772,10.0,#F5B25E
5,Morning_Light-on,1,male,24.552505966587113,1.6706443914081146,16.0,1.0,14.696428571428571,16.0,#F5B25E
6,Morning_Light-on,1,male,22.18967411204687,0.001,9.0,0.1,22189.67411204687,90.0,#F5B25E
7,Night_Light-on,3,female,13.763384695743014,1.2797074954296161,11.0,1.0,10.755102040816325,11.0,#398FCB
8,Night_Light-on,3,male,23.705530116238112,0.3874603733709053,11.0,0.1,61.18181818181818,110.0,#398FCB
9,Night_Light-on,3,female,17.042172154823803,0.001,4.0,0.1,17042.172154823802,40.0,#398FCB
10,Morning_Light-on,1,female,22.1119773210489,2.445074415308292,9.0,1.0,9.043478260869565,9.0,#F5B25E
11,Morning_Light-on,1,male,20.51792828685259,0.001,6.0,0.1,20517.92828685259,60.0,#F5B25E
12,Morning_Light-on,1,female,9.813542688910697,0.001,3.0,0.1,9813.542688910697,30.0,#F5B25E
13,Night_Light-on,3,male,18.064302287040107,0.001,12.0,0.1,18064.302287040107,120.0,#398FCB
14,Night_Light-on,3,male,24.685020998600095,2.5664955669622023,16.0,2.0,9.618181818181819,8.0,#398FCB
15,Night_Light-on,3,female,20.041580041580044,0.001,8.0,0.1,20041.580041580044,80.0,#398FCB
16,Morning_Light-on,1,female,17.434210526315788,0.001,8.0,0.1,17434.210526315786,80.0,#F5B25E
17,Morning_Light-on,1,female,17.18434852763211,2.319483662767245,21.0,2.0,7.408695652173913,10.5,#F5B25E
18,Morning_Light-on,1,female,9.807767752059632,0.001,6.0,0.1,9807.767752059632,60.0,#F5B25E
19,Night_Light-on,3,male,29.380122950819672,0.001,25.0,0.1,29380.12295081967,250.0,#398FCB
20,Night_Light-on,3,female,34.00969109630527,0.001,16.0,0.1,34009.691096305265,160.0,#398FCB
21,Night_Light-on,3,male,35.19140362659503,0.6380120886501007,22.0,1.0,55.15789473684211,22.0,#398FCB
22,Morning_Light-on,1,female,6.0980998674326115,0.001,4.0,0.1,6098.099867432611,40.0,#F5B25E
23,Morning_Light-on,1,male,3.2548677709968032,19.412961348445222,3.0,4.0,0.16766467065868262,0.75,#F5B25E
24,Morning_Light-on,1,female,15.034168564920272,0.001,9.0,0.1,15034.168564920272,90.0,#F5B25E
25,Night_Light-on,3,male,30.357718337093136,1.9013857557202707,15.0,1.0,15.966101694915254,15.0,#398FCB
26,Morning_Light-on,1,male,11.828793774319065,0.001,10.0,0.1,11828.793774319065,100.0,#F5B25E
27,Morning_Light-on,1,female,19.06927921623513,0.001,12.0,0.1,19069.27921623513,120.0,#F5B25E
28,Morning_Light-on,1,female,13.468869123252858,0.001,3.0,0.1,13468.869123252858,30.0,#F5B25E
29,Night_Light-on,3,male,22.597402597402596,0.001,4.0,0.1,22597.402597402594,40.0,#398FCB
30,Night_Light-on,3,male,33.09993634627626,0.001,7.0,0.1,33099.936346276256,70.0,#398FCB
31,Night_Light-on,3,male,13.160422670509126,5.667627281460135,5.0,2.0,2.3220338983050848,2.5,#398FCB
32,Morning_Light-on,1,male,19.17232460394439,1.6488845780795343,11.0,1.0,11.627450980392158,11.0,#F5B25E
33,Morning_Light-on,1,male,8.428927680798006,0.001,4.0,0.1,8428.927680798006,40.0,#F5B25E
34,Morning_Light-on,1,female,30.882956878850106,0.001,10.0,0.1,30882.956878850106,100.0,#F5B25E
35,Night_Light-on,3,female,12.433706540954626,0.001,3.0,0.1,12433.706540954625,30.0,#398FCB
36,Night_Light-on,3,female,18.913110224132637,0.001,14.0,0.1,18913.110224132637,140.0,#398FCB
37,Night_Light-on,3,male,23.484848484848484,0.001,15.0,0.1,23484.848484848484,150.0,#398FCB
38,Morning_Light-on,1,male,24.684014869888475,0.001,12.0,0.1,24684.014869888473,120.0,#F5B25E
