movement_label,movement_fraction,movement_frequency,movement_duration,movement_intervels,gender,group,group_id
running,0.03375432477286152,0.0,0.0,0.0,male,Morning_Light-on,1
trotting,0.38536187449016907,0.0,0.0,0.0,male,Morning_Light-on,1
left_turning,3.445753987229614,33.0,25.764678787878786,2350.2012125,male,Morning_Light-on,1
right_turning,1.4711259880172147,26.0,21.009376923076925,2871.153796,male,Morning_Light-on,1
walking,2.219346853815645,14.0,10.651592857142857,5659.148430769231,male,Morning_Light-on,1
stepping,0.714466541025569,10.0,20.09776,8182.714566666667,male,Morning_Light-on,1
sniffing,35.14669066974206,228.0,53.5797004385965,341.5569929515419,male,Morning_Light-on,1
rising,12.089673989479902,159.0,27.119836477987423,539.586164556962,male,Morning_Light-on,1
hunching,2.615960169896768,31.0,29.535306451612907,2483.61628,male,Morning_Light-on,1
rearing,6.933700880425304,57.0,44.36678947368421,1503.055094642857,male,Morning_Light-on,1
climbing,25.672976850158925,148.0,61.31051756756757,526.0342952380952,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,7.99977497116818,34.0,76.01956176470588,2640.6804121212126,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,1.271412899777784,3.0,150.66666666666666,19274.0,male,Morning_Light-on,1
running,0.0,0.0,0.0,0.0,female,Night_Light-on,3
trotting,0.09812472743131269,0.0,0.0,0.0,female,Night_Light-on,3
left_turning,1.6081552551242915,18.0,21.383705555555558,4956.372741176471,female,Night_Light-on,3
right_turning,2.003379851722634,34.0,22.4619,2695.4104333333335,female,Night_Light-on,3
walking,1.4854993458351504,6.0,17.5,15433.6,female,Night_Light-on,3
stepping,1.281072830353249,6.0,40.166666666666664,13398.8,female,Night_Light-on,3
sniffing,30.28783253379852,175.0,63.871154857142855,451.7685442528736,female,Night_Light-on,3
rising,13.21412996075011,136.0,36.11468602941177,630.6221,female,Night_Light-on,3
hunching,4.761774967291758,42.0,41.5371619047619,1964.8968463414633,female,Night_Light-on,3
rearing,8.351504579153946,64.0,48.4488234375,1358.1990952380952,female,Night_Light-on,3
climbing,17.324465765372874,108.0,60.84984444444445,771.2093411214953,female,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,female,Night_Light-on,3
grooming,16.68392935019625,37.0,163.42200540540543,1875.9745055555557,female,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,female,Night_Light-on,3
pausing,2.9001308329699085,5.0,241.0,19386.5,female,Night_Light-on,3
running,0.14302181616359988,0.0,0.0,0.0,male,Night_Light-on,3
trotting,0.4696238739700294,0.0,0.0,0.0,male,Night_Light-on,3
left_turning,1.6586261367032402,21.0,28.98477142857143,3475.8966649999998,male,Night_Light-on,3
right_turning,0.5635486487640353,12.0,21.80995,4974.652954545454,male,Night_Light-on,3
walking,1.8635529180719805,16.0,17.93449375,5494.784433333333,male,Night_Light-on,3
stepping,0.48883575972334886,7.0,21.714285714285715,6849.5,male,Night_Light-on,3
sniffing,16.86590103744183,143.0,58.159498601398596,565.473911971831,male,Night_Light-on,3
rising,8.651752550911498,128.0,32.22261328125,665.7915606299213,male,Night_Light-on,3
hunching,2.7579729325876277,32.0,39.312465625,2621.8795,male,Night_Light-on,3
rearing,6.534175810101182,63.0,48.30164603174603,1370.771,male,Night_Light-on,3
climbing,21.382828843444475,132.0,77.51911136363636,586.7260366412214,male,Night_Light-on,3
jumping,0.4824317978055757,3.0,77.33333333333333,4203.5,male,Night_Light-on,3
grooming,34.728685480083676,56.0,307.4291035714285,1260.477381818182,male,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,male,Night_Light-on,3
pausing,3.409042394227896,2.0,798.5,16701.0,male,Night_Light-on,3
running,0.0029320354189878613,0.0,0.0,0.0,female,Night_Light-on,3
trotting,0.02345628335190289,0.0,0.0,0.0,female,Night_Light-on,3
left_turning,0.7447369964229168,23.0,16.699439130434783,3924.481286363636,female,Night_Light-on,3
right_turning,0.32838796692664046,7.0,22.857142857142858,5869.666666666667,female,Night_Light-on,3
walking,0.3884946930158916,4.0,6.75,5813.333333333333,female,Night_Light-on,3
stepping,0.21403858558611388,3.0,25.333333333333332,6373.5,female,Night_Light-on,3
sniffing,17.237436228229637,147.0,80.8007612244898,523.8677335616438,female,Night_Light-on,3
rising,2.7502492230106137,65.0,29.669704615384614,1351.432596875,female,Night_Light-on,3
hunching,1.7064446138509353,22.0,53.46493636363636,4086.0467190476193,female,Night_Light-on,3
rearing,2.517152407201079,40.0,42.3565525,2183.316551282051,female,Night_Light-on,3
climbing,6.693836861549288,69.0,66.92725217391305,1211.5885764705881,female,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,female,Night_Light-on,3
grooming,34.5657655544479,59.0,400.15973389830503,1132.7213086206898,female,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,female,Night_Light-on,3
pausing,32.827068550988095,12.0,1861.7604,2147.916863636364,female,Night_Light-on,3
running,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
