movement_label,movement_fraction,movement_frequency,movement_duration,movement_intervels,gender,group,group_id
running,0.38522427440633245,9.0,16.333333333333332,6917.375,male,Morning_Light-on,1
trotting,2.9393139841688654,41.0,26.092387804878047,2035.778495,male,Morning_Light-on,1
left_turning,7.678100263852243,80.0,38.958715000000005,1006.0662860759493,male,Morning_Light-on,1
right_turning,2.0606860158311346,39.0,20.348205128205127,2190.0300210526316,male,Morning_Light-on,1
walking,12.583113456464378,133.0,36.34954436090225,602.6111583333334,male,Morning_Light-on,1
stepping,4.2321899736147754,43.0,37.73025348837209,1898.6998547619048,male,Morning_Light-on,1
sniffing,34.108179419525065,194.0,68.10881288659793,376.1960212435233,male,Morning_Light-on,1
rising,7.96042216358839,92.0,33.15780217391304,909.7441802197803,male,Morning_Light-on,1
hunching,1.6437994722955145,15.0,41.66004,5892.360107142857,male,Morning_Light-on,1
rearing,7.691292875989446,53.0,54.350445283018864,1625.6536711538463,male,Morning_Light-on,1
climbing,11.437994722955146,77.0,57.09095584415585,1094.2307131578948,male,Morning_Light-on,1
jumping,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
grooming,5.2902374670184695,19.0,118.7843894736842,3963.113338888889,male,Morning_Light-on,1
scratching,0.0,0.0,0.0,0.0,male,Morning_Light-on,1
pausing,1.9894459102902373,5.0,150.8,17211.75,male,Morning_Light-on,1
running,0.06683632811495849,1.0,15.0,0.0,female,Night_Light-on,3
trotting,1.0411043417906996,15.0,24.438786666666665,6294.275835714286,female,Night_Light-on,3
left_turning,5.50628518547081,65.0,35.09554,1346.0055234375,female,Night_Light-on,3
right_turning,2.313565203979332,33.0,25.17657878787879,2613.77744375,female,Night_Light-on,3
walking,11.912290172489138,108.0,37.967357407407405,790.5823560747664,female,Night_Light-on,3
stepping,4.249248091308707,47.0,37.075853191489365,1713.2187239130437,female,Night_Light-on,3
sniffing,30.459371224390118,196.0,60.86646224489797,392.28026717948717,female,Night_Light-on,3
rising,12.0511040847279,116.0,39.25913620689655,723.4691582608696,female,Night_Light-on,3
hunching,2.886815248965322,29.0,38.568631034482756,3080.1123,female,Night_Light-on,3
rearing,6.048687694403743,42.0,55.01555238095238,2104.34206097561,female,Night_Light-on,3
climbing,7.483098120870929,51.0,52.815478431372554,1699.31495,female,Night_Light-on,3
jumping,0.0,0.0,0.0,0.0,female,Night_Light-on,3
grooming,14.467494408884091,25.0,227.732444,3354.4092375,female,Night_Light-on,3
scratching,0.0,0.0,0.0,0.0,female,Night_Light-on,3
