,group,group_id,gender,sniffing_fra,grooming_fra,sniffing_fre,grooming_fre,SG_fra_index,SG_fre_index,color
0,Morning_Light-on,1,male,34.108179419525065,5.2902374670184695,194.0,19.0,6.447381546134664,10.210526315789474,#F5B25E
1,Night_Light-on,3,female,30.459371224390118,14.467494408884091,196.0,25.0,2.105366027007818,7.84,#398FCB
2,Night_Light-on,3,male,11.496221662468514,34.51889168765743,78.0,35.0,0.33304144775248107,2.2285714285714286,#398FCB
3,Night_Light-on,3,female,41.75243393602226,6.620305980528513,98.0,17.0,6.30672268907563,5.764705882352941,#398FCB
4,Morning_Light-on,1,male,34.827693747076246,6.302302614481002,201.0,22.0,5.526185567010309,9.136363636363637,#F5B25E
5,Morning_Light-on,1,male,37.96752169300655,9.68364932132851,202.0,38.0,3.920786516853932,5.315789473684211,#F5B25E
6,Morning_Light-on,1,male,31.246312200878517,7.214974103455058,150.0,25.0,4.330758746024535,6.0,#F5B25E
7,Night_Light-on,3,female,29.000721737418804,6.922117971261728,180.0,24.0,4.18957345971564,7.5,#398FCB
8,Night_Light-on,3,male,20.693364223068013,13.111589166528766,144.0,34.0,1.5782498948254102,4.235294117647059,#398FCB
9,Night_Light-on,3,female,25.80749734763645,11.838382647648238,145.0,38.0,2.179985063480209,3.8157894736842106,#398FCB
10,Morning_Light-on,1,female,25.79350789649673,4.887082668861567,189.0,23.0,5.2778947368421045,8.217391304347826,#F5B25E
11,Morning_Light-on,1,male,29.114650203512987,4.160406479635043,175.0,21.0,6.998030203545633,8.333333333333334,#F5B25E
12,Morning_Light-on,1,female,20.392072279339516,10.705298727442663,164.0,38.0,1.9048578464293708,4.315789473684211,#F5B25E
13,Night_Light-on,3,male,24.572461896150866,15.9571170240248,161.0,35.0,1.539906103286385,4.6,#398FCB
14,Night_Light-on,3,male,24.544072948328267,26.059080547112462,142.0,36.0,0.9418625842901404,3.9444444444444446,#398FCB
15,Night_Light-on,3,female,32.33424448541097,14.7193439705041,187.0,39.0,2.196717771539624,4.794871794871795,#398FCB
16,Morning_Light-on,1,female,18.024489301085044,5.019094380796509,124.0,21.0,3.5911835748792265,5.904761904761905,#F5B25E
17,Morning_Light-on,1,female,33.96044521048173,7.2741082644386665,198.0,26.0,4.668674698795181,7.615384615384615,#F5B25E
18,Morning_Light-on,1,female,22.784222737819025,5.5974477958236655,160.0,15.0,4.070466321243524,10.666666666666666,#F5B25E
19,Night_Light-on,3,male,27.640694856830827,11.873314903928193,142.0,24.0,2.3279678068410465,5.916666666666667,#398FCB
20,Night_Light-on,3,female,31.227178917288455,10.804889665026195,169.0,38.0,2.890096973258889,4.447368421052632,#398FCB
21,Night_Light-on,3,male,31.041604607288253,17.255486049051733,244.0,56.0,1.7989411900103578,4.357142857142857,#398FCB
22,Morning_Light-on,1,female,27.744849619918476,11.113804120304065,206.0,31.0,2.4964314036478985,6.645161290322581,#F5B25E
23,Morning_Light-on,1,male,27.239093571758904,16.220132572837983,150.0,28.0,1.6793385287968068,5.357142857142857,#F5B25E
24,Morning_Light-on,1,female,33.24112494236975,1.024931730325921,145.0,6.0,32.43252595155709,24.166666666666668,#F5B25E
25,Night_Light-on,3,male,27.658080652946598,26.907718636184125,80.0,18.0,1.0278864970645794,4.444444444444445,#398FCB
26,Morning_Light-on,1,male,29.17704370672432,11.086783984236021,193.0,36.0,2.631695877561096,5.361111111111111,#F5B25E
27,Morning_Light-on,1,female,27.307124749328388,8.959854705058836,138.0,15.0,3.0477195945945947,9.2,#F5B25E
28,Morning_Light-on,1,female,26.0359352526198,5.872012054519303,197.0,26.0,4.4339035769828925,7.576923076923077,#F5B25E
29,Night_Light-on,3,male,35.52537013080351,8.746586172200661,58.0,14.0,4.0616269515201315,4.142857142857143,#398FCB
30,Night_Light-on,3,male,38.57933711985046,9.871306348407506,65.0,7.0,3.908230152949745,9.285714285714286,#398FCB
31,Night_Light-on,3,male,23.96845267901853,10.410615923885828,166.0,31.0,2.3023088023088025,5.354838709677419,#398FCB
32,Morning_Light-on,1,male,32.13678495036472,4.735918389732902,199.0,10.0,6.785755645628257,19.9,#F5B25E
