,previous_label,later_label,dataset1_mean,dataset2_mean,statistic_diff,CI(permuted_differences),p_value,significant
0,locomotion,locomotion,0.4060432734576891,0.42307661513637085,0.017033341678681757,[-0.00846662  0.04324942],0.1891,Not significant
1,locomotion,exploration,0.5939954576675561,0.5200819690577061,-0.07391348860985003,[-0.09575587 -0.05110748],0.0,significant
2,locomotion,maintenance,0.0,0.0568876638752675,0.0568876638752675,[0.04154933 0.07197549],0.0,significant
3,locomotion,nap,0.0,0.0,0.0,[0. 0.],1.0,Not significant
4,exploration,locomotion,0.38225659495675746,0.3855756901933073,0.0033190952365498294,[-0.02571861  0.03258194],0.6623,Not significant
5,exploration,exploration,0.5829311541419003,0.38491023835280846,-0.19802091578909187,[-0.22099446 -0.17515661],0.0,significant
6,exploration,maintenance,0.03460617978414,0.22927666471065078,0.1946704849265108,[0.16885064 0.22083998],0.0,significant
7,exploration,nap,0.0,0.0,0.0,[0. 0.],1.0,Not significant
8,maintenance,locomotion,0.19105521445163953,0.3136188039502079,0.12256358949856838,[0.07069064 0.17519506],0.0,significant
9,maintenance,exploration,0.808937943227278,0.6408396801571966,-0.16809826307008136,[-0.2175169  -0.11623306],0.0,significant
10,maintenance,maintenance,0.0,0.045816980365731695,0.045816980365731695,[0.02988963 0.06249924],0.0,significant
11,maintenance,nap,0.0,0.0,0.0,[0. 0.],1.0,Not significant
12,nap,locomotion,0.039109984126984125,0.06721333333333333,0.028103349206349208,[-0.07286905  0.18333333],0.8246,Not significant
13,nap,exploration,0.8942181746031747,0.851952,-0.04226617460317461,[-0.2752381   0.17955159],0.4908,Not significant
14,nap,maintenance,0.06612666666666665,0.080528,0.01440133333333335,[-0.18666667  0.21333333],0.6957,Not significant
15,nap,nap,0.0,0.0,0.0,[0. 0.],1.0,Not significant
