,mouse_id,ExperimentCondition,entropy
0,2.0,Morning_Light-on,5.253718331617534
1,4.0,Night_Light-on,5.390422253929637
2,5.0,Night_Light-on,5.593544339052425
3,6.0,Night_Light-on,5.179353712090317
4,7.0,Morning_Light-on,5.143002039220486
5,8.0,Morning_Light-on,5.184058603067701
6,9.0,Morning_Light-on,5.360538965990397
7,10.0,Night_Light-on,5.380548786132203
8,11.0,Night_Light-on,5.575101115799436
9,12.0,Night_Light-on,5.530918339845608
10,13.0,Morning_Light-on,5.5856743769531985
11,14.0,Morning_Light-on,5.428666225803098
12,15.0,Morning_Light-on,5.45618728297096
13,16.0,Night_Light-on,5.571272452648339
14,17.0,Night_Light-on,5.230024885538833
15,18.0,Night_Light-on,5.214373865430462
16,19.0,Morning_Light-on,5.659390516938363
17,20.0,Morning_Light-on,5.480527716967463
18,21.0,Morning_Light-on,5.479428526131183
19,22.0,Night_Light-on,5.544435099709898
20,23.0,Night_Light-on,5.595951782635702
21,24.0,Night_Light-on,5.285930285001132
22,25.0,Morning_Light-on,5.5228501992683245
23,26.0,Morning_Light-on,5.760762130934958
24,27.0,Morning_Light-on,5.489048656020256
25,30.0,Night_Light-on,5.271018421138596
26,31.0,Morning_Light-on,5.502228616316901
27,32.0,Morning_Light-on,5.323595736625887
28,33.0,Morning_Light-on,5.589814921975448
29,34.0,Night_Light-on,5.060051595977464
30,35.0,Night_Light-on,5.257455298627378
31,36.0,Night_Light-on,5.548294861365741
32,37.0,Morning_Light-on,5.465919850016989
33,38.0,Morning_Light-on,5.541798845643994
34,39.0,Morning_Light-on,5.1523139503604405
35,40.0,Night_Light-on,5.458322439501928
36,41.0,Night_Light-on,5.679939760751557
37,42.0,Night_Light-on,5.396431778334288
38,43.0,Morning_Light-on,5.479407558591257
39,44.0,Morning_Light-on,5.637043072896767
40,45.0,Morning_Light-on,5.5162075810999465
41,46.0,Night_Light-on,5.606934427662346
42,47.0,Night_Light-on,5.463953695601444
43,48.0,Night_Light-on,5.539645302607563
44,49.0,Morning_Light-on,5.211152629449893
