revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
grooming,1,0,1,1
rearing,140,1,140,139
climbing,177,140,177,37
grooming,347,177,347,170
sniffing,426,347,426,79
walking,427,426,427,1
rising,596,427,596,169
climbing,641,596,641,45
grooming,803,641,803,162
rearing,978,803,978,175
hunching,1221,978,1221,243
grooming,1222,1221,1222,1
hunching,1307,1222,1307,85
grooming,1988,1307,1988,681
rising,2029,1988,2029,41
trotting,2050,2029,2050,21
sniffing,2094,2050,2094,44
left_turning,2124,2094,2124,30
trotting,2172,2124,2172,48
sniffing,2198,2172,2198,26
walking,2231,2198,2231,33
sniffing,2276,2231,2276,45
stepping,2302,2276,2302,26
sniffing,2342,2302,2342,40
walking,2382,2342,2382,40
rising,2450,2382,2450,68
sniffing,2492,2450,2492,42
walking,2493,2492,2493,1
stepping,2505,2493,2505,12
sniffing,2510,2505,2510,5
stepping,2524,2510,2524,14
sniffing,2550,2524,2550,26
rising,2551,2550,2551,1
grooming,2686,2551,2686,135
sniffing,2706,2686,2706,20
stepping,2710,2706,2710,4
sniffing,2759,2710,2759,49
rising,2791,2759,2791,32
walking,2823,2791,2823,32
rearing,2889,2823,2889,66
climbing,2930,2889,2930,41
grooming,3061,2930,3061,131
rearing,3062,3061,3062,1
grooming,3180,3062,3180,118
left_turning,3191,3180,3191,11
sniffing,3192,3191,3192,1
grooming,3193,3192,3193,1
hunching,3194,3193,3194,1
rising,3204,3194,3204,10
climbing,3272,3204,3272,68
sniffing,3319,3272,3319,47
rising,3349,3319,3349,30
left_turning,3377,3349,3377,28
walking,3410,3377,3410,33
sniffing,3425,3410,3425,15
trotting,3450,3425,3450,25
walking,3520,3450,3520,70
trotting,3562,3520,3562,42
rising,3592,3562,3592,30
rearing,3637,3592,3637,45
grooming,3834,3637,3834,197
rearing,3845,3834,3845,11
sniffing,3846,3845,3846,1
rising,3949,3846,3949,103
rearing,4075,3949,4075,126
hunching,4100,4075,4100,25
grooming,4552,4100,4552,452
rising,4584,4552,4584,32
sniffing,4603,4584,4603,19
walking,4680,4603,4680,77
sniffing,4787,4680,4787,107
grooming,4850,4787,4850,63
