revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
sniffing,79,0,79,79
rising,110,79,110,31
walking,155,110,155,45
trotting,202,155,202,47
stepping,264,202,264,62
rising,303,264,303,39
walking,312,303,312,9
trotting,326,312,326,14
sniffing,454,326,454,128
walking,458,454,458,4
rising,459,458,459,1
stepping,484,459,484,25
climbing,566,484,566,82
sniffing,723,566,723,157
walking,740,723,740,17
sniffing,792,740,792,52
grooming,905,792,905,113
trotting,971,905,971,66
running,980,971,980,9
trotting,992,980,992,12
walking,1056,992,1056,64
sniffing,1195,1056,1195,139
rising,1258,1195,1258,63
grooming,1311,1258,1311,53
walking,1411,1311,1411,100
left_turning,1474,1411,1474,63
stepping,1517,1474,1517,43
walking,1537,1517,1537,20
right_turning,1583,1537,1583,46
walking,1691,1583,1691,108
sniffing,1742,1691,1742,51
rising,1789,1742,1789,47
left_turning,1837,1789,1837,48
grooming,1885,1837,1885,48
left_turning,1968,1885,1968,83
walking,2035,1968,2035,67
sniffing,2245,2035,2245,210
rising,2329,2245,2329,84
stepping,2436,2329,2436,107
walking,2460,2436,2460,24
sniffing,2488,2460,2488,28
walking,2542,2488,2542,54
sniffing,2705,2542,2705,163
rising,2721,2705,2721,16
grooming,2861,2721,2861,140
walking,2885,2861,2885,24
running,2924,2885,2924,39
sniffing,2929,2924,2929,5
running,2937,2929,2937,8
walking,2949,2937,2949,12
sniffing,3010,2949,3010,61
stepping,3060,3010,3060,50
sniffing,3152,3060,3152,92
rising,3153,3152,3153,1
rearing,3207,3153,3207,54
grooming,3223,3207,3223,16
hunching,3282,3223,3282,59
grooming,3283,3282,3283,1
rising,3296,3283,3296,13
walking,3342,3296,3342,46
rearing,3380,3342,3380,38
walking,3470,3380,3470,90
stepping,3501,3470,3501,31
walking,3502,3501,3502,1
rising,3530,3502,3530,28
climbing,3592,3530,3592,62
walking,3631,3592,3631,39
stepping,3699,3631,3699,68
rising,3742,3699,3742,43
stepping,3773,3742,3773,31
rising,3789,3773,3789,16
grooming,3790,3789,3790,1
running,3824,3790,3824,34
rising,3905,3824,3905,81
stepping,3927,3905,3927,22
sniffing,3972,3927,3972,45
stepping,4045,3972,4045,73
rising,4046,4045,4046,1
hunching,4111,4046,4111,65
grooming,4186,4111,4186,75
rearing,4243,4186,4243,57
sniffing,4348,4243,4348,105
walking,4404,4348,4404,56
rising,4468,4404,4468,64
walking,4485,4468,4485,17
stepping,4554,4485,4554,69
trotting,4564,4554,4564,10
