revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
walking,47,0,47,47
sniffing,69,47,69,22
trotting,86,69,86,17
sniffing,87,86,87,1
left_turning,133,87,133,46
walking,134,133,134,1
trotting,135,134,135,1
sniffing,223,135,223,88
walking,269,223,269,46
sniffing,277,269,277,8
walking,328,277,328,51
climbing,392,328,392,64
walking,508,392,508,116
rising,544,508,544,36
stepping,545,544,545,1
climbing,590,545,590,45
trotting,669,590,669,79
rising,713,669,713,44
climbing,743,713,743,30
sniffing,872,743,872,129
rising,873,872,873,1
trotting,911,873,911,38
sniffing,917,911,917,6
climbing,990,917,990,73
left_turning,996,990,996,6
sniffing,997,996,997,1
walking,1050,997,1050,53
rearing,1057,1050,1057,7
rising,1068,1057,1068,11
rearing,1069,1068,1069,1
climbing,1084,1069,1084,15
rising,1092,1084,1092,8
right_turning,1105,1092,1105,13
trotting,1130,1105,1130,25
right_turning,1142,1130,1142,12
stepping,1153,1142,1153,11
climbing,1154,1153,1154,1
stepping,1196,1154,1196,42
climbing,1249,1196,1249,53
walking,1301,1249,1301,52
grooming,1426,1301,1426,125
walking,1457,1426,1457,31
climbing,1476,1457,1476,19
sniffing,1515,1476,1515,39
climbing,1545,1515,1545,30
sniffing,1546,1545,1546,1
hunching,1614,1546,1614,68
sniffing,1654,1614,1654,40
rising,1704,1654,1704,50
rearing,1705,1704,1705,1
grooming,2016,1705,2016,311
sniffing,2044,2016,2044,28
walking,2097,2044,2097,53
climbing,2121,2097,2121,24
right_turning,2130,2121,2130,9
trotting,2177,2130,2177,47
sniffing,2243,2177,2243,66
walking,2274,2243,2274,31
rising,2284,2274,2284,10
climbing,2351,2284,2351,67
sniffing,2451,2351,2451,100
walking,2471,2451,2471,20
rising,2494,2471,2494,23
climbing,2556,2494,2556,62
right_turning,2572,2556,2572,16
walking,2634,2572,2634,62
climbing,2672,2634,2672,38
rising,2673,2672,2673,1
walking,2692,2673,2692,19
left_turning,2718,2692,2718,26
walking,2719,2718,2719,1
climbing,2748,2719,2748,29
rising,2749,2748,2749,1
climbing,2773,2749,2773,24
sniffing,2797,2773,2797,24
walking,2878,2797,2878,81
sniffing,2905,2878,2905,27
rising,2956,2905,2956,51
climbing,3003,2956,3003,47
rising,3033,3003,3033,30
trotting,3073,3033,3073,40
sniffing,3086,3073,3086,13
right_turning,3129,3086,3129,43
walking,3156,3129,3156,27
climbing,3183,3156,3183,27
rising,3360,3183,3360,177
climbing,3429,3360,3429,69
rising,3430,3429,3430,1
climbing,3434,3430,3434,4
sniffing,3435,3434,3435,1
climbing,3493,3435,3493,58
trotting,3519,3493,3519,26
sniffing,3520,3519,3520,1
right_turning,3545,3520,3545,25
stepping,3597,3545,3597,52
sniffing,3610,3597,3610,13
walking,3665,3610,3665,55
sniffing,3722,3665,3722,57
left_turning,3767,3722,3767,45
sniffing,3813,3767,3813,46
walking,3852,3813,3852,39
left_turning,3853,3852,3853,1
walking,3893,3853,3893,40
running,3940,3893,3940,47
walking,3982,3940,3982,42
sniffing,3997,3982,3997,15
grooming,4036,3997,4036,39
sniffing,4037,4036,4037,1
walking,4038,4037,4038,1
stepping,4042,4038,4042,4
climbing,4087,4042,4087,45
trotting,4115,4087,4115,28
rising,4127,4115,4127,12
right_turning,4163,4127,4163,36
rising,4164,4163,4164,1
sniffing,4261,4164,4261,97
climbing,4318,4261,4318,57
left_turning,4340,4318,4340,22
rising,4369,4340,4369,29
sniffing,4530,4369,4530,161
rising,4567,4530,4567,37
sniffing,4675,4567,4675,108
left_turning,4676,4675,4676,1
walking,4678,4676,4678,2
climbing,4730,4678,4730,52
sniffing,4731,4730,4731,1
left_turning,4791,4731,4791,60
sniffing,4853,4791,4853,62
climbing,4870,4853,4870,17
trotting,4884,4870,4884,14
sniffing,4919,4884,4919,35
right_turning,4956,4919,4956,37
walking,4982,4956,4982,26
sniffing,4983,4982,4983,1
left_turning,4991,4983,4991,8
rising,4992,4991,4992,1
sniffing,4993,4992,4993,1
walking,4994,4993,4994,1
climbing,5053,4994,5053,59
walking,5092,5053,5092,39
sniffing,5107,5092,5107,15
rearing,5134,5107,5134,27
climbing,5167,5134,5167,33
walking,5199,5167,5199,32
rising,5240,5199,5240,41
climbing,5266,5240,5266,26
rearing,5324,5266,5324,58
rising,5332,5324,5332,8
right_turning,5372,5332,5372,40
walking,5373,5372,5373,1
rearing,5374,5373,5374,1
walking,5435,5374,5435,61
trotting,5477,5435,5477,42
right_turning,5484,5477,5484,7
sniffing,5485,5484,5485,1
trotting,5526,5485,5526,41
stepping,5568,5526,5568,42
hunching,5622,5568,5622,54
climbing,5682,5622,5682,60
running,5707,5682,5707,25
sniffing,5905,5707,5905,198
