running,trotting,left_turning,right_turning,walking,stepping,sniffing,rising,hunching,rearing,climbing,jumping,grooming,scratching,pausing
52.0,1868.0,10018.0,2463.0,16612.0,2884.0,35395.0,10792.0,1401.0,5035.0,14560.0,192.0,6577.0,0.0,151.0
1865.0,5984.0,4429.0,3156.0,11429.0,2779.0,28478.0,9602.0,2521.0,6470.0,18463.0,1024.0,11499.0,0.0,301.0
1675.0,4247.0,6257.0,3234.0,13897.0,3508.0,26892.0,10173.0,2742.0,8860.0,17345.0,0.0,8868.0,0.0,302.0
596.0,6527.0,4840.0,5788.0,17543.0,3319.0,29509.0,9324.0,2893.0,5606.0,16579.0,1236.0,4022.0,0.0,218.0
112.0,1638.0,8739.0,2103.0,13882.0,2994.0,34565.0,12598.0,2575.0,9532.0,9765.0,0.0,8877.0,0.0,620.0
32.0,1460.0,7738.0,1721.0,13626.0,4409.0,36685.0,9567.0,2188.0,3369.0,10579.0,0.0,16174.0,0.0,452.0
1123.0,3943.0,7451.0,2531.0,11797.0,1764.0,28955.0,8650.0,2541.0,14028.0,12492.0,245.0,11865.0,0.0,615.0
175.0,3063.0,7991.0,1959.0,12756.0,1847.0,33677.0,8801.0,2704.0,7508.0,17021.0,217.0,9634.0,0.0,647.0
949.0,4525.0,5486.0,1829.0,13688.0,2620.0,29413.0,12509.0,2164.0,10691.0,16095.0,0.0,8031.0,0.0,0.0
1185.0,5022.0,6138.0,1702.0,14091.0,1629.0,31434.0,9158.0,1472.0,7214.0,21918.0,162.0,6573.0,0.0,302.0
1042.0,3552.0,5876.0,2618.0,16253.0,2439.0,19433.0,11756.0,3638.0,10875.0,23821.0,1032.0,5513.0,0.0,152.0
617.0,3218.0,5561.0,2929.0,12481.0,2584.0,28792.0,8483.0,4122.0,10314.0,17720.0,186.0,10692.0,0.0,301.0
3119.0,7037.0,4735.0,2245.0,11046.0,1678.0,25100.0,11120.0,3805.0,7234.0,18742.0,1166.0,10898.0,0.0,75.0
176.0,3117.0,2890.0,2742.0,8910.0,955.0,37493.0,7534.0,3766.0,7853.0,12032.0,0.0,15703.0,0.0,4829.0
619.0,2806.0,5611.0,2416.0,11627.0,2562.0,28337.0,8817.0,3166.0,12245.0,15329.0,449.0,13563.0,0.0,453.0
146.0,1713.0,6310.0,2218.0,13720.0,2856.0,48814.0,6722.0,1768.0,1608.0,5291.0,0.0,12404.0,0.0,4430.0
983.0,4372.0,4062.0,3208.0,12533.0,2430.0,27670.0,10203.0,2195.0,15394.0,15820.0,0.0,8979.0,0.0,151.0
186.0,1992.0,5828.0,3208.0,19742.0,4407.0,23815.0,10804.0,2103.0,14308.0,15635.0,386.0,5489.0,0.0,97.0
618.0,4490.0,7793.0,2320.0,14459.0,1719.0,32179.0,8989.0,3673.0,5658.0,13394.0,0.0,11944.0,0.0,764.0
89.0,1454.0,3210.0,2260.0,7638.0,2838.0,41104.0,8276.0,3971.0,9100.0,8548.0,0.0,15048.0,0.0,4464.0
1610.0,4234.0,3492.0,2352.0,10313.0,2045.0,32819.0,5500.0,2526.0,4572.0,11435.0,0.0,25575.0,0.0,1527.0
637.0,2432.0,6015.0,3209.0,10731.0,2228.0,35431.0,9582.0,3144.0,7717.0,14473.0,0.0,11647.0,0.0,754.0
198.0,1579.0,8110.0,1285.0,11239.0,1452.0,37473.0,9410.0,1361.0,8148.0,13822.0,145.0,13477.0,0.0,301.0
530.0,1899.0,4290.0,2282.0,10145.0,2789.0,29923.0,10440.0,2283.0,8372.0,13405.0,0.0,19907.0,0.0,1735.0
1643.0,4054.0,5203.0,2087.0,11765.0,2332.0,34316.0,9294.0,3045.0,7371.0,13804.0,0.0,11733.0,0.0,1353.0
563.0,2687.0,7031.0,2444.0,13934.0,2461.0,34125.0,8304.0,1394.0,5183.0,14499.0,201.0,13950.0,0.0,1224.0
1351.0,5381.0,4628.0,1813.0,11668.0,2062.0,35551.0,10164.0,2701.0,7751.0,13928.0,0.0,10247.0,0.0,755.0
1357.0,5828.0,5696.0,3235.0,16078.0,2084.0,26236.0,9378.0,3587.0,9610.0,17779.0,49.0,6725.0,0.0,358.0
85.0,1088.0,5061.0,1017.0,8127.0,1638.0,34127.0,5093.0,3063.0,3746.0,7471.0,0.0,34342.0,0.0,3142.0
1528.0,5384.0,6521.0,3405.0,15514.0,1913.0,21065.0,8321.0,3003.0,13307.0,14050.0,359.0,13479.0,0.0,151.0
