location,movement,r,p
center,running,-0.3244222378462906,2.8740526771289706e-10
center,trotting,-0.4706235984720751,3.0514960822455355e-21
center,walking,-0.26634330260551586,2.914843926972458e-07
center,rearing,0.10410776672683648,0.04840417179901722
perimeter,running,-0.17120317034273655,0.0011095565680920667
perimeter,trotting,-0.38255046696150763,5.429913048961737e-14
perimeter,left_turning,-0.3168616710593323,7.733074145071834e-10
perimeter,right_turning,-0.30008186921585206,6.312905110872965e-09
perimeter,walking,-0.5576913435756701,8.216634605303291e-31
perimeter,stepping,-0.2702138018459769,1.9266343862649406e-07
perimeter,sniffing,-0.17209542962030522,0.0010439064235317312
perimeter,rising,-0.21246237588509398,4.8309423410189174e-05
perimeter,rearing,0.1498999674351235,0.0043666672549345755
perimeter,grooming,0.18468246534815452,0.00042788054919590057
perimeter,pausing,0.13947386913984747,0.008046981069007282
corner,trotting,-0.1796361450904484,0.000616159953889027
corner,left_turning,-0.3071972039092148,2.6336968160366154e-09
corner,right_turning,-0.11408530770685031,0.030452156602126027
corner,walking,-0.4866468015679153,8.382735767175689e-23
corner,stepping,-0.3072758309953797,2.6080329432237685e-09
corner,sniffing,0.11522092556246641,0.028826941168186643
corner,hunching,0.28182137657246065,5.351177822502329e-08
corner,rearing,0.30600439851370564,3.0544067796231135e-09
corner,grooming,0.3367200828995155,5.412961449272448e-11
corner,pausing,0.2786070202352749,7.675355153190718e-08
