running,trotting,left_turning,right_turning,walking,stepping,sniffing,rising,hunching,rearing,climbing,jumping,grooming,scratching,pausing
1017.0,3782.0,3533.0,1677.0,16790.0,9300.0,30495.0,2295.0,10526.0,8140.0,9659.0,138.0,10195.0,0.0,453.0
172.0,1310.0,3182.0,641.0,9897.0,8769.0,39689.0,3052.0,5495.0,3563.0,4436.0,0.0,19503.0,0.0,8291.0
1426.0,5059.0,1992.0,2096.0,18343.0,6691.0,27367.0,3943.0,12971.0,5497.0,12797.0,69.0,9447.0,0.0,302.0
3066.0,6486.0,2941.0,1517.0,16834.0,7035.0,26798.0,2773.0,6180.0,3643.0,11456.0,39.0,18479.0,0.0,753.0
7131.0,7203.0,3685.0,2630.0,15766.0,4894.0,30175.0,5441.0,5978.0,5156.0,12767.0,0.0,5668.0,0.0,1506.0
2414.0,4682.0,2216.0,2537.0,26474.0,8626.0,28145.0,4900.0,6258.0,4333.0,13011.0,0.0,3199.0,0.0,1205.0
4624.0,5794.0,4495.0,2503.0,16824.0,6386.0,26503.0,3142.0,5267.0,9431.0,12199.0,906.0,8719.0,0.0,1207.0
6827.0,6578.0,3498.0,3119.0,14843.0,5274.0,27950.0,2437.0,7550.0,6729.0,14885.0,95.0,7611.0,0.0,604.0
1761.0,3942.0,1580.0,2690.0,14149.0,6659.0,25353.0,3608.0,12115.0,10476.0,8930.0,881.0,15404.0,0.0,452.0
3480.0,6526.0,1799.0,2543.0,13983.0,4838.0,29628.0,3216.0,9694.0,5169.0,13659.0,0.0,12857.0,0.0,608.0
844.0,2801.0,4194.0,1959.0,11122.0,7836.0,36182.0,2886.0,9255.0,6429.0,6509.0,0.0,13617.0,0.0,4366.0
2217.0,3558.0,6285.0,1396.0,19626.0,7854.0,29849.0,3893.0,5659.0,4019.0,13961.0,238.0,9143.0,0.0,302.0
2309.0,3831.0,3376.0,919.0,10258.0,4591.0,30378.0,3213.0,9199.0,9034.0,9113.0,0.0,18015.0,0.0,3764.0
4452.0,5542.0,4652.0,1862.0,19105.0,7869.0,33920.0,2487.0,6577.0,5708.0,8371.0,132.0,6719.0,0.0,604.0
2009.0,4617.0,1279.0,2489.0,21320.0,6487.0,21788.0,6162.0,13777.0,5734.0,11955.0,586.0,9646.0,0.0,151.0
3006.0,4845.0,1133.0,2738.0,10896.0,3523.0,26444.0,3593.0,10113.0,7080.0,10907.0,0.0,21761.0,0.0,1961.0
2864.0,5669.0,1630.0,1413.0,17219.0,4780.0,30785.0,5122.0,11222.0,5730.0,13249.0,75.0,7940.0,0.0,302.0
4106.0,3977.0,1644.0,2800.0,9138.0,4050.0,30292.0,4140.0,10840.0,6695.0,14015.0,155.0,14943.0,0.0,1205.0
1035.0,4212.0,2808.0,1971.0,11493.0,6604.0,33573.0,3488.0,7595.0,4477.0,9393.0,85.0,17495.0,0.0,3771.0
1356.0,2782.0,1854.0,1943.0,13740.0,7945.0,29338.0,3077.0,11561.0,5636.0,8107.0,80.0,18773.0,0.0,1808.0
4433.0,6341.0,1542.0,5770.0,20099.0,6737.0,36655.0,4909.0,6104.0,2410.0,7529.0,592.0,4578.0,0.0,301.0
2293.0,3762.0,3060.0,1731.0,13331.0,5463.0,30757.0,3571.0,8829.0,4178.0,11432.0,265.0,17219.0,0.0,2109.0
2829.0,5608.0,3190.0,2301.0,14639.0,5551.0,26795.0,4699.0,12567.0,3945.0,9502.0,0.0,15770.0,0.0,604.0
2058.0,3191.0,4423.0,1548.0,11017.0,5696.0,31837.0,3668.0,10792.0,5150.0,7681.0,146.0,17778.0,0.0,3015.0
1983.0,3876.0,3317.0,1616.0,17193.0,7521.0,31523.0,3079.0,9251.0,6226.0,14512.0,12.0,6382.0,0.0,1509.0
4954.0,6221.0,4900.0,1775.0,14432.0,6256.0,32713.0,2444.0,7143.0,4229.0,12350.0,0.0,9527.0,0.0,1056.0
4572.0,6443.0,3415.0,1373.0,15160.0,5602.0,31026.0,3515.0,11172.0,7341.0,7877.0,0.0,10202.0,0.0,302.0
1093.0,4068.0,2740.0,2220.0,12000.0,7160.0,35482.0,2857.0,10915.0,4163.0,5950.0,0.0,15435.0,0.0,3917.0
2858.0,4097.0,2001.0,2272.0,14352.0,8686.0,40399.0,2580.0,7827.0,3202.0,6391.0,0.0,11368.0,0.0,1967.0
3199.0,5148.0,2757.0,2076.0,12851.0,4523.0,26966.0,5207.0,8888.0,5403.0,9492.0,263.0,20020.0,0.0,1207.0
