location,movement,r,p
center,running,-0.27944197615403843,6.99196211919719e-08
center,trotting,-0.47336063953843927,1.673503851520622e-21
center,left_turning,-0.2825980123226275,4.9011871475338715e-08
center,right_turning,-0.25627745078354564,8.300923218747302e-07
center,walking,-0.5076112300437339,5.658588693279318e-25
center,stepping,-0.24421528286084404,2.749089622171867e-06
center,sniffing,-0.2085918530375334,6.664915744815977e-05
center,climbing,-0.15092348225402047,0.004103807433269998
perimeter,running,-0.18993219526413874,0.000289833977141344
perimeter,trotting,-0.36590638504373996,7.579574314125375e-13
perimeter,left_turning,-0.49553049385985803,1.051473155337599e-23
perimeter,right_turning,-0.4529232582599273,1.3067459664842958e-19
perimeter,walking,-0.5662322115160398,6.56883387679085e-32
perimeter,stepping,-0.42307507710986325,4.5818703621669067e-17
perimeter,sniffing,-0.3656416879343676,7.894513147979318e-13
perimeter,rising,-0.22955925383511872,1.0858977315739315e-05
perimeter,climbing,-0.18572799924808697,0.00039626944221797056
corner,running,-0.10459397541811977,0.047359420377698344
corner,trotting,-0.19005567038116067,0.00028715458437954304
corner,left_turning,-0.4724049785499133,2.0653029357760306e-21
corner,right_turning,-0.38366348615912554,4.527670583927012e-14
corner,walking,-0.4717305370776503,2.3948877074620868e-21
corner,stepping,-0.39937655332259026,3.2305196482388534e-15
corner,sniffing,-0.1608192112005937,0.002208471467031631
corner,rising,-0.18655294708440817,0.0003728761910889629
corner,hunching,0.2134761235427714,4.436118407669424e-05
corner,rearing,0.15571209530081714,0.0030540653996338108
corner,climbing,-0.28718909450840546,2.899982589010558e-08
corner,grooming,0.34356378524142095,2.069161610135591e-11
corner,pausing,0.3105496944156827,1.7302943159587347e-09
