running,trotting,left_turning,right_turning,walking,stepping,sniffing,rising,hunching,rearing,climbing,jumping,grooming,scratching,pausing
182.0,1600.0,6314.0,2585.0,12629.0,4331.0,33033.0,12123.0,3436.0,6400.0,11599.0,0.0,12109.0,0.0,1657.0
1105.0,3440.0,4668.0,1940.0,11039.0,2418.0,18739.0,8655.0,2536.0,6717.0,16036.0,422.0,28384.0,0.0,1899.0
63.0,799.0,3670.0,1065.0,7726.0,1528.0,26552.0,5962.0,1930.0,3223.0,7623.0,0.0,25012.0,0.0,22845.0
570.0,2919.0,6103.0,2400.0,12106.0,2570.0,30817.0,11720.0,3472.0,7169.0,14610.0,0.0,12638.0,0.0,904.0
580.0,2508.0,5955.0,2432.0,10669.0,2524.0,27596.0,14284.0,4904.0,9152.0,14420.0,0.0,12220.0,0.0,754.0
421.0,3212.0,6623.0,897.0,9479.0,2011.0,27916.0,15244.0,3665.0,9611.0,13797.0,0.0,13406.0,0.0,1716.0
559.0,3466.0,6043.0,2364.0,12579.0,2555.0,28706.0,11690.0,3232.0,9778.0,12510.0,0.0,12045.0,0.0,2471.0
179.0,779.0,5228.0,2824.0,9940.0,3171.0,33321.0,10355.0,3662.0,5175.0,9816.0,77.0,20612.0,0.0,2859.0
137.0,1467.0,5363.0,2394.0,10008.0,2530.0,30337.0,9166.0,2719.0,4447.0,12002.0,0.0,19918.0,0.0,7510.0
258.0,2897.0,4512.0,3579.0,11687.0,3558.0,30257.0,8336.0,3680.0,5753.0,11747.0,0.0,20530.0,0.0,1204.0
782.0,3016.0,6839.0,2741.0,8512.0,2221.0,28396.0,9444.0,4178.0,6044.0,13927.0,0.0,20030.0,0.0,1868.0
0.0,659.0,7022.0,1969.0,10519.0,3704.0,34421.0,14360.0,2720.0,6194.0,11957.0,0.0,13871.0,0.0,602.0
109.0,1395.0,4180.0,1315.0,5210.0,976.0,25774.0,7894.0,1997.0,5017.0,7880.0,0.0,21046.0,0.0,25205.0
20.0,617.0,2801.0,779.0,4577.0,871.0,26837.0,5031.0,1642.0,2194.0,4571.0,0.0,16227.0,0.0,41831.0
209.0,1966.0,2432.0,1161.0,4191.0,1119.0,27720.0,5624.0,1419.0,2242.0,5901.0,0.0,18480.0,0.0,35534.0
275.0,1835.0,5905.0,2137.0,14384.0,3250.0,26240.0,12728.0,2469.0,8996.0,19168.0,998.0,7955.0,0.0,1658.0
907.0,3364.0,4340.0,1613.0,7123.0,1296.0,27074.0,9992.0,4051.0,4994.0,16261.0,0.0,26228.0,0.0,755.0
1599.0,2811.0,4454.0,3186.0,12415.0,3698.0,25070.0,12120.0,2993.0,8762.0,16113.0,498.0,13376.0,0.0,903.0
170.0,875.0,3290.0,2012.0,9241.0,3321.0,24033.0,6507.0,2637.0,3147.0,11287.0,126.0,18120.0,0.0,23232.0
1604.0,3390.0,3997.0,3293.0,11094.0,3097.0,28379.0,9352.0,4651.0,3817.0,20982.0,0.0,13527.0,0.0,815.0
2639.0,5430.0,5621.0,2311.0,10698.0,1559.0,25133.0,10889.0,1547.0,3195.0,20110.0,473.0,17189.0,0.0,1204.0
733.0,3343.0,6651.0,1840.0,14232.0,2316.0,29251.0,11331.0,2743.0,6155.0,14318.0,0.0,13976.0,0.0,1109.0
224.0,2318.0,3781.0,1824.0,8325.0,1910.0,30578.0,9695.0,2829.0,5408.0,13450.0,121.0,21193.0,0.0,6342.0
1146.0,2751.0,5321.0,2525.0,10404.0,2330.0,26231.0,12511.0,3653.0,6480.0,19040.0,1286.0,11760.0,0.0,2560.0
790.0,2444.0,6116.0,1550.0,11016.0,2016.0,34551.0,9266.0,3122.0,4582.0,13651.0,0.0,16785.0,0.0,2109.0
1038.0,3385.0,6045.0,3446.0,11021.0,3885.0,24011.0,12783.0,3757.0,7860.0,19552.0,1587.0,9325.0,0.0,303.0
59.0,657.0,2314.0,963.0,3636.0,1226.0,28726.0,6270.0,1643.0,2774.0,5008.0,0.0,20048.0,0.0,34674.0
1148.0,4151.0,4838.0,1235.0,9439.0,1793.0,22544.0,6626.0,3357.0,4304.0,11897.0,0.0,17993.0,0.0,18673.0
408.0,2444.0,6506.0,2309.0,8192.0,2122.0,35081.0,8195.0,2964.0,3229.0,8783.0,0.0,19525.0,0.0,8240.0
445.0,2654.0,3198.0,2114.0,7867.0,1533.0,24694.0,5752.0,2440.0,3527.0,7573.0,0.0,38583.0,0.0,7618.0
