video_index,date,mouse_id,genotype,gender,actual record time,ExperimentCondition,LightingCondition,batch,record_time_length,box_shape,camera_type,lab,estrous_cycle,note,reason
1,20220224,#2,c57,female,8:53-9:53,Morning,Light-on,1,60,square,RGB,E618,proestrus,excluded ,camera postion problem
2,20220224,#10,c57,male,10:49-11:49,Morning,Light-on,1,60,square,RGB,E618,,,
3,20220224,#8,c57,male,11:57-13:57,Morning,Light-on,1,60,square,RGB,E618,,excluded ,out of the preset time
4,20220224,#17,c57,female,19:47-20:47,Night,Light-on,1,60,square,RGB,E618,diestrus,,
5,20220224,#20,c57,male,20:55-21:55,Night,Light-on,1,60,square,RGB,E618,,,
6,20220224,#16,c57,female,22:04-23:04,Night,Light-on,1,60,square,RGB,E618,estrus,,
7,20220225,#11,c57,male,8:25-9:25,Morning,Light-on,1,60,square,RGB,E618,,,
8,20220225,#12,c57,male,9:33-10:33,Morning,Light-on,1,60,square,RGB,E618,,,
9,20220225,#9,c57,male,10:41-11:41,Morning,Light-on,1,60,square,RGB,E618,,,
10,20220225,#14,c57,female,20:04-21:04,Night,Light-on,1,60,square,RGB,E618,estrus,,
11,20220225,#22,c57,male,21:12-22:12,Night,Light-on,1,60,square,RGB,E618,,,
12,20220225,#13,c57,female,22:19-23:19,Night,Light-on,1,60,square,RGB,E618,estrus,,
13,20220226,#3,c57,female,8:30-9:30,Morning,Light-on,1,60,square,RGB,E618,metestrus,,
14,20220226,#7,c57,male,9:36-10:36,Morning,Light-on,1,60,square,RGB,E618,,,
15,20220226,#5,c57,female,10:41-11:41,Morning,Light-on,1,60,square,RGB,E618,metestrus,,
16,20220226,#24,c57,male,19:53-20:53,Night,Light-on,1,60,square,RGB,E618,,,
17,20220226,#23,c57,male,21:00-22:00,Night,Light-on,1,60,square,RGB,E618,,,
18,20220226,#15,c57,female,22:06-23:06,Night,Light-on,1,60,square,RGB,E618,diestrus,,
19,20220227,#6,c57,female,8:31-9:31,Morning,Light-on,1,60,square,RGB,E618,diestrus,,
20,20220227,#4,c57,female,9:37-10:37,Morning,Light-on,1,60,square,RGB,E618,proestrus,,
21,20220227,#1,c57,female,10:43-11:43,Morning,Light-on,1,60,square,RGB,E618,diestrus,,
22,20220227,#21,c57,male,20:02-21:02,Night,Light-on,1,60,square,RGB,E618,,,
23,20220227,#18,c57,female,21:07-22:07,Night,Light-on,1,60,square,RGB,E618,diestrus,,
24,20220227,#19,c57,male,22:13-23:13,Night,Light-on,1,60,square,RGB,E618,,,
25,20220303,#16,c57,female,8:34-9:34,Morning,Light-on,1,60,square,RGB,E618,estrus,,
26,20220303,#20,c57,male,9:42-10:42,Morning,Light-on,1,60,square,RGB,E618,,,
27,20220303,#17,c57,female,10:49-11:49,Morning,Light-on,1,60,square,RGB,E618,diestrus,,
28,20220303,#8,c57,male,19:59-20:59,Night,Light-on,1,60,square,RGB,E618,,excluded ,same mice (#8 male) that was excluded in daytime experiment
29,20220303,#2,c57,female,21:05-22:05,Night,Light-on,1,60,square,RGB,E618,estrus,excluded ,same mice  (#2 female) that was excluded in daytime experiment
30,20220303,#10,c57,male,22:10-23:10,Night,Light-on,1,60,square,RGB,E618,,,
31,20220304,#22,c57,male,8:36-9:36,Morning,Light-on,1,60,square,RGB,E618,,,
32,20220304,#14,c57,female,9:44-10:44,Morning,Light-on,1,60,square,RGB,E618,diestrus,,
33,20220304,#13,c57,female,10:50-11:50,Morning,Light-on,1,60,square,RGB,E618,metestrus,,
34,20220304,#9,c57,male,20:00-21:00,Night,Light-on,1,60,square,RGB,E618,,,
35,20220304,#12,c57,male,21:05-22:05,Night,Light-on,1,60,square,RGB,E618,,,
36,20220304,#11,c57,male,22:13-23:13,Night,Light-on,1,60,square,RGB,E618,,,
37,20220305,#23,c57,male,8:20-9:20,Morning,Light-on,1,60,square,RGB,E618,,,
38,20220305,#24,c57,male,9:25-10:25,Morning,Light-on,1,60,square,RGB,E618,,,
39,20220305,#15,c57,female,10:30-11:30,Morning,Light-on,1,60,square,RGB,E618,diestrus,,
40,20220305,#5,c57,female,19:59-20:59,Night,Light-on,1,60,square,RGB,E618,estrus,,
41,20220305,#3,c57,female,21:04-22:04,Night,Light-on,1,60,square,RGB,E618,metestrus,,
42,20220305,#7,c57,male,22:09-23:09,Night,Light-on,1,60,square,RGB,E618,,,
43,20220306,#21,c57,male,8:38-9:38,Morning,Light-on,1,60,square,RGB,E618,,,
44,20220306,#19,c57,male,9:44-10:44,Morning,Light-on,1,60,square,RGB,E618,,,
45,20220306,#18,c57,female,10:50-11:50,Morning,Light-on,1,60,square,RGB,E618,estrus,,
46,20220306,#6,c57,female,20:20-21:20,Night,Light-on,1,60,square,RGB,E618,estrus,,
47,20220306,#1,c57,female,21:24-22:24,Night,Light-on,1,60,square,RGB,E618,estrus,,
48,20220306,#4,c57,female,22:40-23:40,Night,Light-on,1,60,square,RGB,E618,estrus,,
49,20220310,#32,c57,female,8:25-9:25,Morning,Light-on,2,60,square,RGB,E618,proestrus,Supplement the number of mice,
50,20220310,#25,c57,male,9:30-10:30,Morning,Light-on,2,60,square,RGB,E618,,,
51,20220310,#29,c57,female,20:17-21:17,Night,Light-on,2,60,square,RGB,E618,estrus,,
52,20220310,#27,c57,male,21:24-22:24,Night,Light-on,2,60,square,RGB,E618,,,
53,20220311,#26,c57,male,8:41-9:41,Morning,Light-on,2,60,square,RGB,E618,,,
62,20220311,#30,c57,female,9:43-10:43,Morning,Light-on,2,60,square,RGB,E618,metestrus,,
55,20220311,#31,c57,female,20:54-21:54,Night,Light-on,2,60,square,RGB,E618,diestrus,,
56,20220311,#28,c57,male,21:58-22:58,Night,Light-on,2,60,square,RGB,E618,,,
57,20220318,#29,c57,female,8:46-9:46,Morning,Light-on,2,60,square,RGB,E618,estrus,,
58,20220318,#27,c57,male,9:52-10:52,Morning,Light-on,2,60,square,RGB,E618,,,
59,20220318,#32,c57,female,20:55-21:55,Night,Light-on,2,60,square,RGB,E618,estrus,,
60,20220318,#25,c57,male,21:59-22:59,Night,Light-on,2,60,square,RGB,E618,,,
61,20220319,#31,c57,female,8:38-9:38,Morning,Light-on,2,60,square,RGB,E618,estrus,,
54,20220319,#28,c57,male,9:47-10:47,Morning,Light-on,2,60,square,RGB,E618,,,
63,20220319,#30,c57,female,19:50-20:50,Night,Light-on,2,60,square,RGB,E618,diestrus,,
64,20220319,#26,c57,male,20:55-21:55,Night,Light-on,2,60,square,RGB,E618,,,
65,20220912,#2,c57,male,14:10-15:10,Afternoon,Light-on,3,60,square,RGB,west_animal_lab,,,
66,20220912,#26,c57,female,15:18-16:18,Afternoon,Light-on,3,60,square,RGB,west_animal_lab,estrus,,
67,20220912,#22,c57,female,16:26-17:26,Afternoon,Light-on,3,60,square,RGB,west_animal_lab,estrus,,
68,20220912,#13,c57,male,20:48-21:48,Night,Light-off,3,60,square,INF,west_animal_lab,,,
69,20220912,#9,c57,male,21:56-22:56,Night,Light-off,3,60,square,INF,west_animal_lab,,,
70,20220912,#18,c57,female,23:05:00-00:05,Night,Light-off,3,60,square,INF,west_animal_lab,metestrus,,
71,20220913,#16,c57,female,14:50-15:50,Afternoon,Light-on,3,60,square,RGB,west_animal_lab,proestrus,,
72,20220913,#10,c57,male,15:58-16:58,Afternoon,Light-on,3,60,square,RGB,west_animal_lab,,,
73,20220913,#12,c57,male,17:07-18:07,Afternoon,Light-on,3,60,square,RGB,west_animal_lab,,,
74,20220913,#28,c57,female,20:57-21:57,Night,Light-off,3,60,square,INF,west_animal_lab,estrus,,
75,20220913,#21,c57,female,22:04-23:04,Night,Light-off,3,60,square,INF,west_animal_lab,diestrus,,
