location,movement,r,p
center,running,-0.288249910712867,2.5653739586813188e-08
center,trotting,-0.35601407525796747,3.384086135950543e-12
center,walking,-0.19228716082038438,0.0002425416023712099
center,rising,0.21315446348494874,4.5579685413866165e-05
center,rearing,0.2725591884117081,1.4943726334406435e-07
perimeter,running,-0.19068672373121343,0.00027381798194146183
perimeter,trotting,-0.42559140627415804,2.858067719178466e-17
perimeter,left_turning,-0.3881832976017865,2.1493285256138536e-14
perimeter,right_turning,-0.35319231351481206,5.136949754029818e-12
perimeter,walking,-0.5407534933763469,9.983181813654953e-29
perimeter,stepping,-0.14601400384533586,0.005508691231850397
perimeter,sniffing,-0.27727626639923697,8.899579847864385e-08
perimeter,rising,0.14976514086666137,0.004402403535522227
perimeter,hunching,0.15347279619759574,0.0035101284410658947
perimeter,rearing,0.28573233244869367,3.428902106735677e-08
perimeter,grooming,0.12776415570221583,0.015280049436725533
corner,trotting,-0.2521298579029188,1.2616793911402797e-06
corner,left_turning,-0.39391493950103096,8.21785200098083e-15
corner,right_turning,-0.2587498181930449,6.445171380290622e-07
corner,walking,-0.4521429787777825,1.5344687385413153e-19
corner,stepping,-0.24910222084022338,1.7048446785262805e-06
corner,sniffing,-0.24602717306881766,2.305468675226342e-06
corner,hunching,0.19930443946079324,0.0001408658325838174
corner,rearing,0.28524383049898433,3.626278939663672e-08
corner,grooming,0.35737815685636787,2.761654228561362e-12
corner,pausing,0.14748333277730924,0.005048601148321925
