running,trotting,left_turning,right_turning,walking,stepping,sniffing,rising,hunching,rearing,climbing,jumping,grooming,scratching,pausing
1441.0,2952.0,5048.0,748.0,9434.0,6870.0,18640.0,4664.0,3217.0,6785.0,8422.0,403.0,38998.0,378.0,0.0
744.0,2207.0,4000.0,1548.0,7960.0,7167.0,20384.0,6298.0,4614.0,11454.0,5652.0,56.0,33343.0,2573.0,0.0
367.0,708.0,4387.0,1252.0,4511.0,4605.0,19842.0,13223.0,5094.0,7751.0,2040.0,0.0,41199.0,2262.0,759.0
1010.0,2386.0,2642.0,1011.0,8791.0,7244.0,16349.0,5695.0,3742.0,12477.0,6249.0,0.0,39679.0,575.0,150.0
38.0,200.0,4563.0,771.0,4734.0,6789.0,20488.0,8070.0,4563.0,4692.0,3484.0,0.0,48428.0,1030.0,150.0
672.0,1512.0,2080.0,1002.0,5094.0,6879.0,18508.0,7980.0,1889.0,11016.0,3994.0,0.0,45820.0,1403.0,151.0
1226.0,2965.0,3634.0,674.0,8313.0,6087.0,13470.0,4930.0,4326.0,12305.0,4788.0,0.0,44741.0,541.0,0.0
99.0,886.0,3542.0,1385.0,9598.0,7591.0,18270.0,6507.0,4202.0,12580.0,7738.0,135.0,35227.0,240.0,0.0
643.0,2127.0,4975.0,760.0,7126.0,5386.0,21192.0,5280.0,3842.0,8138.0,5047.0,0.0,40943.0,2390.0,151.0
386.0,1919.0,3806.0,990.0,7003.0,5706.0,20305.0,5914.0,3799.0,10191.0,6441.0,0.0,39877.0,1512.0,151.0
1391.0,3264.0,4758.0,848.0,9658.0,6385.0,14792.0,4448.0,7091.0,11123.0,5763.0,221.0,37171.0,1087.0,0.0
1514.0,4133.0,4205.0,1794.0,9723.0,5704.0,21731.0,6453.0,3972.0,8980.0,7672.0,642.0,30217.0,809.0,451.0
6.0,417.0,1726.0,1499.0,4555.0,5191.0,16395.0,8784.0,2930.0,4152.0,465.0,0.0,58358.0,3522.0,0.0
1919.0,2875.0,3223.0,927.0,7473.0,7525.0,16361.0,4793.0,2841.0,15565.0,6198.0,0.0,37892.0,408.0,0.0
862.0,2835.0,4337.0,814.0,10985.0,6548.0,14647.0,7366.0,4823.0,10386.0,5981.0,99.0,37152.0,1165.0,0.0
449.0,1992.0,2936.0,1229.0,8507.0,7443.0,23597.0,8748.0,3088.0,10304.0,5767.0,0.0,31873.0,1916.0,151.0
422.0,822.0,2728.0,1737.0,6842.0,6683.0,14827.0,2858.0,2521.0,7547.0,5955.0,451.0,54201.0,406.0,0.0
4495.0,3935.0,4926.0,1533.0,10105.0,7777.0,15518.0,4358.0,2415.0,7434.0,11545.0,194.0,33266.0,499.0,0.0
3134.0,4017.0,2587.0,2002.0,8744.0,6892.0,19663.0,5955.0,4913.0,9071.0,3941.0,0.0,36221.0,709.0,151.0
3121.0,4483.0,3643.0,1180.0,13086.0,6505.0,16724.0,6226.0,3706.0,8896.0,5664.0,0.0,34570.0,196.0,0.0
942.0,2062.0,2192.0,1677.0,8833.0,9398.0,18584.0,6870.0,3019.0,10667.0,9346.0,423.0,32980.0,856.0,151.0
119.0,856.0,1752.0,1565.0,4994.0,3386.0,7832.0,2529.0,2538.0,8376.0,3455.0,0.0,70281.0,317.0,0.0
67.0,343.0,2434.0,568.0,4516.0,7433.0,14910.0,5497.0,4984.0,9540.0,5786.0,0.0,49929.0,1993.0,0.0
0.0,327.0,3690.0,479.0,5941.0,6617.0,15689.0,6291.0,5917.0,10225.0,2419.0,0.0,49335.0,1070.0,0.0
1170.0,1709.0,3085.0,447.0,3846.0,3493.0,9400.0,3499.0,1827.0,4494.0,6529.0,0.0,67969.0,532.0,0.0
3636.0,4912.0,3462.0,1491.0,12154.0,10305.0,21698.0,5842.0,2160.0,6504.0,8974.0,205.0,26425.0,81.0,151.0
301.0,911.0,4662.0,1371.0,4322.0,7052.0,29511.0,7155.0,5528.0,5839.0,508.0,0.0,35282.0,1799.0,3759.0
1187.0,3283.0,2199.0,1368.0,9939.0,7720.0,20080.0,6059.0,4249.0,11528.0,4849.0,41.0,34793.0,554.0,151.0
281.0,1835.0,3853.0,896.0,6582.0,6125.0,17763.0,8910.0,8300.0,11342.0,4046.0,0.0,36686.0,1381.0,0.0
305.0,1323.0,2668.0,637.0,5744.0,4863.0,10075.0,3365.0,2959.0,10598.0,4651.0,0.0,59599.0,1213.0,0.0
1400.0,2052.0,1481.0,1271.0,7533.0,7574.0,16620.0,5870.0,2232.0,6853.0,6097.0,0.0,48322.0,391.0,304.0
189.0,1043.0,3474.0,1038.0,7593.0,10379.0,19716.0,7762.0,6100.0,9180.0,3063.0,0.0,37995.0,317.0,151.0
