revised_movement_label,speed_mean,speed_median,speed_std,speed_range,distance_mean,distance_median,distance_std,distance_range,Nose_back_tail_2Dangle_mean,Nose_back_tail_2Dangle_median,Nose_back_tail_2Dangle_std,Nose_back_tail_2Dangle_range,Nose_back_tail_3Dangle_mean,Nose_back_tail_3Dangle_median,Nose_back_tail_3Dangle_std,Nose_back_tail_3Dangle_range,nose_height_mean,nose_height_median,nose_height_std,nose_height_range,neck_height_mean,neck_height_median,neck_height_std,neck_height_range,back_height_mean,back_height_median,back_height_std,back_height_range,left_front_claw_height_mean,left_front_claw_height_median,left_front_claw_height_std,left_front_claw_height_range,right_front_claw_height_mean,right_front_claw_height_median,right_front_claw_height_std,right_front_claw_height_range,body_length2D_mean,body_length2D_median,body_length2D_std,body_length2D_range,body_length3D_mean,body_length3D_median,body_length3D_std,body_length3D_range,nose_momentum_mean,nose_momentum_median,nose_momentum_std,nose_momentum_range,head_momentum_mean,head_momentum_median,head_momentum_std,head_momentum_range,movement_duration_mean,movement_duration_median,movement_duration_std,movement_duration_range,movement_intervels_mean,movement_intervels_median,movement_intervels_std,movement_intervels_range,group_mean,group_median,group_std,group_range
running,311.89,321.25,104.01,"[114.41, 468.63]",10.4,10.71,3.47,"[3.81, 15.62]",-1.07,-0.74,9.03,"[-14.96, 11.39]",147.59,149.0,8.36,"[131.99, 158.01]",15.59,14.04,9.6,"[3.35, 32.99]",33.64,32.77,5.86,"[25.94, 44.04]",37.52,37.15,4.53,"[30.88, 45.48]",2.98,2.46,3.94,"[-2.26, 9.5]",3.74,3.27,3.64,"[-0.92, 9.72]",105.76,106.01,4.94,"[98.15, 112.93]",107.09,107.42,4.68,"[99.42, 113.75]",12.66,11.12,7.89,"[4.01, 27.18]",28.8,25.01,17.64,"[11.0, 60.88]",25.56,26.56,3.42,"[20.74, 29.6]",9013.23,2925.92,19390.52,"[1127.57, 29063.27]",,,,
trotting,239.37,246.75,102.03,"[50.01, 400.25]",7.98,8.22,3.4,"[1.67, 13.34]",-0.7,-0.33,10.67,"[-17.63, 15.02]",144.86,146.48,9.55,"[126.39, 156.91]",15.64,12.76,11.26,"[2.67, 36.99]",34.23,32.98,6.64,"[25.92, 46.24]",37.74,37.17,4.98,"[30.64, 46.65]",3.45,2.89,4.3,"[-2.03, 10.16]",4.2,3.67,4.04,"[-0.72, 10.52]",104.67,105.02,5.62,"[95.28, 112.58]",106.01,106.55,5.36,"[96.62, 113.3]",14.59,12.69,9.13,"[4.69, 31.21]",32.58,28.29,20.33,"[12.14, 68.37]",33.1,32.95,3.29,"[28.76, 39.28]",1242.12,935.28,726.59,"[506.5, 2733.84]",,,,
left_turning,99.29,84.41,72.39,"[14.97, 233.79]",3.31,2.81,2.41,"[0.5, 7.79]",-14.2,-12.59,15.77,"[-42.23, 8.8]",131.73,133.93,14.27,"[105.46, 151.51]",17.81,14.1,12.91,"[3.73, 42.54]",37.95,36.69,7.85,"[27.81, 51.99]",40.68,40.31,5.71,"[32.05, 50.56]",5.58,4.81,5.74,"[-0.86, 13.81]",6.24,5.37,5.82,"[-0.1, 14.82]",98.41,99.87,8.57,"[82.48, 109.99]",99.64,101.08,8.33,"[83.88, 110.91]",19.07,17.13,10.38,"[6.67, 37.25]",42.18,37.88,23.28,"[16.22, 81.55]",32.31,32.04,4.25,"[26.24, 38.83]",587.9,542.32,158.56,"[417.72, 924.69]",,,,
right_turning,94.77,68.94,83.16,"[14.07, 255.67]",3.16,2.3,2.77,"[0.47, 8.52]",26.66,26.2,17.53,"[1.77, 54.16]",123.81,123.61,16.6,"[97.79, 150.11]",20.48,16.81,14.34,"[3.97, 48.49]",40.85,39.23,9.12,"[29.54, 57.9]",42.33,41.9,6.29,"[33.44, 52.81]",7.42,6.14,6.9,"[-0.37, 19.86]",8.16,6.97,6.59,"[0.6, 19.79]",95.09,95.75,11.28,"[77.93, 110.17]",96.47,97.03,11.18,"[79.68, 111.23]",21.25,18.62,15.05,"[7.3, 42.32]",47.28,41.11,38.01,"[17.23, 93.29]",23.59,23.33,4.78,"[16.98, 31.45]",1062.7,942.33,402.36,"[630.09, 1841.09]",,,,
walking,151.04,146.86,93.47,"[20.73, 313.13]",5.03,4.9,3.12,"[0.69, 10.44]",1.15,0.79,13.53,"[-19.36, 23.37]",140.58,142.66,11.55,"[117.87, 155.66]",20.27,14.71,16.76,"[3.14, 54.3]",37.59,35.22,9.66,"[26.73, 57.04]",39.47,38.62,6.11,"[30.97, 51.03]",6.0,4.5,7.62,"[-1.18, 18.17]",6.71,5.09,7.54,"[-0.01, 19.0]",102.07,103.23,7.89,"[87.38, 112.19]",103.96,104.86,6.72,"[91.19, 113.11]",19.64,16.91,11.93,"[6.67, 42.53]",43.21,37.07,27.35,"[15.76, 94.54]",39.76,38.71,4.42,"[34.59, 49.52]",306.48,295.97,94.18,"[195.26, 526.48]",,,,
stepping,84.5,65.06,67.53,"[12.54, 213.99]",2.82,2.17,2.25,"[0.42, 7.13]",10.77,10.1,13.13,"[-8.78, 32.6]",134.33,135.69,13.14,"[111.02, 153.56]",20.89,15.86,15.17,"[4.47, 51.02]",38.83,37.1,8.35,"[28.54, 54.93]",40.54,40.02,5.58,"[32.38, 50.77]",6.16,5.27,5.7,"[-0.39, 15.2]",7.09,6.27,5.55,"[0.64, 16.03]",99.46,100.27,8.18,"[84.98, 111.37]",100.76,101.69,8.04,"[86.16, 112.3]",19.29,17.46,10.37,"[6.89, 37.56]",41.16,36.96,23.28,"[16.05, 80.21]",33.96,32.96,3.69,"[29.61, 40.46]",1555.28,1440.45,508.57,"[981.27, 2292.14]",,,,
sniffing,36.86,25.32,36.79,"[7.97, 106.36]",1.23,0.84,1.23,"[0.27, 3.55]",-1.97,-2.97,23.84,"[-39.38, 38.39]",123.5,125.06,16.25,"[94.86, 146.49]",21.76,18.53,13.47,"[5.67, 48.01]",41.07,39.86,8.0,"[30.38, 55.61]",42.63,42.4,5.35,"[34.37, 51.69]",7.98,7.26,5.91,"[0.57, 17.55]",8.43,7.67,5.91,"[1.05, 18.03]",93.02,94.94,10.77,"[73.18, 106.57]",94.23,96.11,10.62,"[74.73, 107.67]",24.29,21.97,12.96,"[8.13, 47.35]",53.52,47.89,29.26,"[19.02, 105.04]",58.18,55.5,10.74,"[43.67, 76.09]",141.73,142.05,22.51,"[110.16, 187.67]",,,,
rising,41.0,28.87,38.79,"[8.48, 116.4]",1.37,0.96,1.29,"[0.28, 3.88]",1.47,1.21,15.61,"[-22.64, 26.05]",129.84,132.06,16.38,"[100.59, 152.84]",44.3,43.64,20.09,"[13.56, 78.89]",53.38,52.82,11.58,"[35.25, 73.07]",47.88,48.14,5.74,"[38.06, 56.58]",18.66,15.5,12.89,"[4.21, 44.43]",19.14,15.9,12.86,"[4.99, 45.11]",90.56,92.18,12.46,"[67.77, 107.78]",97.12,98.99,10.55,"[76.94, 110.42]",23.95,22.07,12.26,"[8.48, 44.81]",53.02,47.76,29.15,"[18.83, 101.58]",28.33,27.43,4.64,"[22.7, 37.58]",311.58,277.12,101.19,"[229.35, 497.96]",,,,
hunching,27.49,21.61,29.62,"[7.77, 63.27]",0.92,0.72,0.99,"[0.26, 2.11]",27.96,27.16,18.22,"[3.52, 56.63]",112.94,112.47,20.07,"[79.35, 145.91]",48.05,46.22,19.07,"[19.99, 82.46]",59.39,58.98,10.36,"[43.2, 76.65]",49.78,49.88,4.73,"[42.52, 56.94]",26.71,25.55,11.34,"[10.68, 47.46]",26.75,25.37,11.17,"[11.38, 47.8]",74.88,75.67,13.41,"[50.91, 95.46]",84.83,87.53,15.09,"[55.96, 105.06]",24.04,21.96,12.48,"[8.58, 45.17]",53.49,47.79,29.67,"[20.41, 103.16]",38.77,37.97,7.39,"[29.05, 50.7]",1576.1,1406.48,641.1,"[894.43, 2603.51]",,,,
rearing,28.04,21.28,28.87,"[7.58, 69.2]",0.93,0.71,0.96,"[0.25, 2.31]",-4.37,-5.2,22.31,"[-37.6, 32.73]",131.43,133.07,21.81,"[94.46, 165.53]",65.05,65.1,22.53,"[28.82, 101.61]",66.8,66.42,12.07,"[48.21, 87.12]",50.81,50.77,4.8,"[43.74, 58.01]",36.92,34.91,15.85,"[14.2, 65.42]",37.29,35.26,16.07,"[14.04, 66.24]",74.53,75.43,12.82,"[52.1, 94.3]",93.9,96.85,12.65,"[68.54, 109.46]",28.36,26.13,13.62,"[10.79, 52.81]",63.59,57.58,33.02,"[23.54, 122.28]",42.83,41.34,7.21,"[34.45, 56.15]",615.32,537.11,374.79,"[281.09, 1333.67]",,,,
climbing,42.95,33.74,33.17,"[10.31, 106.38]",1.43,1.12,1.11,"[0.34, 3.55]",6.18,6.33,25.36,"[-34.62, 46.42]",154.55,160.24,18.26,"[117.3, 175.0]",101.99,103.79,29.37,"[48.77, 143.56]",89.57,88.29,19.86,"[58.88, 121.42]",60.92,58.62,10.37,"[47.58, 80.04]",69.71,71.74,25.65,"[25.03, 106.2]",69.92,71.76,25.63,"[25.09, 106.49]",58.35,58.07,17.05,"[31.73, 87.01]",103.6,104.02,8.64,"[89.68, 116.47]",32.0,29.43,17.63,"[9.19, 64.64]",80.7,73.65,43.91,"[25.03, 160.78]",49.04,49.71,5.22,"[41.34, 57.29]",347.36,302.69,152.6,"[205.13, 640.86]",,,,
jumping,72.53,51.12,65.7,"[13.47, 205.96]",2.42,1.7,2.19,"[0.45, 6.87]",7.78,7.16,32.38,"[-37.82, 57.65]",152.63,158.9,20.42,"[112.62, 173.58]",93.13,95.76,31.23,"[38.05, 133.55]",81.96,80.68,23.39,"[50.46, 113.16]",56.01,54.57,14.63,"[42.56, 77.12]",62.73,64.15,27.0,"[16.01, 100.65]",62.68,64.32,27.21,"[15.55, 101.02]",55.87,55.64,30.03,"[17.4, 90.24]",100.09,101.7,25.27,"[75.65, 112.99]",34.88,29.12,43.77,"[8.97, 79.62]",87.12,72.05,82.85,"[24.71, 203.73]",66.37,64.71,22.79,"[36.59, 97.58]",13642.7,6705.07,14785.83,"[2086.96, 42373.55]",,,,
grooming,27.4,22.08,39.74,"[8.41, 55.05]",0.91,0.74,1.32,"[0.28, 1.84]",-10.08,-37.95,87.42,"[-135.53, 133.49]",81.79,78.57,26.83,"[43.26, 129.22]",35.3,30.76,18.65,"[12.28, 72.79]",51.79,50.57,12.24,"[35.33, 72.83]",45.2,45.48,6.6,"[35.89, 54.52]",23.74,22.86,10.41,"[8.43, 42.2]",23.64,22.52,10.53,"[8.36, 42.61]",51.32,51.74,18.58,"[20.52, 80.88]",60.9,58.22,20.41,"[31.95, 96.17]",46.11,45.39,11.94,"[28.97, 66.59]",119.88,118.34,25.36,"[84.35, 156.49]",124.93,116.89,47.29,"[74.64, 216.87]",1005.43,976.74,276.25,"[620.94, 1550.73]",,,,
scratching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pausing,18.41,14.52,27.03,"[5.57, 40.2]",0.61,0.48,0.9,"[0.19, 1.34]",-2.54,-3.62,27.21,"[-45.65, 42.2]",109.85,111.33,17.45,"[78.08, 135.83]",19.23,18.35,10.53,"[4.19, 36.82]",41.65,41.75,6.24,"[31.79, 51.18]",43.21,43.09,4.84,"[35.86, 51.0]",6.5,6.23,5.01,"[-0.5, 13.79]",6.36,5.66,5.27,"[-0.57, 14.07]",83.59,85.41,12.49,"[58.34, 100.68]",84.48,86.19,12.47,"[58.77, 101.65]",24.32,23.8,11.39,"[7.34, 42.95]",55.05,53.1,26.72,"[18.16, 97.22]",148.43,150.5,65.15,"[26.9, 268.75]",17579.29,16019.0,16297.55,"[1574.85, 50918.6]",,,,
