original_label,speed_mean,speed_median,speed_std,speed_range,distance_mean,distance_median,distance_std,distance_range,Nose_back_tail_2Dangle_mean,Nose_back_tail_2Dangle_median,Nose_back_tail_2Dangle_std,Nose_back_tail_2Dangle_range,Nose_back_tail_3Dangle_mean,Nose_back_tail_3Dangle_median,Nose_back_tail_3Dangle_std,Nose_back_tail_3Dangle_range,nose_momentum_mean,nose_momentum_median,nose_momentum_std,nose_momentum_range,head_momentum_mean,head_momentum_median,head_momentum_std,head_momentum_range,claw_momentum_mean,claw_momentum_median,claw_momentum_std,claw_momentum_range,nose_height_mean,nose_height_median,nose_height_std,nose_height_range,neck_height_mean,neck_height_median,neck_height_std,neck_height_range,back_height_mean,back_height_median,back_height_std,back_height_range,left_front_claw_height_mean,left_front_claw_height_median,left_front_claw_height_std,left_front_claw_height_range,right_front_claw_height_mean,right_front_claw_height_median,right_front_claw_height_std,right_front_claw_height_range,body_length2D_mean,body_length2D_median,body_length2D_std,body_length2D_range,body_length3D_mean,body_length3D_median,body_length3D_std,body_length3D_range,back_x_mean,back_x_median,back_x_std,back_x_range,back_y_mean,back_y_median,back_y_std,back_y_range,center_rate_mean,center_rate_median,center_rate_std,center_rate_range
11.0,43.09,28.19,40.32,"[7.65, 127.96]",1.44,0.94,1.34,"[0.26, 4.27]",-15.97,-15.82,12.45,"[-36.38, 4.01]",127.9,127.59,13.54,"[105.86, 151.55]",3.45,3.06,1.9,"[1.17, 7.03]",8.19,7.32,4.2,"[3.18, 15.97]",4.31,3.91,2.04,"[1.86, 8.04]",12.9,11.14,7.69,"[4.03, 28.12]",36.29,35.92,5.63,"[27.82, 46.1]",39.69,40.03,6.04,"[28.2, 48.65]",4.91,4.77,3.21,"[-0.01, 10.27]",4.75,4.53,3.1,"[0.01, 10.13]",94.54,95.42,7.67,"[80.8, 105.43]",95.45,96.38,7.75,"[81.64, 106.55]",235.77,202.68,175.58,"[22.55, 469.09]",223.83,182.62,166.97,"[26.57, 467.22]",236.92,249.04,58.81,"[108.36, 303.2]"
26.0,116.56,109.1,75.67,"[17.08, 251.6]",3.89,3.64,2.52,"[0.57, 8.39]",6.04,5.26,11.48,"[-11.6, 26.08]",136.39,137.61,10.54,"[116.62, 151.61]",4.69,4.39,2.06,"[1.92, 8.48]",11.12,10.49,4.54,"[4.99, 19.39]",5.83,5.49,2.4,"[2.66, 10.08]",14.45,10.6,11.74,"[2.96, 39.7]",35.7,34.21,6.93,"[27.32, 49.17]",39.15,38.56,5.27,"[31.54, 48.69]",5.18,4.75,4.11,"[-0.33, 11.69]",5.74,5.27,3.96,"[0.65, 12.17]",99.88,100.4,6.39,"[88.24, 109.49]",101.24,101.91,6.33,"[89.46, 110.47]",258.0,263.97,153.77,"[32.71, 469.01]",251.54,252.21,151.24,"[32.62, 466.54]",207.21,218.08,60.41,"[85.35, 292.03]"
27.0,113.03,103.13,75.01,"[17.0, 250.32]",3.77,3.44,2.5,"[0.57, 8.34]",-9.37,-8.01,13.39,"[-33.55, 10.34]",133.0,134.97,12.13,"[109.63, 149.41]",4.7,4.38,2.1,"[1.92, 8.53]",11.25,10.53,4.76,"[5.0, 19.87]",5.87,5.48,2.48,"[2.68, 10.29]",12.66,10.04,9.45,"[2.64, 32.14]",35.73,34.64,6.38,"[27.4, 47.71]",39.87,39.42,5.29,"[31.98, 49.2]",4.65,4.27,3.95,"[-0.92, 11.2]",5.25,4.81,3.87,"[-0.02, 11.92]",98.35,99.32,6.87,"[85.29, 108.11]",99.75,100.9,6.98,"[86.26, 109.26]",261.92,268.58,157.28,"[34.44, 469.37]",241.29,228.46,156.51,"[30.8, 467.71]",214.23,223.72,59.65,"[92.1, 293.97]"
33.0,151.33,149.81,83.73,"[24.92, 295.4]",5.04,4.99,2.79,"[0.83, 9.85]",1.2,1.01,12.19,"[-18.6, 22.02]",137.81,139.27,10.28,"[118.05, 152.06]",5.05,4.77,2.07,"[2.23, 8.85]",12.11,11.47,4.65,"[5.78, 20.58]",6.43,6.06,2.54,"[3.07, 10.96]",14.47,10.47,11.97,"[2.64, 39.72]",35.55,34.03,7.05,"[27.02, 48.91]",39.25,38.65,5.31,"[31.66, 48.88]",4.8,4.32,4.25,"[-0.73, 11.46]",5.4,4.84,4.17,"[0.2, 12.19]",100.81,101.1,6.08,"[90.05, 110.3]",102.29,102.84,6.01,"[91.21, 111.17]",258.92,263.47,149.37,"[34.28, 469.06]",252.55,256.23,147.52,"[31.75, 466.33]",200.93,215.75,61.55,"[75.62, 285.7]"
1.0,97.53,83.78,68.79,"[16.49, 230.03]",3.25,2.79,2.29,"[0.55, 7.67]",33.36,33.15,14.89,"[9.82, 57.66]",119.38,119.08,15.84,"[94.79, 144.54]",5.87,5.37,2.84,"[2.25, 11.18]",13.91,12.67,6.63,"[5.77, 26.16]",7.32,6.64,3.5,"[3.16, 13.89]",16.89,13.35,12.82,"[3.04, 42.63]",40.81,39.29,8.66,"[29.73, 56.91]",42.89,42.61,5.88,"[33.72, 53.12]",7.14,5.81,6.62,"[-0.14, 18.88]",7.86,6.72,6.13,"[0.88, 18.37]",92.58,93.69,10.14,"[75.27, 107.59]",94.12,95.18,10.05,"[77.06, 108.81]",239.22,197.32,174.9,"[33.57, 465.33]",251.52,259.37,176.04,"[32.05, 465.93]",242.51,259.42,53.73,"[130.3, 299.58]"
6.0,26.4,19.4,23.2,"[6.46, 70.74]",0.88,0.65,0.77,"[0.22, 2.36]",8.76,8.46,10.52,"[-7.83, 26.56]",127.53,127.98,11.43,"[108.1, 145.15]",3.36,2.93,1.89,"[1.15, 7.04]",7.91,6.99,4.11,"[3.11, 15.82]",4.32,3.86,2.19,"[1.86, 8.24]",21.31,18.79,11.63,"[7.23, 43.8]",41.02,40.22,6.88,"[31.46, 53.09]",42.48,42.35,4.92,"[34.86, 50.71]",8.18,7.88,4.63,"[1.68, 15.35]",8.9,8.58,4.37,"[2.86, 15.6]",95.41,96.34,7.09,"[82.54, 105.47]",96.18,97.05,7.18,"[83.16, 106.51]",256.45,271.37,186.72,"[29.7, 471.15]",253.59,265.57,183.98,"[29.19, 468.62]",256.9,276.92,52.61,"[152.12, 305.57]"
35.0,29.3,20.74,26.32,"[6.72, 81.5]",0.98,0.69,0.88,"[0.22, 2.72]",20.4,20.22,11.14,"[2.77, 38.93]",120.49,120.15,12.37,"[100.76, 141.3]",3.71,3.21,2.18,"[1.21, 7.88]",8.67,7.6,4.77,"[3.23, 17.63]",4.72,4.16,2.55,"[1.94, 9.38]",21.38,18.41,12.78,"[6.15, 46.66]",42.26,41.51,7.44,"[31.85, 55.46]",43.34,43.22,5.21,"[35.19, 51.95]",8.09,7.61,5.16,"[1.17, 16.21]",8.94,8.54,5.04,"[2.12, 16.83]",92.16,92.66,8.2,"[78.24, 104.67]",93.11,93.55,8.44,"[78.88, 106.17]",245.28,226.86,184.49,"[29.95, 468.07]",248.44,237.9,180.84,"[30.79, 467.86]",253.3,269.16,51.03,"[153.95, 306.18]"
10.0,66.45,47.67,55.88,"[10.05, 178.25]",2.21,1.59,1.86,"[0.34, 5.94]",-0.41,-0.21,11.42,"[-19.53, 18.07]",133.7,134.87,11.17,"[113.45, 150.17]",4.02,3.67,2.0,"[1.44, 7.79]",9.45,8.69,4.37,"[3.82, 17.61]",4.95,4.58,2.22,"[2.14, 8.95]",15.19,12.34,9.99,"[4.54, 35.96]",36.66,35.74,6.45,"[27.92, 48.46]",39.74,39.55,5.5,"[31.38, 48.95]",5.83,5.61,3.78,"[0.27, 11.92]",6.3,5.98,3.57,"[1.22, 12.28]",98.62,99.43,6.64,"[86.35, 108.15]",99.53,100.39,6.71,"[87.04, 109.07]",252.31,257.31,169.05,"[27.88, 471.22]",240.18,221.81,166.96,"[28.29, 468.5]",230.54,238.87,58.36,"[106.91, 301.31]"
9.0,83.05,65.43,64.13,"[12.51, 208.53]",2.77,2.18,2.14,"[0.42, 6.95]",11.45,10.91,12.56,"[-8.11, 32.7]",131.71,132.95,12.41,"[109.4, 150.19]",4.57,4.22,2.18,"[1.69, 8.62]",10.66,9.88,4.84,"[4.36, 19.47]",5.53,5.09,2.61,"[2.34, 10.11]",17.23,12.33,13.88,"[3.76, 46.72]",38.07,36.41,7.78,"[28.63, 53.14]",40.84,40.32,5.44,"[32.78, 50.55]",6.07,5.36,5.08,"[0.11, 13.84]",6.96,6.23,4.99,"[1.29, 14.67]",97.67,98.54,7.95,"[83.13, 109.4]",99.0,99.94,7.87,"[84.45, 110.47]",257.74,263.19,157.16,"[35.24, 467.13]",244.44,235.53,155.91,"[33.2, 464.61]",212.49,221.78,62.82,"[84.09, 296.48]"
23.0,184.52,185.36,92.44,"[32.62, 339.15]",6.15,6.18,3.08,"[1.09, 11.3]",-0.3,0.08,11.81,"[-20.21, 18.27]",139.28,141.01,10.02,"[119.82, 152.49]",5.2,4.92,2.06,"[2.37, 8.89]",12.61,11.97,4.74,"[6.22, 21.06]",6.76,6.39,2.59,"[3.35, 11.35]",13.0,9.83,10.49,"[2.13, 34.54]",34.53,33.22,6.42,"[26.58, 46.65]",38.7,38.13,5.03,"[31.46, 47.85]",4.13,3.69,3.95,"[-1.19, 10.51]",4.74,4.29,3.82,"[-0.27, 11.07]",101.37,101.65,5.77,"[91.27, 110.18]",102.98,103.56,5.7,"[92.48, 111.09]",260.43,264.31,146.25,"[34.03, 468.11]",254.7,258.27,149.57,"[30.49, 467.13]",200.66,215.69,60.22,"[76.46, 283.07]"
30.0,35.56,23.68,33.56,"[7.22, 105.55]",1.19,0.79,1.12,"[0.24, 3.52]",-6.11,-5.61,12.4,"[-26.74, 13.43]",128.66,129.47,11.84,"[108.05, 146.51]",3.43,3.04,1.85,"[1.19, 7.0]",8.08,7.24,4.02,"[3.21, 15.72]",4.3,3.91,2.01,"[1.89, 7.98]",17.03,14.94,9.28,"[6.23, 35.45]",38.48,37.82,5.98,"[29.99, 49.14]",41.13,40.96,4.9,"[33.48, 49.38]",6.66,6.59,3.59,"[1.16, 12.45]",6.8,6.58,3.47,"[1.67, 12.48]",96.16,97.11,7.13,"[83.11, 106.21]",96.73,97.7,7.23,"[83.51, 107.0]",267.07,298.71,177.54,"[30.96, 470.97]",239.3,217.73,179.04,"[28.11, 468.91]",246.91,260.21,54.93,"[135.58, 304.57]"
8.0,35.48,25.59,31.97,"[7.53, 95.91]",1.18,0.85,1.07,"[0.25, 3.2]",10.09,10.07,13.89,"[-11.71, 31.92]",126.09,126.53,16.89,"[99.56, 152.49]",5.09,4.47,4.8,"[1.59, 10.33]",11.96,10.36,12.96,"[4.04, 24.0]",7.51,6.23,6.55,"[2.52, 16.26]",49.25,48.0,21.73,"[18.84, 84.75]",58.07,57.15,12.78,"[41.51, 76.82]",50.25,50.04,6.38,"[42.12, 58.23]",22.98,19.35,14.37,"[7.81, 50.23]",23.43,19.68,14.44,"[8.44, 50.83]",86.17,87.08,11.27,"[66.39, 102.92]",94.67,96.35,10.63,"[75.73, 108.44]",237.78,178.15,183.63,"[32.39, 466.43]",259.06,298.46,183.79,"[33.0, 465.84]",256.28,271.23,45.3,"[181.13, 301.99]"
