revised_movement_label,speed_mean,speed_median,speed_std,speed_range,distance_mean,distance_median,distance_std,distance_range,Nose_back_tail_2Dangle_mean,Nose_back_tail_2Dangle_median,Nose_back_tail_2Dangle_std,Nose_back_tail_2Dangle_range,Nose_back_tail_3Dangle_mean,Nose_back_tail_3Dangle_median,Nose_back_tail_3Dangle_std,Nose_back_tail_3Dangle_range,nose_height_mean,nose_height_median,nose_height_std,nose_height_range,neck_height_mean,neck_height_median,neck_height_std,neck_height_range,back_height_mean,back_height_median,back_height_std,back_height_range,left_front_claw_height_mean,left_front_claw_height_median,left_front_claw_height_std,left_front_claw_height_range,right_front_claw_height_mean,right_front_claw_height_median,right_front_claw_height_std,right_front_claw_height_range,body_length2D_mean,body_length2D_median,body_length2D_std,body_length2D_range,body_length3D_mean,body_length3D_median,body_length3D_std,body_length3D_range,nose_momentum_mean,nose_momentum_median,nose_momentum_std,nose_momentum_range,head_momentum_mean,head_momentum_median,head_momentum_std,head_momentum_range,movement_duration_mean,movement_duration_median,movement_duration_std,movement_duration_range,movement_intervels_mean,movement_intervels_median,movement_intervels_std,movement_intervels_range,group_mean,group_median,group_std,group_range
running,275.89,280.88,95.85,"[92.73, 425.2]",9.2,9.36,3.19,"[3.09, 14.17]",0.6,0.53,9.25,"[-13.05, 13.85]",159.54,161.05,8.76,"[144.22, 169.87]",11.72,9.92,10.58,"[-1.32, 30.75]",28.3,27.24,7.19,"[19.17, 41.03]",26.22,25.61,5.05,"[19.18, 35.13]",5.04,4.31,5.4,"[-1.63, 13.62]",6.0,5.31,5.44,"[-0.62, 14.77]",105.43,105.34,4.94,"[98.67, 113.27]",106.63,106.39,4.65,"[100.08, 114.26]",12.97,11.02,8.52,"[4.0, 29.11]",31.03,26.29,19.85,"[11.63, 67.26]",29.85,29.29,3.24,"[24.56, 34.3]",1557.63,1134.29,1379.01,"[515.47, 3120.52]",,,,
trotting,208.71,215.28,88.31,"[42.07, 346.88]",6.96,7.18,2.94,"[1.4, 11.56]",1.2,0.99,9.2,"[-12.75, 15.89]",157.81,159.14,8.62,"[141.77, 168.94]",12.69,10.01,11.74,"[-1.2, 34.77]",29.17,27.77,7.51,"[19.81, 42.97]",26.74,26.03,5.05,"[19.86, 35.96]",6.27,5.76,5.45,"[-0.92, 15.09]",6.63,5.87,5.53,"[-0.19, 15.97]",104.29,104.2,4.82,"[97.09, 111.98]",105.43,105.32,4.63,"[98.32, 112.95]",13.83,11.98,8.32,"[4.34, 29.96]",32.55,28.09,18.96,"[12.33, 68.81]",34.6,34.78,2.52,"[30.99, 37.77]",834.8,756.82,376.21,"[497.21, 1246.61]",,,,
left_turning,95.28,70.41,80.72,"[11.07, 257.4]",3.18,2.35,2.69,"[0.37, 8.58]",-21.88,-21.62,13.16,"[-43.65, -0.8]",139.1,139.62,14.56,"[114.48, 161.45]",11.74,8.92,13.11,"[-3.49, 36.26]",32.41,30.87,8.42,"[21.96, 48.39]",29.27,28.57,5.72,"[21.35, 39.78]",6.38,5.07,7.34,"[-2.47, 19.21]",8.93,8.13,7.82,"[-1.2, 21.79]",99.55,100.41,8.54,"[84.66, 111.75]",100.85,101.54,8.09,"[86.8, 112.75]",17.64,15.82,9.65,"[6.07, 34.9]",40.33,35.77,22.27,"[15.91, 79.66]",23.22,23.27,4.23,"[16.27, 28.75]",928.04,836.03,350.19,"[503.16, 1579.4]",,,,
right_turning,90.79,67.88,75.75,"[11.54, 243.95]",3.03,2.26,2.53,"[0.38, 8.13]",28.14,27.59,14.7,"[5.49, 52.3]",133.68,133.57,15.84,"[108.35, 159.09]",20.05,16.26,18.57,"[-1.66, 53.79]",38.83,36.51,11.42,"[24.77, 60.5]",33.46,32.34,6.95,"[23.94, 46.23]",12.17,9.93,11.27,"[0.1, 32.05]",10.52,7.91,11.24,"[-0.67, 29.63]",95.53,97.42,11.24,"[75.7, 109.45]",98.05,99.03,8.9,"[82.93, 110.53]",21.65,19.78,12.15,"[7.81, 41.22]",50.07,45.02,29.32,"[18.75, 98.88]",20.47,20.62,3.3,"[15.67, 26.15]",1123.28,1087.52,455.74,"[648.4, 1638.64]",,,,
walking,130.18,126.8,80.58,"[17.51, 269.08]",4.34,4.23,2.69,"[0.58, 8.97]",2.02,1.68,12.74,"[-18.01, 23.67]",153.18,155.44,11.41,"[130.71, 167.77]",18.45,13.54,17.15,"[-0.7, 52.26]",33.44,30.86,10.73,"[20.9, 54.86]",29.31,27.95,6.8,"[20.67, 43.05]",9.21,7.85,8.19,"[-0.02, 23.69]",9.73,7.95,8.58,"[0.47, 25.57]",101.77,102.46,6.58,"[90.15, 110.64]",103.55,103.9,5.6,"[93.63, 111.87]",19.25,16.71,11.27,"[6.18, 41.8]",44.85,38.88,26.3,"[15.75, 97.88]",38.02,38.35,3.49,"[31.39, 42.43]",246.56,239.51,65.8,"[164.58, 354.82]",,,,
stepping,70.6,53.18,57.81,"[8.38, 183.74]",2.35,1.77,1.93,"[0.28, 6.12]",2.13,1.76,13.36,"[-19.55, 24.61]",148.94,150.34,11.32,"[128.45, 165.05]",13.41,10.65,11.91,"[-0.54, 37.53]",31.24,29.81,7.52,"[21.82, 45.72]",28.16,27.47,5.14,"[21.1, 37.65]",7.99,7.54,5.55,"[0.33, 17.19]",8.65,7.99,5.79,"[0.97, 18.45]",100.16,100.56,5.75,"[90.12, 108.87]",101.06,101.41,5.82,"[90.89, 109.99]",16.37,14.62,8.92,"[5.1, 33.46]",37.69,33.44,19.5,"[14.65, 75.09]",37.18,37.46,3.31,"[31.72, 41.89]",607.26,593.11,141.81,"[434.16, 874.01]",,,,
sniffing,32.06,21.21,32.6,"[4.24, 98.73]",1.07,0.71,1.09,"[0.14, 3.29]",-0.64,-1.0,19.82,"[-33.33, 33.28]",141.18,142.93,14.98,"[113.97, 162.34]",24.88,20.12,18.0,"[3.06, 59.89]",39.14,36.78,11.2,"[24.77, 60.5]",32.84,31.78,7.25,"[22.69, 46.32]",14.34,12.82,9.2,"[2.8, 31.21]",14.93,12.99,9.54,"[3.46, 32.85]",95.06,96.53,8.83,"[78.33, 106.57]",97.6,98.61,8.04,"[83.26, 108.68]",24.12,21.85,12.02,"[8.42, 46.93]",55.67,50.44,27.18,"[20.8, 107.77]",47.46,46.2,6.49,"[39.44, 56.94]",120.9,121.68,17.31,"[96.31, 155.54]",,,,
rising,31.23,21.45,30.94,"[4.65, 91.22]",1.04,0.71,1.03,"[0.16, 3.04]",6.92,6.32,12.52,"[-12.28, 27.71]",143.7,145.64,15.67,"[115.21, 166.9]",57.92,57.35,18.56,"[28.0, 89.34]",59.74,59.82,10.1,"[42.91, 76.1]",44.52,44.96,5.6,"[34.42, 52.88]",32.58,30.28,13.07,"[14.76, 57.99]",34.02,32.08,13.05,"[15.72, 59.13]",84.67,85.21,11.72,"[64.43, 102.8]",98.26,100.07,9.23,"[79.69, 109.97]",20.64,18.65,10.92,"[6.57, 41.58]",47.31,41.78,25.38,"[16.84, 96.98]",25.47,24.99,3.82,"[19.01, 32.53]",758.56,736.55,204.42,"[476.61, 1101.5]",,,,
hunching,20.67,14.56,20.59,"[3.71, 59.22]",0.69,0.49,0.69,"[0.12, 1.97]",3.57,3.67,20.08,"[-28.98, 35.09]",141.69,142.91,17.16,"[111.64, 168.62]",65.79,66.28,18.75,"[34.82, 96.23]",64.94,64.87,9.21,"[50.47, 79.86]",46.49,46.52,4.74,"[38.75, 53.84]",39.55,37.87,12.89,"[21.74, 63.55]",40.55,38.7,13.05,"[22.52, 64.7]",75.54,75.89,11.3,"[56.53, 93.78]",95.61,97.8,10.09,"[75.07, 108.19]",24.42,23.13,11.16,"[8.81, 44.7]",54.58,50.81,25.77,"[20.36, 102.13]",41.88,40.83,6.96,"[32.43, 54.76]",474.99,463.77,114.87,"[316.24, 672.79]",,,,
rearing,29.87,19.2,30.55,"[4.96, 90.59]",1.0,0.64,1.02,"[0.17, 3.02]",3.8,3.7,20.75,"[-30.15, 37.84]",158.21,161.01,13.78,"[131.99, 175.3]",88.9,89.66,20.68,"[53.0, 121.41]",76.32,75.63,11.96,"[58.05, 97.21]",50.43,50.08,6.23,"[40.86, 61.79]",58.35,57.23,17.63,"[30.51, 90.14]",59.12,57.68,18.05,"[31.54, 92.23]",64.25,64.57,14.02,"[40.54, 87.69]",102.12,102.76,6.74,"[90.37, 111.81]",23.82,20.96,13.87,"[7.03, 49.72]",56.86,49.17,32.92,"[18.62, 120.68]",36.33,36.3,4.75,"[29.79, 45.19]",713.74,687.67,232.47,"[426.9, 1198.82]",,,,
