revised_movement_label,speed_mean,speed_median,speed_std,speed_range,distance_mean,distance_median,distance_std,distance_range,Nose_back_tail_2Dangle_mean,Nose_back_tail_2Dangle_median,Nose_back_tail_2Dangle_std,Nose_back_tail_2Dangle_range,Nose_back_tail_3Dangle_mean,Nose_back_tail_3Dangle_median,Nose_back_tail_3Dangle_std,Nose_back_tail_3Dangle_range,nose_height_mean,nose_height_median,nose_height_std,nose_height_range,neck_height_mean,neck_height_median,neck_height_std,neck_height_range,back_height_mean,back_height_median,back_height_std,back_height_range,left_front_claw_height_mean,left_front_claw_height_median,left_front_claw_height_std,left_front_claw_height_range,right_front_claw_height_mean,right_front_claw_height_median,right_front_claw_height_std,right_front_claw_height_range,body_length2D_mean,body_length2D_median,body_length2D_std,body_length2D_range,body_length3D_mean,body_length3D_median,body_length3D_std,body_length3D_range,nose_momentum_mean,nose_momentum_median,nose_momentum_std,nose_momentum_range,head_momentum_mean,head_momentum_median,head_momentum_std,head_momentum_range,movement_duration_mean,movement_duration_median,movement_duration_std,movement_duration_range,movement_intervels_mean,movement_intervels_median,movement_intervels_std,movement_intervels_range,group_mean,group_median,group_std,group_range
running,305.2,310.98,100.06,"[126.63, 464.86]",10.17,10.37,3.34,"[4.22, 15.5]",-0.3,-0.08,8.62,"[-13.67, 12.2]",143.23,144.23,7.44,"[130.55, 152.79]",12.08,10.86,7.43,"[2.85, 25.48]",32.77,32.01,4.98,"[26.44, 41.82]",37.96,37.64,4.11,"[31.96, 45.23]",2.66,2.28,3.28,"[-1.81, 8.19]",3.28,2.97,3.1,"[-0.89, 8.42]",103.38,103.49,4.42,"[96.7, 110.14]",105.01,105.27,4.34,"[98.11, 111.21]",10.73,9.23,6.78,"[3.37, 23.51]",25.08,21.65,15.23,"[9.42, 53.04]",26.38,26.53,4.83,"[19.98, 34.62]",7661.34,4188.29,10234.38,"[1519.25, 15312.01]",,,,
trotting,229.3,233.0,88.84,"[66.66, 371.28]",7.64,7.77,2.96,"[2.22, 12.38]",-0.66,-0.13,10.49,"[-17.94, 14.39]",140.83,142.32,8.78,"[124.64, 151.94]",12.12,9.89,8.72,"[2.37, 28.74]",33.25,32.14,5.55,"[26.5, 43.63]",37.76,37.23,4.43,"[31.48, 45.73]",3.19,2.73,3.53,"[-1.5, 9.09]",3.76,3.34,3.41,"[-0.65, 9.4]",102.14,102.4,5.18,"[93.68, 109.93]",103.64,104.13,5.05,"[94.91, 110.74]",12.49,10.59,7.88,"[4.0, 28.05]",28.49,24.31,17.42,"[10.72, 62.25]",32.08,32.91,3.26,"[26.04, 36.57]",1794.9,1202.69,1268.21,"[842.5, 4147.94]",,,,
left_turning,95.57,84.01,66.47,"[14.3, 218.23]",3.19,2.8,2.22,"[0.48, 7.27]",-13.95,-12.41,15.18,"[-41.05, 8.37]",129.05,131.39,13.93,"[103.21, 148.24]",14.93,11.75,10.62,"[3.59, 36.53]",37.09,35.96,6.84,"[28.07, 49.73]",40.42,40.13,5.32,"[32.26, 49.63]",5.26,4.78,4.24,"[-0.32, 12.09]",5.62,5.05,4.29,"[0.17, 12.64]",96.6,98.07,8.09,"[81.38, 107.52]",97.68,99.32,8.14,"[82.19, 108.42]",17.0,15.1,9.03,"[5.98, 34.23]",38.06,34.09,19.54,"[14.74, 75.06]",35.15,35.4,2.8,"[31.14, 39.39]",758.83,649.61,294.49,"[496.83, 1425.14]",,,,
right_turning,81.44,62.44,65.11,"[13.0, 212.34]",2.71,2.08,2.17,"[0.43, 7.08]",26.86,26.31,15.02,"[3.31, 52.36]",121.67,121.58,15.13,"[97.46, 145.81]",17.93,14.22,13.29,"[3.64, 43.61]",40.03,38.72,8.33,"[29.57, 55.07]",41.9,41.59,5.74,"[33.49, 51.37]",6.73,5.79,5.67,"[0.16, 16.38]",7.56,6.71,5.42,"[1.25, 16.76]",93.21,93.96,9.46,"[77.0, 107.57]",94.38,95.12,9.57,"[78.05, 108.55]",18.61,16.62,10.27,"[6.55, 37.03]",41.19,37.06,22.64,"[15.67, 81.08]",26.93,26.37,2.57,"[23.07, 31.05]",1487.6,1192.07,755.44,"[758.59, 2873.68]",,,,
walking,144.68,143.17,80.19,"[23.66, 281.35]",4.82,4.77,2.67,"[0.79, 9.38]",1.79,1.68,12.74,"[-17.92, 22.54]",137.29,138.88,10.38,"[117.11, 151.19]",15.8,10.69,14.45,"[2.81, 45.46]",35.88,33.7,8.57,"[26.99, 52.27]",38.94,38.12,5.64,"[31.48, 49.33]",5.26,4.2,6.29,"[-0.65, 13.52]",5.86,4.74,6.26,"[0.24, 14.43]",100.38,101.12,6.92,"[88.03, 109.82]",102.01,102.75,6.21,"[90.43, 110.65]",16.92,14.05,11.47,"[5.85, 37.82]",37.6,31.58,26.88,"[14.12, 82.56]",40.4,40.8,2.91,"[36.13, 44.91]",446.3,361.24,235.97,"[275.74, 1011.27]",,,,
stepping,84.94,71.85,60.53,"[12.94, 199.25]",2.83,2.4,2.02,"[0.43, 6.64]",10.44,9.95,12.44,"[-8.78, 31.58]",132.25,133.69,12.14,"[110.5, 149.95]",18.24,13.06,14.17,"[3.89, 47.16]",37.99,36.3,7.75,"[28.57, 53.04]",40.24,39.74,5.26,"[32.56, 49.75]",5.91,5.13,4.97,"[0.04, 13.9]",6.8,6.07,4.81,"[1.26, 14.68]",98.12,98.98,7.85,"[83.91, 109.58]",99.34,100.34,7.78,"[85.05, 110.45]",17.92,15.97,9.33,"[6.55, 36.11]",38.26,34.27,19.9,"[15.01, 76.26]",36.72,36.54,3.02,"[33.31, 40.92]",1690.43,1409.94,815.81,"[922.87, 3007.27]",,,,
sniffing,34.31,22.52,33.6,"[7.15, 104.54]",1.14,0.75,1.12,"[0.24, 3.48]",0.13,-0.91,24.91,"[-38.95, 42.16]",120.9,121.79,16.12,"[93.23, 144.73]",19.87,16.55,12.54,"[5.49, 45.03]",40.68,39.76,7.45,"[30.33, 54.13]",42.07,42.01,5.4,"[33.39, 51.0]",7.22,6.7,5.01,"[0.51, 15.54]",7.69,7.14,5.04,"[0.98, 16.08]",91.68,93.26,10.51,"[72.74, 105.36]",92.69,94.28,10.55,"[73.75, 106.5]",24.44,22.21,12.21,"[8.57, 47.34]",53.96,48.53,26.85,"[19.77, 104.87]",64.58,63.3,9.93,"[50.96, 85.09]",185.71,176.09,38.31,"[135.24, 252.58]",,,,
rising,35.19,23.54,33.44,"[6.96, 105.26]",1.17,0.78,1.11,"[0.23, 3.51]",1.99,2.02,14.07,"[-20.83, 24.6]",127.19,129.12,15.76,"[100.57, 149.58]",37.74,36.69,18.03,"[11.36, 68.14]",50.09,49.96,9.94,"[33.97, 66.75]",46.35,46.62,5.38,"[37.06, 54.63]",14.44,12.68,9.35,"[3.8, 31.6]",14.96,13.08,9.35,"[4.42, 32.17]",91.57,92.97,10.87,"[71.81, 106.6]",96.02,97.96,10.04,"[77.34, 108.81]",21.85,20.63,10.27,"[7.89, 40.03]",47.18,43.35,23.42,"[17.73, 88.39]",37.67,36.01,5.39,"[29.28, 45.19]",405.01,357.55,159.47,"[260.89, 684.72]",,,,
hunching,24.12,19.43,18.56,"[7.1, 56.34]",0.8,0.65,0.62,"[0.24, 1.88]",26.67,25.74,16.05,"[2.66, 53.69]",109.41,108.47,18.47,"[80.37, 140.74]",42.51,40.0,17.15,"[18.42, 73.85]",56.47,56.12,9.12,"[42.48, 71.92]",49.1,49.34,4.66,"[40.86, 56.35]",22.52,21.72,9.74,"[8.43, 39.54]",22.84,21.95,9.64,"[9.14, 39.72]",75.48,76.45,12.8,"[52.91, 94.99]",82.97,84.35,14.3,"[57.82, 103.54]",22.16,20.55,10.56,"[8.01, 41.39]",49.27,45.18,23.62,"[19.46, 92.63]",46.35,45.62,7.78,"[35.7, 60.34]",1670.16,1535.6,580.24,"[1166.51, 2484.94]",,,,
rearing,24.04,18.43,20.33,"[6.58, 60.27]",0.8,0.61,0.68,"[0.22, 2.01]",-6.22,-7.02,20.56,"[-36.94, 30.06]",122.28,122.74,20.4,"[90.29, 156.48]",55.58,54.51,20.67,"[24.06, 91.37]",62.37,61.66,10.34,"[46.36, 80.3]",50.39,50.55,4.23,"[43.31, 56.98]",29.63,27.36,13.5,"[11.71, 55.97]",30.2,27.95,13.62,"[11.93, 56.62]",75.83,76.57,12.02,"[54.74, 94.32]",89.85,92.85,12.52,"[65.18, 105.8]",26.57,24.48,12.24,"[10.62, 49.77]",58.08,52.82,28.48,"[22.1, 112.81]",48.41,47.62,6.86,"[38.39, 58.55]",995.52,903.19,447.45,"[509.65, 1873.39]",,,,
