revised_movement_label,speed_mean,speed_median,speed_std,speed_range,distance_mean,distance_median,distance_std,distance_range,Nose_back_tail_2Dangle_mean,Nose_back_tail_2Dangle_median,Nose_back_tail_2Dangle_std,Nose_back_tail_2Dangle_range,Nose_back_tail_3Dangle_mean,Nose_back_tail_3Dangle_median,Nose_back_tail_3Dangle_std,Nose_back_tail_3Dangle_range,nose_height_mean,nose_height_median,nose_height_std,nose_height_range,neck_height_mean,neck_height_median,neck_height_std,neck_height_range,back_height_mean,back_height_median,back_height_std,back_height_range,left_front_claw_height_mean,left_front_claw_height_median,left_front_claw_height_std,left_front_claw_height_range,right_front_claw_height_mean,right_front_claw_height_median,right_front_claw_height_std,right_front_claw_height_range,body_length2D_mean,body_length2D_median,body_length2D_std,body_length2D_range,body_length3D_mean,body_length3D_median,body_length3D_std,body_length3D_range,nose_momentum_mean,nose_momentum_median,nose_momentum_std,nose_momentum_range,head_momentum_mean,head_momentum_median,head_momentum_std,head_momentum_range,movement_duration_mean,movement_duration_median,movement_duration_std,movement_duration_range,movement_intervels_mean,movement_intervels_median,movement_intervels_std,movement_intervels_range
running,271.16,273.02,73.75,"[145.75, 390.75]",9.04,9.1,2.46,"[4.86, 13.03]",1.17,1.12,8.58,"[-11.78, 14.15]",150.45,151.27,8.76,"[135.87, 162.69]",8.16,6.88,7.33,"[-0.71, 21.61]",25.79,25.01,5.2,"[19.09, 34.92]",25.14,24.72,3.82,"[19.91, 31.68]",3.33,3.05,4.13,"[-2.72, 9.87]",3.72,3.81,4.33,"[-3.23, 10.28]",101.03,101.15,4.08,"[94.62, 107.0]",101.82,102.04,3.98,"[95.33, 107.73]",10.41,9.0,6.71,"[3.22, 22.02]",24.91,21.53,14.94,"[10.34, 50.0]",25.21,24.47,3.13,"[20.99, 30.26]",5254.31,2498.47,7275.48,"[691.38, 15213.31]"
trotting,204.58,206.55,60.17,"[100.67, 298.79]",6.82,6.89,2.01,"[3.36, 9.96]",0.94,0.93,9.43,"[-13.77, 15.61]",148.38,148.89,8.74,"[133.66, 161.34]",6.91,5.29,8.2,"[-1.72, 21.77]",25.2,24.33,5.27,"[18.89, 34.48]",24.94,24.51,3.84,"[19.7, 31.46]",3.27,3.0,4.21,"[-2.72, 9.65]",3.92,3.93,4.36,"[-2.72, 10.26]",100.22,100.36,4.16,"[93.58, 106.37]",101.17,101.38,4.21,"[94.35, 107.27]",11.0,9.36,7.62,"[3.3, 24.16]",25.56,21.77,17.6,"[10.32, 52.71]",26.3,26.66,2.58,"[22.41, 30.23]",2074.43,1340.89,1913.81,"[531.32, 7012.07]"
left_turning,48.07,31.56,44.14,"[8.54, 138.11]",1.6,1.05,1.47,"[0.28, 4.6]",-32.7,-32.62,15.3,"[-57.56, -8.23]",116.71,115.12,15.66,"[93.56, 144.27]",13.05,9.69,13.02,"[-0.98, 39.53]",34.16,32.56,8.36,"[23.68, 50.34]",31.83,30.8,5.99,"[23.88, 43.44]",8.64,7.57,7.06,"[-0.57, 21.75]",7.5,6.39,6.87,"[-1.02, 20.08]",84.5,84.83,10.93,"[66.71, 101.37]",85.8,86.14,11.03,"[67.82, 102.85]",18.06,15.99,9.99,"[6.36, 37.14]",41.04,36.22,23.29,"[16.5, 82.82]",30.21,29.86,5.56,"[23.28, 41.0]",1015.91,892.97,397.37,"[538.49, 1934.95]"
right_turning,80.86,75.05,47.33,"[17.65, 166.49]",2.7,2.5,1.58,"[0.59, 5.55]",20.74,19.86,14.51,"[-0.55, 45.19]",130.48,130.79,13.1,"[108.75, 151.55]",10.17,6.02,14.77,"[-1.4, 39.63]",30.19,28.11,8.89,"[21.82, 47.04]",28.58,27.69,5.36,"[22.02, 38.86]",5.95,4.73,8.11,"[-1.66, 16.47]",6.86,5.67,7.75,"[-0.37, 16.96]",92.63,93.66,7.78,"[79.59, 102.71]",94.13,94.67,7.15,"[82.2, 104.23]",16.47,13.16,12.84,"[5.04, 40.77]",37.26,29.9,29.72,"[13.13, 90.36]",19.84,19.31,2.65,"[16.82, 25.94]",1971.43,1779.59,731.47,"[1124.33, 3183.35]"
walking,138.11,137.95,56.2,"[42.27, 231.39]",4.6,4.6,1.87,"[1.41, 7.71]",0.85,0.66,11.95,"[-18.11, 20.65]",143.37,143.63,9.66,"[127.32, 158.41]",7.51,5.26,9.55,"[-1.7, 27.08]",26.19,25.1,5.67,"[19.71, 36.96]",25.61,25.14,4.1,"[19.99, 32.76]",4.14,3.82,4.46,"[-1.93, 10.57]",4.63,4.51,4.28,"[-1.58, 10.81]",98.32,98.59,4.79,"[90.45, 105.52]",99.21,99.45,4.71,"[91.24, 106.43]",13.15,10.97,8.78,"[3.74, 29.79]",29.45,24.82,18.43,"[10.9, 63.58]",29.77,29.18,3.68,"[24.72, 36.73]",417.82,385.6,158.77,"[218.35, 687.45]"
stepping,83.84,79.67,47.83,"[16.96, 168.33]",2.79,2.66,1.59,"[0.57, 5.61]",3.29,3.66,13.04,"[-18.8, 23.87]",137.96,137.99,11.23,"[119.09, 156.05]",11.67,7.18,12.9,"[-0.27, 39.91]",29.43,27.59,7.4,"[21.09, 44.75]",27.56,26.69,5.1,"[20.94, 37.7]",5.76,5.23,5.3,"[-0.94, 13.83]",6.54,6.08,5.12,"[-0.18, 14.5]",95.34,95.99,6.11,"[84.48, 103.97]",96.51,96.97,5.92,"[86.01, 105.34]",15.95,13.43,9.79,"[5.32, 35.19]",35.21,30.07,20.58,"[13.51, 75.23]",28.33,28.53,2.97,"[24.13, 33.06]",435.44,400.16,131.22,"[286.33, 642.67]"
sniffing,38.73,28.1,31.77,"[7.92, 103.89]",1.29,0.94,1.06,"[0.26, 3.46]",2.27,1.15,22.7,"[-30.38, 38.66]",127.08,128.03,14.75,"[103.67, 148.97]",10.62,7.74,10.41,"[-0.31, 32.12]",30.93,29.58,6.78,"[22.51, 44.81]",29.21,28.43,5.29,"[22.1, 39.72]",6.59,5.96,5.4,"[-0.82, 16.48]",7.11,6.61,4.95,"[0.22, 15.97]",89.38,90.67,9.04,"[73.86, 101.09]",90.21,91.42,9.06,"[74.82, 102.11]",19.89,17.71,11.06,"[6.4, 40.53]",44.06,38.98,23.95,"[15.98, 88.16]",44.21,44.05,6.12,"[35.95, 56.11]",241.02,223.82,83.85,"[151.1, 394.54]"
rising,31.23,22.38,26.7,"[7.35, 85.97]",1.04,0.75,0.89,"[0.25, 2.87]",3.84,3.32,14.16,"[-18.14, 27.23]",126.15,124.66,16.87,"[100.69, 154.87]",28.44,25.63,15.89,"[7.02, 59.19]",42.68,42.46,8.67,"[29.04, 57.28]",36.3,36.2,6.49,"[25.98, 46.76]",15.14,14.55,8.19,"[3.37, 28.27]",15.21,14.41,7.73,"[4.5, 27.79]",84.09,84.65,9.76,"[66.58, 98.97]",88.36,89.12,10.51,"[69.47, 103.73]",19.44,17.85,10.07,"[6.45, 38.37]",43.11,39.46,20.04,"[18.37, 79.83]",33.61,29.65,11.76,"[22.5, 56.25]",570.54,536.62,166.42,"[412.49, 853.64]"
hunching,19.0,16.54,11.57,"[6.71, 39.08]",0.63,0.55,0.39,"[0.22, 1.3]",-22.48,-21.67,13.4,"[-45.21, -3.23]",101.39,100.84,16.05,"[76.53, 130.2]",32.64,30.58,14.31,"[13.01, 58.59]",53.18,53.73,8.62,"[38.29, 66.62]",46.02,46.3,5.06,"[37.23, 53.82]",27.52,27.57,7.18,"[15.62, 39.02]",26.83,27.03,7.68,"[13.92, 39.07]",67.93,67.17,10.36,"[52.06, 85.8]",73.5,72.9,12.12,"[55.43, 94.52]",17.75,15.9,9.8,"[5.78, 36.19]",44.12,39.78,21.45,"[18.21, 83.85]",61.38,62.83,12.29,"[42.41, 78.47]",1699.87,1627.93,495.3,"[1071.6, 2489.61]"
rearing,24.14,17.98,21.75,"[6.9, 63.77]",0.8,0.6,0.73,"[0.23, 2.13]",1.38,1.14,19.93,"[-28.62, 31.46]",116.97,110.85,24.89,"[83.85, 164.22]",46.49,39.42,23.58,"[18.77, 95.36]",57.88,57.26,10.25,"[42.25, 75.84]",45.74,45.92,5.11,"[37.08, 53.47]",31.28,29.27,11.87,"[15.85, 55.43]",31.2,29.31,12.05,"[14.99, 55.87]",69.22,69.59,12.51,"[48.72, 88.73]",82.91,81.83,14.72,"[60.12, 106.03]",26.31,22.82,14.16,"[10.04, 55.91]",58.98,51.4,31.48,"[23.32, 122.67]",56.76,57.23,12.79,"[33.72, 72.35]",652.86,548.12,319.54,"[405.92, 1116.32]"
