revised_movement_label,speed_mean,speed_median,speed_std,speed_range,distance_mean,distance_median,distance_std,distance_range,Nose_back_tail_2Dangle_mean,Nose_back_tail_2Dangle_median,Nose_back_tail_2Dangle_std,Nose_back_tail_2Dangle_range,Nose_back_tail_3Dangle_mean,Nose_back_tail_3Dangle_median,Nose_back_tail_3Dangle_std,Nose_back_tail_3Dangle_range,nose_height_mean,nose_height_median,nose_height_std,nose_height_range,neck_height_mean,neck_height_median,neck_height_std,neck_height_range,back_height_mean,back_height_median,back_height_std,back_height_range,left_front_claw_height_mean,left_front_claw_height_median,left_front_claw_height_std,left_front_claw_height_range,right_front_claw_height_mean,right_front_claw_height_median,right_front_claw_height_std,right_front_claw_height_range,body_length2D_mean,body_length2D_median,body_length2D_std,body_length2D_range,body_length3D_mean,body_length3D_median,body_length3D_std,body_length3D_range,center_rate_mean,center_rate_median,center_rate_std,center_rate_range,nose_momentum_mean,nose_momentum_median,nose_momentum_std,nose_momentum_range,head_momentum_mean,head_momentum_median,head_momentum_std,head_momentum_range,front_claw_momentum_mean,front_claw_momentum_median,front_claw_momentum_std,front_claw_momentum_range,hind_claw_momentum_mean,hind_claw_momentum_median,hind_claw_momentum_std,hind_claw_momentum_range
running,288.39,291.05,98.01,"[112.86, 444.37]",9.61,9.7,3.27,"[3.76, 14.81]",0.2,0.26,9.22,"[-13.56, 13.49]",152.19,152.7,10.93,"[134.15, 167.67]",11.95,10.17,9.61,"[0.13, 29.38]",29.95,29.43,6.96,"[20.09, 41.81]",30.8,29.86,7.6,"[20.2, 43.46]",3.96,3.28,4.7,"[-1.96, 11.74]",4.7,4.11,4.72,"[-1.22, 12.49]",104.16,104.14,5.04,"[96.63, 112.06]",105.45,105.49,4.88,"[97.75, 113.02]",199.03,214.13,58.74,"[77.17, 277.57]",12.38,10.6,8.05,"[3.82, 27.34]",30.1,25.92,18.45,"[11.41, 63.09]",14.56,13.28,7.36,"[6.6, 25.88]",14.85,13.75,6.73,"[6.98, 25.78]"
trotting,222.48,225.19,92.26,"[53.29, 373.15]",7.42,7.51,3.08,"[1.78, 12.44]",0.18,0.37,10.26,"[-15.98, 15.6]",147.67,147.9,11.46,"[128.25, 165.12]",12.58,9.73,10.8,"[0.4, 33.62]",31.42,30.63,7.33,"[21.03, 44.41]",33.06,33.78,7.64,"[21.16, 45.22]",4.26,3.59,4.69,"[-1.69, 12.15]",4.85,4.19,4.62,"[-0.85, 12.64]",103.04,103.14,5.37,"[94.47, 111.3]",104.37,104.63,5.24,"[95.66, 112.14]",201.82,216.7,59.48,"[79.07, 282.26]",13.72,11.71,8.63,"[4.32, 30.31]",32.31,27.86,19.5,"[12.09, 68.23]",14.94,13.68,7.65,"[6.62, 26.95]",15.34,14.12,6.92,"[7.31, 26.94]"
left_turning,89.22,70.62,70.54,"[12.17, 224.63]",2.97,2.35,2.35,"[0.41, 7.49]",-17.85,-16.57,16.51,"[-46.23, 6.66]",129.16,130.99,15.59,"[101.87, 151.86]",14.88,11.65,12.14,"[1.26, 38.92]",36.35,35.22,7.86,"[25.75, 50.57]",37.92,38.22,7.28,"[25.41, 49.43]",6.06,5.17,5.75,"[-0.86, 15.98]",6.56,5.63,5.8,"[-0.19, 16.14]",95.58,97.49,9.98,"[76.5, 108.78]",96.81,98.73,9.92,"[77.76, 109.78]",225.53,232.46,58.97,"[103.22, 299.42]",18.91,17.19,10.02,"[6.46, 36.93]",42.56,38.85,22.1,"[16.17, 80.97]",19.44,17.72,10.36,"[7.84, 36.19]",19.2,17.41,9.37,"[8.12, 36.2]"
right_turning,87.93,67.31,72.56,"[13.27, 231.84]",2.93,2.24,2.42,"[0.44, 7.73]",26.3,25.74,15.71,"[2.56, 52.1]",125.87,126.14,16.16,"[99.61, 151.63]",18.17,13.95,15.33,"[1.4, 47.75]",38.99,37.6,9.83,"[25.77, 56.86]",38.97,39.58,7.97,"[25.4, 51.25]",7.96,6.32,8.05,"[-0.27, 21.76]",8.29,6.83,7.66,"[0.43, 21.13]",94.21,95.01,10.22,"[77.3, 108.72]",95.79,96.36,9.74,"[79.72, 109.82]",232.51,240.73,55.86,"[117.83, 299.01]",20.14,17.83,12.37,"[6.98, 40.72]",45.85,40.6,29.45,"[16.9, 91.55]",21.26,18.52,15.0,"[8.3, 42.41]",21.2,19.25,10.48,"[8.82, 40.23]"
walking,141.63,138.29,82.82,"[21.55, 285.61]",4.72,4.61,2.76,"[0.72, 9.52]",1.69,1.43,12.91,"[-18.38, 23.07]",142.99,143.53,12.62,"[120.56, 162.84]",16.62,11.03,16.0,"[0.86, 49.7]",34.57,32.6,10.01,"[22.12, 53.94]",34.99,35.33,8.28,"[22.03, 48.87]",6.45,5.02,7.37,"[-0.88, 18.43]",7.04,5.46,7.4,"[-0.06, 19.55]",100.78,101.42,7.01,"[88.66, 110.58]",102.47,102.99,6.22,"[91.41, 111.63]",207.56,219.38,59.72,"[83.81, 289.4]",18.34,15.47,11.49,"[6.18, 40.68]",41.93,35.7,26.57,"[15.46, 91.8]",18.37,15.75,12.53,"[7.39, 37.54]",17.69,15.58,9.58,"[7.8, 35.55]"
stepping,79.99,68.32,57.64,"[11.75, 188.09]",2.67,2.28,1.92,"[0.39, 6.27]",5.81,5.62,13.62,"[-16.38, 28.36]",139.23,139.65,13.55,"[115.57, 160.65]",14.79,10.4,13.59,"[0.72, 43.26]",33.28,31.83,8.61,"[22.23, 49.55]",32.6,31.11,8.09,"[21.79, 46.89]",6.53,5.82,5.45,"[-0.31, 15.56]",7.32,6.57,5.41,"[0.59, 16.44]",97.89,98.43,7.07,"[85.46, 108.55]",99.02,99.51,6.97,"[86.73, 109.65]",219.86,228.61,60.39,"[92.76, 297.57]",17.6,15.47,9.76,"[6.0, 36.19]",40.09,35.69,21.05,"[16.08, 79.26]",17.88,16.17,8.8,"[8.51, 32.2]",17.07,15.62,7.78,"[7.98, 30.77]"
sniffing,35.12,23.69,34.19,"[6.48, 104.03]",1.17,0.79,1.14,"[0.22, 3.47]",-0.3,-1.09,22.94,"[-36.52, 38.27]",127.17,128.05,17.21,"[98.69, 153.98]",20.18,16.5,14.42,"[3.43, 49.04]",39.22,38.27,9.08,"[26.04, 55.44]",38.65,39.68,7.92,"[24.7, 50.41]",9.0,7.8,6.99,"[0.69, 21.45]",9.47,8.16,7.07,"[1.31, 22.33]",92.71,94.25,9.97,"[74.79, 105.68]",94.06,95.57,9.91,"[76.38, 107.08]",250.53,265.95,54.51,"[140.25, 306.43]",23.8,21.43,12.25,"[8.26, 46.65]",53.65,48.4,27.11,"[20.14, 104.26]",24.64,21.64,13.48,"[9.37, 49.41]",19.39,17.92,8.52,"[8.59, 34.99]"
rising,36.08,24.73,34.43,"[7.11, 105.01]",1.2,0.82,1.15,"[0.24, 3.5]",2.64,2.53,14.39,"[-20.27, 25.77]",129.37,130.73,16.64,"[101.82, 154.74]",39.96,38.25,20.22,"[11.13, 75.62]",50.88,50.43,11.5,"[33.14, 70.45]",45.14,45.94,7.11,"[31.75, 55.26]",17.71,14.86,12.05,"[4.15, 41.71]",18.21,15.16,12.12,"[4.9, 42.46]",89.47,90.67,11.57,"[68.8, 106.09]",95.33,97.35,10.53,"[75.53, 109.0]",251.14,266.56,50.86,"[154.34, 303.88]",23.49,21.95,11.36,"[8.7, 43.37]",51.92,47.24,26.7,"[19.97, 97.9]",28.09,25.09,15.88,"[11.03, 57.07]",21.26,19.93,9.54,"[8.4, 38.75]"
hunching,22.26,17.18,20.64,"[4.94, 56.32]",0.74,0.57,0.69,"[0.16, 1.88]",7.43,9.89,25.48,"[-32.72, 46.14]",122.34,121.52,24.49,"[83.61, 162.25]",51.63,49.81,22.02,"[19.2, 89.09]",60.1,60.07,10.37,"[43.15, 76.86]",47.6,47.7,5.04,"[39.29, 55.48]",31.56,29.8,13.13,"[12.72, 56.22]",31.93,30.04,13.47,"[13.07, 57.16]",74.11,74.54,12.15,"[53.88, 93.52]",87.01,90.05,14.84,"[59.83, 106.41]",240.58,252.63,54.82,"[133.64, 305.56]",30.06,28.96,11.88,"[12.85, 50.86]",66.7,62.98,28.5,"[27.77, 117.78]",36.54,34.54,16.16,"[14.54, 64.75]",21.87,20.73,9.36,"[9.08, 38.39]"
rearing,26.33,19.22,25.47,"[6.56, 70.34]",0.88,0.64,0.85,"[0.22, 2.34]",-1.94,-2.25,21.31,"[-34.96, 32.87]",129.04,129.04,25.29,"[89.89, 169.79]",61.14,59.29,26.03,"[23.32, 105.46]",64.78,63.74,12.6,"[45.77, 86.76]",49.34,49.48,5.48,"[40.58, 57.68]",36.99,32.78,17.4,"[14.51, 70.65]",37.35,33.15,17.68,"[14.41, 71.47]",71.71,72.41,13.3,"[48.92, 92.28]",90.95,94.54,13.95,"[64.24, 108.68]",239.04,252.51,56.85,"[121.54, 304.47]",30.63,28.77,13.07,"[13.07, 54.86]",68.39,62.84,32.05,"[27.76, 128.19]",39.57,35.64,19.84,"[15.78, 76.24]",22.11,20.65,10.04,"[8.87, 40.08]"
