Movement_label,speed_mean,speed_median,speed_std,speed_range,distance_mean,distance_median,distance_std,distance_range,Nose_back_tail_2Dangle_mean,Nose_back_tail_2Dangle_median,Nose_back_tail_2Dangle_std,Nose_back_tail_2Dangle_range,Nose_back_tail_3Dangle_mean,Nose_back_tail_3Dangle_median,Nose_back_tail_3Dangle_std,Nose_back_tail_3Dangle_range,nose_momentum_mean,nose_momentum_median,nose_momentum_std,nose_momentum_range,head_momentum_mean,head_momentum_median,head_momentum_std,head_momentum_range,claw_momentum_mean,claw_momentum_median,claw_momentum_std,claw_momentum_range,nose_height_mean,nose_height_median,nose_height_std,nose_height_range,neck_height_mean,neck_height_median,neck_height_std,neck_height_range,back_height_mean,back_height_median,back_height_std,back_height_range,left_front_claw_height_mean,left_front_claw_height_median,left_front_claw_height_std,left_front_claw_height_range,right_front_claw_height_mean,right_front_claw_height_median,right_front_claw_height_std,right_front_claw_height_range,body_length2D_mean,body_length2D_median,body_length2D_std,body_length2D_range,body_length3D_mean,body_length3D_median,body_length3D_std,body_length3D_range,back_x_mean,back_x_median,back_x_std,back_x_range,back_y_mean,back_y_median,back_y_std,back_y_range,center_rate_mean,center_rate_median,center_rate_std,center_rate_range
Sniffing,35.12,23.69,34.19,"[6.48, 104.03]",1.17,0.79,1.14,"[0.22, 3.47]",-0.3,-1.09,22.94,"[-36.52, 38.27]",127.17,128.05,17.21,"[98.69, 153.98]",3.93,3.39,3.18,"[1.19, 8.21]",9.25,8.03,7.69,"[3.15, 18.72]",4.91,4.26,4.1,"[1.73, 9.92]",20.18,16.5,14.42,"[3.43, 49.04]",39.22,38.27,9.08,"[26.04, 55.44]",38.65,39.68,7.92,"[24.7, 50.41]",9,7.8,6.99,"[0.69, 21.45]",9.47,8.16,7.07,"[1.31, 22.33]",92.71,94.25,9.97,"[74.79, 105.68]",94.06,95.57,9.91,"[76.38, 107.08]",256.27,270.79,180.38,"[30.58, 469.57]",252.22,258.76,182.09,"[29.53, 470.99]",250.53,265.95,54.51,"[140.25, 306.43]"
Walking,141.63,138.29,82.82,"[21.55, 285.61]",4.72,4.61,2.76,"[0.72, 9.52]",1.69,1.43,12.91,"[-18.38, 23.07]",142.99,143.53,12.62,"[120.56, 162.84]",5.3,4.93,2.99,"[2.19, 9.41]",12.57,11.71,7.13,"[5.65, 21.87]",6.61,6.07,3.84,"[2.94, 11.77]",16.62,11.03,16,"[0.86, 49.7]",34.57,32.6,10.01,"[22.12, 53.94]",34.99,35.33,8.28,"[22.03, 48.87]",6.45,5.02,7.37,"[-0.88, 18.43]",7.04,5.46,7.4,"[-0.06, 19.55]",100.78,101.42,7.01,"[88.66, 110.58]",102.47,102.99,6.22,"[91.41, 111.63]",255.2,258.38,151.37,"[33.07, 467.43]",253.98,256.36,153.92,"[31.85, 469.07]",207.56,219.38,59.72,"[83.81, 289.4]"
Left turning,89.22,70.62,70.54,"[12.17, 224.63]",2.97,2.35,2.35,"[0.41, 7.49]",-17.85,-16.57,16.51,"[-46.23, 6.66]",129.16,130.99,15.59,"[101.87, 151.86]",5.01,4.55,3.07,"[1.83, 9.55]",11.84,10.74,7.32,"[4.81, 22.05]",6.21,5.56,3.98,"[2.55, 11.7]",14.88,11.65,12.14,"[1.26, 38.92]",36.35,35.22,7.86,"[25.75, 50.57]",37.92,38.22,7.28,"[25.41, 49.43]",6.06,5.17,5.75,"[-0.86, 15.98]",6.56,5.63,5.8,"[-0.19, 16.14]",95.58,97.49,9.98,"[76.5, 108.78]",96.81,98.73,9.92,"[77.76, 109.78]",260.54,272.86,163.69,"[33.82, 467.83]",249.37,248.69,165.64,"[32.08, 468.35]",225.53,232.46,58.97,"[103.22, 299.42]"
Right turning,87.93,67.31,72.56,"[13.27, 231.84]",2.93,2.24,2.42,"[0.44, 7.73]",26.3,25.74,15.71,"[2.56, 52.1]",125.87,126.14,16.16,"[99.61, 151.63]",5.83,5.12,6.41,"[1.98, 11.27]",13.66,11.85,17.06,"[5.03, 26.27]",7.09,6.06,8.66,"[2.66, 13.91]",18.17,13.95,15.33,"[1.4, 47.75]",38.99,37.6,9.83,"[25.77, 56.86]",38.97,39.58,7.97,"[25.4, 51.25]",7.96,6.32,8.05,"[-0.27, 21.76]",8.29,6.83,7.66,"[0.43, 21.13]",94.21,95.01,10.22,"[77.3, 108.72]",95.79,96.36,9.74,"[79.72, 109.82]",254.05,258.4,168.31,"[35.46, 465.07]",246.91,240.73,169.78,"[33.43, 466.56]",232.51,240.73,55.86,"[117.83, 299.01]"
Stepping,79.99,68.32,57.64,"[11.75, 188.09]",2.67,2.28,1.92,"[0.39, 6.27]",5.81,5.62,13.62,"[-16.38, 28.36]",139.23,139.65,13.55,"[115.57, 160.65]",4.62,4.23,2.7,"[1.62, 8.81]",10.75,9.89,6.21,"[4.16, 19.85]",5.57,5.08,3.41,"[2.12, 10.45]",14.79,10.4,13.59,"[0.72, 43.26]",33.28,31.83,8.61,"[22.23, 49.55]",32.6,31.11,8.09,"[21.79, 46.89]",6.53,5.82,5.45,"[-0.31, 15.56]",7.32,6.57,5.41,"[0.59, 16.44]",97.89,98.43,7.07,"[85.46, 108.55]",99.02,99.51,6.97,"[86.73, 109.65]",255.95,262.29,160.31,"[32.49, 467.54]",254.58,261.63,161.96,"[31.64, 469.84]",219.86,228.61,60.39,"[92.76, 297.57]"
Rising,36.08,24.73,34.43,"[7.11, 105.01]",1.2,0.82,1.15,"[0.24, 3.5]",2.64,2.53,14.39,"[-20.27, 25.77]",129.37,130.73,16.64,"[101.82, 154.74]",4.71,4.19,3.49,"[1.51, 9.37]",10.98,9.73,8.43,"[3.86, 21.6]",6.45,5.48,4.84,"[2.31, 13.59]",39.96,38.25,20.22,"[11.13, 75.62]",50.88,50.43,11.5,"[33.14, 70.45]",45.14,45.94,7.11,"[31.75, 55.26]",17.71,14.86,12.05,"[4.15, 41.71]",18.21,15.16,12.12,"[4.9, 42.46]",89.47,90.67,11.57,"[68.8, 106.09]",95.33,97.35,10.53,"[75.53, 109.0]",254.72,268.1,180.21,"[32.01, 468.0]",248.72,239.51,182.1,"[31.85, 469.3]",251.14,266.56,50.86,"[154.34, 303.88]"
Trotting,222.48,225.19,92.26,"[53.29, 373.15]",7.42,7.51,3.08,"[1.78, 12.44]",0.18,0.37,10.26,"[-15.98, 15.6]",147.67,147.9,11.46,"[128.25, 165.12]",5.54,5.21,2.68,"[2.61, 9.36]",13.45,12.65,6.16,"[6.85, 22.2]",7.2,6.74,3.34,"[3.62, 12.01]",12.58,9.73,10.8,"[0.4, 33.62]",31.42,30.63,7.33,"[21.03, 44.41]",33.06,33.78,7.64,"[21.16, 45.22]",4.26,3.59,4.69,"[-1.69, 12.15]",4.85,4.19,4.62,"[-0.85, 12.64]",103.04,103.14,5.37,"[94.47, 111.3]",104.37,104.63,5.24,"[95.66, 112.14]",249.5,249.6,147.31,"[31.7, 467.22]",254.73,256.61,150.16,"[31.1, 470.61]",201.82,216.7,59.48,"[79.07, 282.26]"
Rearing,26.33,19.22,25.47,"[6.56, 70.34]",0.88,0.64,0.85,"[0.22, 2.34]",-1.94,-2.25,21.31,"[-34.96, 32.87]",129.04,129.04,25.29,"[89.89, 169.79]",4.96,4.13,4.22,"[1.5, 10.72]",11.82,9.81,10.57,"[3.87, 25.22]",7.24,5.97,6.22,"[2.36, 15.64]",61.14,59.29,26.03,"[23.32, 105.46]",64.78,63.74,12.6,"[45.77, 86.76]",49.34,49.48,5.48,"[40.58, 57.68]",36.99,32.78,17.4,"[14.51, 70.65]",37.35,33.15,17.68,"[14.41, 71.47]",71.71,72.41,13.3,"[48.92, 92.28]",90.95,94.54,13.95,"[64.24, 108.68]",267.37,305.44,172.78,"[33.84, 468.23]",245.27,227.5,173.76,"[32.99, 468.04]",239.04,252.51,56.85,"[121.54, 304.47]"
Climbing,41.51,32.13,33.62,"[8.63, 105.38]",1.38,1.07,1.12,"[0.29, 3.51]",4.94,5.11,25.57,"[-36.52, 45.85]",154.87,160.75,18.37,"[117.28, 175.14]",5.87,4.92,5.64,"[1.67, 12.95]",14.35,12.02,15.49,"[4.34, 31.3]",9.9,8.38,8.21,"[2.8, 21.51]",100.47,101.85,28.73,"[49.52, 142.57]",87.57,85.7,19.38,"[58.95, 120.97]",58.99,56.91,10.2,"[45.42, 78.88]",69.49,71.63,25.79,"[25.37, 106.77]",70,71.98,25.94,"[25.57, 107.47]",57.5,56.94,16.82,"[31.65, 86.02]",103.35,103.84,8.78,"[88.93, 116.13]",265.86,332.36,194.91,"[26.6, 474.2]",243.89,205.2,199.4,"[25.38, 475.04]",277.5,287.14,32.15,"[215.82, 316.18]"
Hunching,22.26,17.18,20.64,"[4.94, 56.32]",0.74,0.57,0.69,"[0.16, 1.88]",7.43,9.89,25.48,"[-32.72, 46.14]",122.34,121.52,24.49,"[83.61, 162.25]",4.45,3.78,3.85,"[1.12, 9.61]",10.69,9.08,9.53,"[2.76, 22.84]",6.21,5.26,5.42,"[1.63, 13.41]",51.63,49.81,22.02,"[19.2, 89.09]",60.1,60.07,10.37,"[43.15, 76.86]",47.6,47.7,5.04,"[39.29, 55.48]",31.56,29.8,13.13,"[12.72, 56.22]",31.93,30.04,13.47,"[13.07, 57.16]",74.11,74.54,12.15,"[53.88, 93.52]",87.01,90.05,14.84,"[59.83, 106.41]",272.77,326.74,172.26,"[33.77, 468.43]",249.61,245.75,175.19,"[31.63, 468.58]",240.58,252.63,54.82,"[133.64, 305.56]"
